-0.496498171525356-0.652648973803745*I	-0.13358191149294196-0.694276974212871*I	0.2452947502212035-0.6525783795253034*I	0.5946707840708525-0.5325949087697212*I	0.8726330643411214-0.34875951604017935*I	0.2001000841278926-0.5326534467210169*I
-0.13358191149294196-0.6942769742128707*I	-0.6739840213554719-0.7386283759722754*I	-0.13358191149294218-0.6942769742128709*I	0.42278060005131923-0.5665989773567728*I	0.9283527796916865-0.3709713812778668*I	0.42278060005131946-0.5665989773567728*I
0.2452947502212035-0.6525783795253033*I	-0.13358191149294218-0.6942769742128712*I	-0.49649817152535625-0.6526489738037452*I	0.20010008412789237-0.532653446721017*I	0.8726330643411215-0.3487595160401794*I	0.5946707840708523-0.5325949087697213*I
0.5946707840708523-0.532594908769721*I	0.42278060005131923-0.5665989773567729*I	0.20010008412789215-0.532653446721017*I	-0.04664570723555417-0.4348095124871516*I	0.7121625053180176-0.2847837721841045*I	0.6951472145110057-0.4347389182087099*I
0.8726330643411211-0.34875951604017935*I	0.9283527796916865-0.37097138127786683*I	0.8726330643411214-0.3487595160401794*I	0.7121625053180174-0.28478377218410444*I	0.46620396727953295-0.18670519191646875*I	0.7121625053180174-0.28478377218410444*I
0.20010008412789215-0.5326534467210168*I	0.422780600051319-0.5665989773567729*I	0.5946707840708518-0.5325949087697213*I	0.6951472145110055-0.4347389182087099*I	0.7121625053180176-0.2847837721841045*I	-0.046645707235553946-0.4348095124871516*I
