4.872935494587844-0.2852985480367081*I	0.4743275062896579+0.5243217577548029*I	-5.370926944016208-0.265286730356464*I	5.165119256254325-0.24523359818611426*I	-0.052472798410649+0.5222654965262585*I	-4.590938305461696-0.22524557586571836*I
0.47432750628966014+0.5243217577548028*I	0.04880487251892607-0.9987127580922456*I	0.47432750628965925+0.524321757754803*I	-0.5467963219472916+0.4481274796990735*I	0.09985344450296729-0.9948009318066356*I	-0.5467963219472933+0.44812747969907374*I
-5.370926944016209-0.26528673035646383*I	0.4743275062896588+0.5243217577548028*I	4.872935494587843-0.2852985480367082*I	-4.590938305461696-0.2252455758657182*I	-0.05247279841064856+0.5222654965262584*I	5.165119256254323-0.24523359818611437*I
5.165119256254325-0.24523359818611426*I	-0.5467963219472929+0.4481274796990737*I	-4.590938305461696-0.2252455758657183*I	5.3672590181244875-0.2111605312095233*I	-0.044704779622134705+0.4464274077339054*I	-4.876603420479565-0.19114871352927917*I
-0.05247279841064834+0.5222654965262584*I	0.09985344450296768-0.9948009318066356*I	-0.052472798410648364+0.5222654965262585*I	-0.044704779622134275+0.4464274077339052*I	0.09945745975466276-0.991009804168897*I	-0.044704779622134296+0.4464274077339055*I
-4.5909383054616955-0.22524557586571822*I	-0.5467963219472929+0.4481274796990737*I	5.165119256254323-0.24523359818611434*I	-4.876603420479564-0.19114871352927906*I	-0.044704779622134705+0.4464274077339054*I	5.367259018124487-0.2111605312095234*I
