-0.6649154515231555-0.8894060603925634*I	0.04372249552875536-0.7003135513809488*I	0.7299919385058627-0.15406550341460296*I	0.3126572497103268+0.18274972365301256*I	-0.26411436146511064+0.4263313259326206*I	-0.1881173693778028+0.038979703019001555*I	-0.01617662093751354-0.3682327566973704*I	0.08895309103345327-0.0967892365797164*I	0.14870704765370088+0.2240078988844897*I	-0.01827608751061262+0.10285679536755749*I	-0.1759281323649772-0.07074944617807821*I	-0.0242654995992908-0.08191114410129396*I	0.13976434684762357-0.05129573198288948*I	0.042179367561353355+0.04991788093749202*I	-0.07691209739311346+0.12566915664299633*I	-0.04135746631139626-0.01667260312838075*I	0.015287805328819782-0.15050719955765285*I	0.02897199665309533-0.011501035533717903*I	0.02787931958073907+0.13336775941274787*I	-0.012235958154019785+0.031033152880269758*I	-0.04610779391494078-0.08712713802533016*I	-0.0027579376362674994-0.04052779447806604*I	0.04199441405745497+0.026741000046775557*I	0.011922903563973726+0.04027543742317386*I	-0.024225260203392114+0.033268209423397435*I	-0.013642509575635838-0.03179408564108856*I	0.0038947415271306557-0.08064003277766131*I	0.008744225486795272+0.017425102990818044*I	0.009135896958493225+0.10660256181143128*I	0.004878921237540681+0.14141180051851887*I	-0.0018521631345055033+0.10410053306903823*I	0.010693384960987526-0.10578505566259787*I	0.0138799866936798-0.18108130256714333*I	-0.03437270487044936+0.04109070278479679*I	-0.040865947676978834+0.2090416775635797*I	0.05340938511790621+0.040092247683181675*I	0.07845552666997259-0.1760505695009268*I	-0.05371542985677717-0.12032018328055452*I	-0.11239575525995792+0.08390600598121643*I	0.024817484452166784+0.17918305624648415*I	0.12151240581857203+0.049706506664851616*I	0.035149248878286854-0.19608361745933678*I	-0.0844474386804907-0.19136741204649846*I	-0.11540835945003168+0.1540094567986929*I	-0.010583518561263256+0.2951838868694997*I	0.19032987926769837-0.04445135392538831*I	0.15440624668711792-0.31013970522336504*I	-0.21959840505853026-0.1263447332583634*I	-0.3056923723326761+0.19265745868698725*I	0.15091889827106236+0.3276893398452833*I	0.381887252036843+0.07157666690816794*I	0.07502428987178467-0.49085565625627336*I	-0.2539735247559958-0.4347263404616324*I	-0.5180276457829458+0.413530660403737*I	-0.25373195292944173+0.6246075012951584*I	0.7312928365843119+0.2879332284463272*I	0.613395134257048-0.04159461677918605*I	-0.03453545890429644-0.6248349870588188*I
0.043722495528752535-0.7003135513809662*I	-0.40256108710977456-0.8173943860520851*I	0.35637974523907817-0.5175638277279297*I	0.3227781731967184-0.1985249149252083*I	0.12453988033253925+0.22172942667204984*I	0.017023221838165528+0.11001449357956411*I	-0.09916427834431502-0.0578095335606834*I	-0.019116645689528075-0.03472744056199505*I	0.07067700352286187+0.006067558787879607*I	0.01888161296586668+0.01813093839963281*I	-0.04254158710988042+0.020945651266276538*I	-0.01652817287678594-0.007415613902556281*I	0.01791386796207912-0.03199326316379786*I	0.012574285301884182+0.0008411221972178462*I	0.0008219012499482231+0.03324527780912243*I	-0.007761012573629152+0.0034032637890985882*I	-0.012385469658276733-0.028173638662108303*I	0.002920234086640551-0.005799482746425439*I	0.016736038499096714+0.019532117346525667*I	0.0011687711710478546+0.006736639346173624*I	-0.014993895790300775-0.009494641597843863*I	-0.003911594412989977-0.00654187235720141*I	0.009164965927710555-0.0002523570549447733*I	0.004996515168433182+0.0055231505896873615*I	-0.0017196060116860567+0.008481351782062042*I	-0.004441271763586998-0.003951728184823896*I	-0.004898284088876043-0.014368982650272939*I	0.0025810310549294678+0.002051260700437009*I	0.00874422548679147+0.01742510299081856*I	0.010449607430688655+0.023911268333334026*I	0.006828080711768081+0.018201641865105988*I	-0.0054396394820337025-0.019508826836111152*I	-0.010036810333805865-0.03290026723669049*I	-0.0031166082270807356+0.01106596371100997*I	0.007113776683512874+0.04090751304485579*I	0.012570853241139632+0.0006417932590537085*I	0.0024518928974003344-0.039700141119245656*I	-0.019599030949765874-0.014340283580180852*I	-0.01666198725060949+0.0278297200857152*I	0.020849645317700158+0.028164024642725133*I	0.030994736677349696-0.005399525679112239*I	-0.0136163886677101-0.039581264102248596*I	-0.03890164426037129-0.025401557532263044*I	-0.003585315338051248+0.045290995759151007*I	0.03274215225630195+0.059640221935809375*I	0.030642351512083506-0.041097261795516524*I	-0.005003026191556854-0.08888494308248243*I	-0.06573831031767563+0.02049795004838677*I	-0.0504034192768951+0.09848781121933373*I	0.10554437472860458+0.025630097055950648*I	0.13699009710935955-0.06637707983131975*I	-0.14566713183502294-0.16141334159515275*I	-0.2548859865333878-0.11630469887159112*I	-0.1542148003967326+0.41887481309896507*I	-0.09939205890897357+0.5187141651970391*I	0.6107369779365102+0.24471355968815425*I	0.6530348821512636+0.3634117927684469*I	0.4676375740924778-0.2260771777551074*I
0.7299919385058588-0.15406550341462805*I	0.3563797452390751-0.5175638277279464*I	-0.1990378744824092-0.6171402378745361*I	0.16826237586129053-0.4785841247088927*I	0.44970095610326133-0.09596693417929984*I	0.21349297136602788+0.12494019009236527*I	-0.13158393474887087+0.28210646811978735*I	-0.1174403658549055+0.04504726180691309*I	-0.04339770564875772-0.21497430399090145*I	0.04641150392359471-0.0758435853134014*I	0.11254326213638234+0.10196272072354096*I	-0.0003622195485101174+0.0708635322037724*I	-0.11307588291044149+0.0036239784820344557*I	-0.02344359834932554-0.04866586629216778*I	0.07814005478331723-0.07613377489752918*I	0.02979389790306905+0.02174424227539562*I	-0.03374497248351746+0.10852971649807834*I	-0.024621427812275082+0.00285951421813639*I	-0.002940669005350395-0.10426657817027399*I	0.013978100862815805-0.020995677131587846*I	0.023765939723232758+0.07298162143412196*I	-0.003070992226322895+0.03078079582527785*I	-0.02833864006087086-0.027117928555235014*I	-0.004477543647948665-0.03204644269605589*I	0.021663895381158225-0.020630823307523482*I	0.007024619475073723+0.025906454772877462*I	-0.011194621717821047+0.05923073845716349*I	-0.004898284088879476-0.014368982650272416*I	0.003894741527125629-0.08064003277766021*I	0.01069338496101889-0.10578505566259437*I	0.01202782355922615-0.07698076949810129*I	-0.018800398671901915+0.07671744764074023*I	-0.02883812411777456+0.13206090806550774*I	0.029730065208470016-0.024602105194569783*I	0.051469565686717164-0.14809019450441407*I	-0.03467874960928274-0.039137232812516236*I	-0.07480617626695815+0.11689711404396062*I	0.024511439713266994+0.0989551206491791*I	0.08757217722855822-0.04243805685477702*I	0.006251303473670191-0.13722074449335628*I	-0.0753307881218891-0.05775489940039709*I	-0.05544162611958488+0.1371088955858531*I	0.026481448576783504+0.15352298148785185*I	0.11007076869591001-0.08652551458602477*I	0.05937528944534659-0.2063232304003693*I	-0.1446768852408748-0.016786630385082147*I	-0.16186964420684585+0.17770164033308614*I	0.12165037248019701+0.15689325266149157*I	0.23060112639122332-0.04590557962825263*I	0.006344783084262997-0.2895110496693899*I	-0.177778645051881-0.17049221486654526*I	-0.29208445764012786+0.25036434399267976*I	-0.12581822564863912+0.261457827741615*I	0.2882894806731234+0.21060823259376013*I	0.10568965657159106+0.14828654405432015*I	0.17872973189705668+0.07662890179122867*I	0.3596631813276122+0.5830128845159567*I	0.7312928365843131+0.28793322844630004*I
0.3126572497103408+0.18274972365299258*I	0.322778173196716-0.19852491492523366*I	0.16826237586127352-0.4785841247089105*I	-0.38553786527161577-0.707379892472482*I	0.25721546689477237-0.5753733612885605*I	0.30366152750723613-0.23325235548715526*I	0.1952168838554605+0.22779698545994848*I	0.03590483480407122+0.1281454319792293*I	-0.14170586545419672-0.03686388229437727*I	-0.03564481856628825-0.04214305446454097*I	0.08859087148498104-0.0259257043759321*I	0.0314558982678008+0.018972060596835705*I	-0.04171968585989847+0.05419092907539033*I	-0.02428918545041633-0.00401235011345851*I	0.005528398303766684-0.060166901825898365*I	0.015494519388527344-0.004958360549217855*I	0.017557939749083224+0.05277739515562505*I	-0.006592241402537279+0.010139903135242411*I	-0.027379365448550297-0.03766828025997359*I	-0.000991360326349357-0.012341355103659047*I	0.025901004426778826+0.019279760291554055*I	0.006165286339473203+0.012259789935830483*I	-0.01671350180197068-0.001013289815800652*I	-0.008352866176577187-0.010493600542051756*I	0.004266681838815569-0.014621339705238741*I	0.0075775462233207014+0.007574411290100832*I	0.007024619475061243+0.025906454772866468*I	-0.004441271763621786-0.003951728184829108*I	-0.01364250957567584-0.03179408564108538*I	-0.015889246912699717-0.04342009516943054*I	-0.010036810333763586-0.03290026723667495*I	0.0073329992036194344+0.0349772320443519*I	0.013941857395299287+0.059109154909972365*I	0.007131213759121976-0.018867033577038627*I	-0.0075849174363809965-0.07260040835589701*I	-0.022715639176812838-0.0032743198691416436*I	-0.00954821056708715+0.06873723313059457*I	0.033420498558806265+0.028805817901801648*I	0.03344662957471987-0.045099666798320066*I	-0.03321541961747926-0.05392154768239905*I	-0.05556363151098196+0.0024281625534809327*I	0.017264329979660417+0.0734550204018817*I	0.06373688893363201+0.054240696256700055*I	0.01702596284431813-0.08067852589774274*I	-0.04390467045195466-0.11428650061472269*I	-0.06932362565572513+0.0657889458075405*I	-0.017661267020598257+0.15812803315513288*I	0.1361867262406713-0.015467164739582031*I	0.13198707091774353-0.15526202291380212*I	-0.2114054421527652-0.14091539154676508*I	-0.3052894058103217-0.017816887652285358*I	-0.048670425668125225+0.44450491015486365*I	0.03759803820037053+0.4523370853656508*I	0.4650698461014615+0.08330021809299258*I	0.398148895617844+0.24710709389685842*I	0.3134227736957259+0.19279763534385302*I	-0.0993920589089516+0.5187141651970233*I	0.14309940384405748+0.4707907374432216*I
-0.2641143614650857+0.4263313259326152*I	0.12453988033253902+0.2217294266720281*I	0.449700956103236-0.09596693417932659*I	0.25721546689475483-0.5753733612885781*I	-0.06650744776618003-0.7613650956873445*I	0.23893937938420534-0.4725165659209772*I	0.4224798713920537+0.057291518527150344*I	0.17095138425617062+0.14588584135865873*I	-0.16774772026622387+0.1600612899588255*I	-0.0995264978928106+0.013053998643092885*I	0.01945454380580149-0.14060087933082763*I	0.04723340517359261-0.042598307504313766*I	0.050918970072101236+0.07712467780888278*I	-0.012747689206806238+0.04268989354165972*I	-0.06990875800088828-0.013515461662889213*I	-0.006707559850219391-0.029133748945668253*I	0.05991158044916649-0.029893153510171435*I	0.014800002112807877+0.01224960067751484*I	-0.037858352341015374+0.04814357851945732*I	-0.01545646188458699+0.002607157163168158*I	0.014828484848696696-0.0442573687001486*I	0.012258494851130673-0.012514325349523903*I	0.00343542104695316+0.025609798079872653*I	-0.007969276315206615+0.01641181317501701*I	-0.01530800157529336-0.0011553995214656813*I	0.004266681838802871-0.01462133970524899*I	0.021663895381139393-0.020630823307539622*I	-0.0017196060117351361+0.008481351782053382*I	-0.0242252602034467+0.03326820942340033*I	-0.03437270487045805+0.04109070278483342*I	-0.026985960983257107+0.027960374996488464*I	0.02973006520849912-0.024602105194576264*I	0.049617402552261734-0.04398966143538836*I	-0.019106443410735786-0.003510487956594283*I	-0.06277835270776076+0.03991634454586969*I	0.0008321198038441073+0.034260767771412334*I	0.0605862162453118-0.01447768185831806*I	0.02528798372114454-0.05603779402535027*I	-0.03774120912890544-0.024763791337677463*I	-0.05574767085848148+0.05688095998854263*I	-0.007458780013217706+0.061378417968234504*I	0.08117282329131909-0.02766264162004703*I	0.06849194000395414-0.07271071775426212*I	-0.08471015191046449-0.033687191597896335*I	-0.1248046770688176+0.036040734951477*I	0.041391261908425465+0.11481909200088226*I	0.1355701691494703+0.057910895194763785*I	0.08126630290192836-0.17995294679609294*I	-0.033955916926079126-0.1854480332204049*I	-0.32135298343103774+0.079568256808925*I	-0.27710435129426314+0.14397558120522064*I	0.219609973885637+0.41195283918063313*I	0.18188453627572693+0.41252066964938383*I	0.40467292003986277-0.08653741461981124*I	0.4875769086083869+0.2198632109624377*I	0.28828948067310955+0.21060823259374295*I	-0.50770547768543+0.18988116083349865*I	-0.5180276457829235+0.4135306604037153*I
-0.18811736937777665+0.03897970301900388*I	0.017023221838172+0.11001449357954793*I	0.21349297136601106+0.12494019009233884*I	0.3036615275072085-0.23325235548717943*I	0.23893937938418083-0.4725165659209871*I	-0.3666562523056949-0.689248954072813*I	0.21467387978492658-0.5544277100222733*I	0.2871333546304575-0.24066796938972798*I	0.21313075181751634+0.1958037222961157*I	0.048479120105977214+0.12898655417639648*I	-0.14088396420419355-0.00361860448529579*I	-0.04340583113989556-0.038739790675466984*I	0.07620540182668113-0.05409934303803584*I	0.03437613235440535+0.013172577850393333*I	-0.02498364736083075+0.07372304642188626*I	-0.023120414279362303+0.002724289232673371*I	-0.0094654974864953-0.069661543423775*I	0.01158292497554209-0.011500232906452364*I	0.02672290567676252+0.05252503810066343*I	-0.0015957262341373887+0.015663053724924703*I	-0.029098971460255023-0.029186928477902396*I	-0.0054326320899548974-0.01629308328844039*I	0.021002720337894198+0.004910777641334885*I	0.008746317394389797+0.014311050636291811*I	-0.00796927631518876+0.01641181317500039*I	-0.00835286617658582-0.010493600542080117*I	-0.004477543647976739-0.03204644269608255*I	0.004996515168385446+0.005523150589655109*I	0.011922903563930085+0.04027543742315171*I	0.012772638685612512+0.05448605888048458*I	0.007113776683520741+0.04090751304490178*I	-0.0033183936715555674-0.04277830191037291*I	-0.007584917436353351-0.07260040835590756*I	-0.01226603174611962+0.020636948464170694*I	-0.0027201298553294105+0.08693887499569591*I	0.027980859076790467+0.009296991065703853*I	0.023409819240959574-0.0779999340350397*I	-0.03633202784453565-0.04285558397141259*I	-0.04844985482745983+0.043335675598321584*I	0.02983518322078164+0.07409681366094854*I	0.06618878183102767+0.014540555137506178*I	-0.002573068105401047-0.09501880947789706*I	-0.06056665770252688-0.08645678052898728*I	-0.048473980338039686+0.09395297045028002*I	0.013333469656723305+0.15272850747605216*I	0.12257033757294052-0.055048428841782425*I	0.09308542665739293-0.18066358044602923*I	-0.21499075749077742-0.09562439578759976*I	-0.27254725355403736+0.04182333428355034*I	-0.018028074156105148+0.40340764835936227*I	0.03259501200876003+0.3634521422831993*I	0.39933153578377545+0.1037981681413749*I	0.34774547634095343+0.3455949051161441*I	0.41896714842432375+0.21842773239978322*I	0.03759803820034793+0.45233708536567757*I	-0.002567727991014815+0.3093773958480796*I	-0.25488598653338634-0.1163046988715785*I	-0.29731420424075755-0.051915924344294345*I
-0.016176620937499633-0.3682327566973611*I	-0.09916427834430516-0.05780953356068508*I	-0.13158393474887084+0.28210646811977497*I	0.19521688385543554+0.22779698545992996*I	0.42247987139201615+0.057291518527134905*I	0.21467387978490068-0.5544277100222834*I	-0.1026712332835162-0.8834102738483158*I	0.2568532473462714-0.504509829084816*I	0.48533212084655203+0.13166494318720512*I	0.1717732855061328+0.17913111916772648*I	-0.22937201233049767+0.1352232470441564*I	-0.11191196755110457-0.015119640019019144*I	0.06262166871535-0.15774031947573955*I	0.06396944367265678-0.02306619015781009*I	0.032690495737892004+0.123365299196235*I	-0.02774158499710636+0.03319525194377873*I	-0.07402213785838592-0.07390159964150504*I	0.0024574060774610975-0.029386106000627243*I	0.07768073430320249+0.030116055959962702*I	0.013080396101095388+0.02073095245959262*I	-0.05818887101732442+0.0007717551652201927*I	-0.02035474597349066-0.01176182548704323*I	0.027859123334275225-0.01829483966631742*I	0.021002720337912364+0.004910777641318511*I	0.0034354210469795432+0.02560979807984829*I	-0.016713501801968546-0.0010132898158319906*I	-0.028338640060894586-0.027117928555257804*I	0.009164965927688694-0.0002523570549838748*I	0.0419944140574447+0.026741000046738846*I	0.05340938511790919+0.04009224768321911*I	0.03758957899300788+0.03299110806274584*I	-0.03467874960930819-0.03913723281251214*I	-0.0609261895732644-0.06418418852316995*I	0.0008321198038637494+0.03426076777138277*I	0.05873405311081864+0.08962285121070142*I	0.04086028991968054-0.02041104916942165*I	-0.025713385569686276-0.10174456083581432*I	-0.07942699076790195-0.007813392889269499*I	-0.03444474099645175+0.08933879296465923*I	0.10020950353881153+0.05352030884794875*I	0.10608151899696261-0.0397196096915324*I	-0.08501619664931345-0.11391512719520815*I	-0.1587449056587734-0.05610382856815775*I	0.01249331650382856+0.173681964966848*I	0.14468681970808314+0.1915234078408759*I	0.1412330362323723-0.19685350800889442*I	0.0031090502120015608-0.32710893860201173*I	-0.4016120940027648+0.03749409614831886*I	-0.3721353085360088+0.2477920560282506*I	0.2945314937032771+0.5215109420539407*I	0.32570726440154535+0.39756485129554553*I	0.37540439424900407-0.2573335018035625*I	0.3362907829628061+0.10238096442603678*I	0.21960997388562026+0.41195283918064546*I	-0.4315105979813303+0.4541152864286015*I	-0.29208445764013613+0.2503643439926945*I	0.12791372728079756-0.3631496735534972*I	0.0750242898717605-0.49085565625628935*I
0.08895309103346502-0.09678923657971927*I	-0.01911664568950846-0.03472744056201979*I	-0.11744036585488891+0.04504726180687875*I	0.03590483480407016+0.12814543197920228*I	0.1709513842561516+0.1458858413586523*I	0.28713335463043094-0.24066796938972407*I	0.2568532473462517-0.5045098290848045*I	-0.35408196700380584-0.6884078318756385*I	0.21549578103488967-0.5211824322131967*I	0.27937234205683403-0.2372647056006524*I	0.2007452821592332+0.16763008363401885*I	0.051399354192606966+0.12318707142997229*I	-0.12414792570510534+0.015913512861220485*I	-0.04223705996886812-0.03200315132932223*I	0.06121150603636186-0.06359398463591376*I	0.030464537941389203+0.006630705493164774*I	-0.01581868143314297+0.07347068936693517*I	-0.018123899110940367+0.008247439822353148*I	-0.011185103498175983-0.06118019164171793*I	0.007141653211924324-0.015451961091261433*I	0.021824621587833812+0.03815605545041729*I	0.000985304820749926+0.01771431442539164*I	-0.020354745973474152-0.011761825487065912*I	-0.005432632089943302-0.016293083288458896*I	0.012258494851129826-0.01251432534952906*I	0.0061652863394596824+0.01225978993582096*I	-0.0030709922263415894+0.030780795825268676*I	-0.003911594412995077-0.006541872357240528*I	-0.0027579376362562883-0.04052779447811574*I	-0.00020178544447504483-0.05384426562138848*I	0.002451892897426449-0.03970014111920838*I	-0.006826392264131543+0.040145775300292404*I	-0.009548210567110218+0.06873723313060176*I	0.017531251646132496-0.014614277267645437*I	0.02340981924099039-0.07799993403502897*I	-0.025882420413832097-0.01894431563806328*I	-0.04162177411568995+0.061537317463421906*I	0.02439554373874317+0.054587986824832804*I	0.056151971497266466-0.018359712099212302*I	-0.005689676332430233-0.08395284576690167*I	-0.05345288101898806-0.04554926748412005*I	-0.03590312709689493+0.09459476370935878*I	0.01578536255412862+0.11302836635683898*I	0.10297130662319318-0.06938871242195764*I	0.0764234394068245-0.15283386036030466*I	-0.19414111217306157-0.06746037114486106*I	-0.24155251687669468+0.03642380860445868*I	-0.031644462823819774+0.36382638425715225*I	-0.006306632251605021+0.338050584750962*I	0.3957462204457362+0.14908916390052437*I	0.3804876285972521+0.4052351270519717*I	0.4496094999363815+0.17733047060426957*I	0.032595012008764974+0.36345214228320066*I	-0.06830603830869968+0.3298753458964881*I	-0.30528940581028957-0.01781688765225488*I	-0.1917698295121657-0.026285827288347607*I	0.13699009710932286-0.06637707983131055*I	0.15164707240571335-0.10949741725086534*I
0.14870704765370402+0.22400789888447598*I	0.07067700352288034+0.006067558787844355*I	-0.04339770564873348-0.21497430399094009*I	-0.14170586545417357-0.03686388229439883*I	-0.16774772026621482+0.16006128995883154*I	0.21313075181750127+0.19580372229613194*I	0.4853321208465225+0.13166494318722266*I	0.2154957810348698-0.5211824322131848*I	-0.164295525347788-0.9082483167629719*I	0.2444677776879895-0.5326834677469047*I	0.5284992457561177+0.11452550304231525*I	0.18850932400523213+0.19866323651425785*I	-0.24760048666467088+0.18146386843152798*I	-0.1269058633413999-0.02461428161688353*I	0.05850828885782362-0.2181264574543502*I	0.07313440960032547-0.023318547212757453*I	0.05045964959193995+0.18337450866638172*I	-0.029461191008778625+0.041676603725843815*I	-0.09435265653464774-0.12127342299577347*I	-0.0024408780114365146-0.043755088650893725*I	0.09071137278874254+0.05607858499374294*I	0.021824621587851655+0.03815605545039468*I	-0.05818887101729862+0.0007717551651867904*I	-0.029098971460255765-0.02918692847791325*I	0.014828484848670064-0.044257368700131666*I	0.02590100442675744+0.019279760291571496*I	0.023765939723228078+0.07298162143413085*I	-0.014993895790286546-0.00949464159786343*I	-0.04610779391491481-0.08712713802536814*I	-0.053715429856739126-0.12032018328054384*I	-0.033940228589954734-0.09214456351965633*I	0.02451143971328236+0.0989551206491744*I	0.04670622955158191+0.16660362070882345*I	0.025287983721146132-0.05603779402533932*I	-0.02386122243514679-0.20584509390481948*I	-0.07942699076785431-0.007813392889251546*I	-0.03629690413094631+0.19343932603372488*I	0.11578180973731049+0.08914705370389726*I	0.11810934255616705-0.11670037918963494*I	-0.1086955165587096-0.1786094800729992*I	-0.18573086664200394-0.028143453571704447*I	0.03152999675131053+0.254864915434863*I	0.18227639870106022+0.22451451590359328*I	0.14092699149348611-0.2770814436062268*I	-0.030831178377950692-0.41925350212167056*I	-0.43051003940734844+0.09635696911426882*I	-0.3630186579774168+0.3814045686743438*I	0.35449822703369843+0.504610380841121*I	0.3627722315395929+0.2559039459139082*I	0.2951452836772607-0.29940766246420386*I	0.24125982572106666+0.20619743924903253*I	0.2945314937032654+0.5215109420539307*I	-0.2876878698555176+0.43915946807473133*I	-0.3213529834309921+0.07956825680895273*I	-0.023372398364764724-0.4806319200898803*I	0.006344783084281426-0.28951104966938146*I	0.07619487970411079+0.26423412559513365*I	0.150918898271027+0.3276893398452594*I
-0.0182760875105848+0.10285679536754976*I	0.01888161296588699+0.01813093839959769*I	0.0464115039235965-0.07584358531344587*I	-0.03564481856630781-0.042143054464573525*I	-0.09952649789284147+0.013053998643087882*I	0.04847912010594193+0.1289865541764023*I	0.17177328550611226+0.17913111916774083*I	0.27937234205681066-0.2372647056006565*I	0.24446777768797479-0.5326834677469247*I	-0.35116173291716846-0.6942073146220751*I	0.23223181953398228-0.5016503148666756*I	0.28054111322789627-0.23052806625449737*I	0.18575138636895738+0.15813544203615154*I	0.04748775977960163+0.11664519907274562*I	-0.11498295977744322+0.0156611558062613*I	-0.0372405448004672-0.026480000739638437*I	0.05949190002467356-0.05511263285384249*I	0.026023266177801065+0.002678977308355227*I	-0.0207169655220188+0.05910170671667399*I	-0.015542868056036099+0.010298700522801407*I	-0.0024408780114226073-0.04375508865089422*I	0.007141653211918361-0.015451961091260407*I	0.013080396101072164+0.020730952459595182*I	-0.0015957262341715576+0.01566305372493847*I	-0.015456461884614974+0.0026071571631864827*I	-0.0009913603263663317-0.012341355103645753*I	0.013978100862819268-0.020995677131585882*I	0.0011687711710495693+0.006736639346161472*I	-0.012235958154020671+0.031033152880249517*I	-0.01939724550525246+0.03950398204122564*I	-0.016661987250601397+0.027829720085727247*I	0.020647859873204055-0.02568024097866517*I	0.033446629574757906-0.045099666798339856*I	-0.02044278093182279+0.000564511198043642*I	-0.048449854827438854+0.043335675598331486*I	0.013945936308096579+0.030676718491508655*I	0.05615197149727986-0.01835971209920959*I	0.004759931098232686-0.06004157743357239*I	-0.04662480030723355-0.027347625619028725*I	-0.041342766578901374+0.07508593687323978*I	0.0057485522203766445+0.0801280991201398*I	0.09985469839614391-0.058322748710944526*I	0.08353721609033318-0.11192634731544442*I	-0.18157025893194484-0.06681857788580006*I	-0.23910062397927573-0.003276332514765809*I	-0.05124349377354798+0.34948610067698077*I	-0.02296861950220016+0.365880304836693*I	0.41659586576341917+0.17725318854327254*I	0.41148236527456655+0.39983560137288227*I	0.4359931112686659+0.13774920650204509*I	-0.006306632251579102+0.3380505847509623*I	-0.07189135364672755+0.37516634165563734*I	-0.2725472535539912+0.04182333428356118*I	-0.16112747800010355-0.06738308908383836*I	0.13198707091777173-0.15526202291376834*I	0.08590876208804817-0.08899946720245068*I	-0.05040341927689574+0.09848781121935382*I	-0.04610269767712166+0.13512751430680253*I
