0.13133573974486237-0.00008195826193899868*I	0.5153663284406778-0.000019263178108162328*I	-0.04372346583626498+0.000027146888816543305*I	-0.5227993149181539+0.00002825049579060119*I	-0.045152414874771576+0.0000299356269596743*I	0.5069607391201226-7.80330039595368*^-6*I
0.5153663284406778-0.000019263178108162328*I	0.1807804053516263-0.00012028420988918846*I	0.5153663284406779-0.000019263178108162328*I	-0.09316813144302893+0.00006547283676673306*I	-0.531204904238709+0.00003971037350280984*I	-0.09316813144302893+0.00006547283676673309*I
-0.04372346583626498+0.000027146888816543308*I	0.5153663284406776-0.000019263178108162328*I	0.13133573974486235-0.00008195826193899868*I	0.5069607391201228-7.803300395953673*^-6*I	-0.04515241487477154+0.000029935626959674268*I	-0.5227993149181538+0.000028250495790601186*I
-0.5227993149181539+0.00002825049579060119*I	-0.0931681314430289+0.00006547283676673309*I	0.5069607391201226-7.803300395953678*^-6*I	0.17935145631311972-0.00011749547174605746*I	0.5235289967035605-0.000030106075432188053*I	0.004292250731992374-8.390320990515478*^-6*I
-0.04515241487477157+0.00002993562695967428*I	-0.5312049042387089+0.00003971037350280984*I	-0.045152414874771556+0.00002993562695967428*I	0.5235289967035605-0.000030106075432188063*I	0.13415234130376927-0.00008740655945350229*I	0.5235289967035605-0.000030106075432188063*I
0.5069607391201226-7.803300395953678*^-6*I	-0.09316813144302893+0.00006547283676673305*I	-0.5227993149181539+0.000028250495790601183*I	0.00429225073199236-8.390320990515465*^-6*I	0.5235289967035605-0.00003010607543218805*I	0.1793514563131197-0.00011749547174605743*I
