1.299696788414528-0.34582155449513396*I	0.598054612871161-0.4703497632981772*I	-0.7973779485790828-0.0493320521366219*I	-0.04907407685276466+0.29188648826926855*I	0.7561849126715877+0.29452160969049274*I	0.6842988556578671-0.044563954620521866*I	-0.18137833031444128-0.3320237614572969*I	-1.2187829460300397+0.1371040890290041*I	-0.045007685362805805+0.49664512667288535*I	1.493656107241593+0.17972968784342325*I
0.5980546128711616-0.4703497632981758*I	0.17513379339530058-0.7723756249377897*I	0.5489805360183972-0.17846327502890702*I	0.5951106539494062+0.13509848131637675*I	-0.04907407685276452+0.29188648826926855*I	-0.6363036898569014+0.11009107623749406*I	-0.48541001351940893-0.19934635386078792*I	-0.30911864341675616+0.48731309454352933*I	-0.3231814516596091+0.7871835401706012*I	0.32718504644014507+0.3772220183060351*I
-0.7973779485790826-0.04933205213662062*I	0.5489805360183977-0.17846327502890544*I	1.258503752507034-0.10063199694126176*I	0.5489805360183977-0.17846327502890705*I	-0.7973779485790828-0.04933205213662192*I	-1.2187829460300406+0.1371040890290025*I	-0.2263860156772484+0.16462136521558704*I	0.9591720168694187+0.272269822251902*I	-0.2263860156772487+0.1646213652155854*I	-1.2187829460300408+0.13710408902900204*I
-0.04907407685276377+0.2918864882692722*I	0.5951106539494082+0.1350984813163832*I	0.5489805360183981-0.17846327502890527*I	0.17513379339530166-0.7723756249377893*I	0.5980546128711614-0.4703497632981771*I	0.32718504644014407+0.3772220183060334*I	-0.3231814516596099+0.7871835401706011*I	-0.30911864341675843+0.4873130945435239*I	-0.4854100135194109-0.19934635386079422*I	-0.6363036898569029+0.1100910762374907*I
0.7561849126715882+0.29452160969049446*I	-0.04907407685276338+0.2918864882692723*I	-0.7973779485790826-0.04933205213662045*I	0.5980546128711618-0.4703497632981752*I	1.2996967884145285-0.3458215544951338*I	1.4936561072415924+0.17972968784342142*I	-0.04500768536280664+0.4966451266728836*I	-1.2187829460300414+0.1371040890289996*I	-0.18137833031444234-0.3320237614573005*I	0.6842988556578664-0.044563954620524204*I
0.6842988556578664-0.044563954620524066*I	-0.6363036898569027+0.11009107623749079*I	-1.2187829460300408+0.13710408902900198*I	0.3271850464401447+0.37722201830603497*I	1.4936561072415928+0.17972968784342325*I	0.9275040566115774-0.2263984461282835*I	0.28542466046751946-0.3699971329968425*I	-0.7146453208395733-0.3720237814645611*I	0.33301901367913356-0.07953546793030675*I	1.2111102722140483-0.14759322800429675*I
-0.18137833031444228-0.33202376145730045*I	-0.4854100135194108-0.19934635386079425*I	-0.2263860156772489+0.16462136521558524*I	-0.32318145165961015+0.7871835401706009*I	-0.04500768536280647+0.4966451266728853*I	0.2854246604675199-0.36999713299684095*I	0.2847274004422235-0.8074712608562783*I	0.6184436741466536-0.4495326009271473*I	0.4611063482581216+0.26518066649447486*I	0.33301901367913367-0.07953546793030664*I
-1.2187829460300412+0.13710408902900023*I	-0.30911864341675777+0.487313094543524*I	0.9591720168694189+0.2722698222519017*I	-0.30911864341675666+0.4873130945435286*I	-1.2187829460300401+0.13710408902900384*I	-0.7146453208395741-0.3720237814645623*I	0.6184436741466517-0.4495326009271522*I	1.4239690079860514-0.7460154555971423*I	0.6184436741466526-0.4495326009271476*I	-0.7146453208395737-0.372023781464561*I
-0.04500768536280625+0.496645126672884*I	-0.32318145165960876+0.7871835401706013*I	-0.22638601567724803+0.164621365215587*I	-0.48541001351940904-0.19934635386078783*I	-0.18137833031444145-0.3320237614572969*I	0.33301901367913234-0.07953546793030997*I	0.4611063482581195+0.2651806664944686*I	0.618443674146651-0.4495326009271528*I	0.28472740044222244-0.8074712608562786*I	0.28542466046751885-0.3699971329968426*I
1.4936561072415924+0.17972968784342166*I	0.3271850464401444+0.3772220183060336*I	-1.2187829460300406+0.13710408902900245*I	-0.6363036898569019+0.11009107623749408*I	0.6842988556578669-0.04456395462052186*I	1.2111102722140479-0.1475932280042981*I	0.33301901367913284-0.07953546793030995*I	-0.7146453208395738-0.3720237814645626*I	0.28542466046751946-0.3699971329968412*I	0.9275040566115773-0.22639844612828358*I
