0.39273245903237225-0.8154339967780586*I	0.1706161519990529+0.7348950625273039*I	-0.6332277438447842-0.2207851030006397*I	0.16466698596551282-0.2649462459766445*I	0.40102079900881343+0.5943428431291117*I	-0.7300468782836268-0.5731172649153041*I	0.6282879876446092+0.21382550508929543*I	0.5575459023462799-0.15857849854537281*I	-0.7812158239579345+0.2304995262700854*I	0.2755495373656244+0.41482759968385596*I
0.17061615199904784+0.7348950625273031*I	0.35036543094399797-0.8545240536319556*I	0.3352831379645518+0.4699488165506601*I	-0.3545848656770715-0.14536674616131157*I	0.1646669859655035-0.2649462459766429*I	0.12237792084111412+0.5189244862897817*I	-0.3371679619028456-0.46674951748403337*I	-0.4684827949152891+0.3372294401430399*I	0.6624792877128655-0.47864596138882154*I	-0.5908607157564029-0.18169504614674173*I
-0.6332277438447769-0.2207851030006383*I	0.33528313796454645+0.4699488165506591*I	0.16052551419642103-0.44187625664958763*I	0.3352831379645426+0.4699488165506617*I	-0.6332277438447715-0.22078510300064202*I	0.5575459023462853-0.15857849854537195*I	-0.15292783631334528+0.4443250313593819*I	0.10304856142829161-0.3168681637768219*I	-0.15292783631334528+0.44432503135938184*I	0.5575459023462891-0.15857849854537456*I
0.16466698596550255-0.2649462459766463*I	-0.3545848656770614-0.14536674616130973*I	0.33528313796453824+0.4699488165506608*I	0.3503654309440172-0.8545240536319588*I	0.17061615199903507+0.734895062527307*I	-0.5908607157564036-0.1816950461467441*I	0.6624792877128796-0.47864596138882215*I	-0.468482794915299+0.33722944014304046*I	-0.3371679619028316-0.46674951748403387*I	0.12237792084110492+0.5189244862897846*I
0.4010207990088208+0.594342843129113*I	0.1646669859654939-0.26494624597664485*I	-0.6332277438447644-0.22078510300064036*I	0.17061615199903013+0.7348950625273056*I	0.3927324590323845-0.8154339967780606*I	0.2755495373656295+0.4148275996838568*I	-0.7812158239579539+0.23049952627008607*I	0.5575459023462941-0.15857849854537348*I	0.6282879876445895+0.2138255050892962*I	-0.7300468782836179-0.5731172649153056*I
-0.730046878283627-0.5731172649153042*I	0.12237792084111765+0.5189244862897824*I	0.5575459023462799-0.15857849854537315*I	-0.5908607157563965-0.1816950461467426*I	0.2755495373656249+0.4148275996838557*I	0.2023773508308343-0.4032394243612306*I	0.4390580740204629+0.15371975093039653*I	-0.3176727852428306-0.11368951178429826*I	-0.5486967181255302+0.16519272650936173*I	0.906930865812305+0.2892438619286251*I
0.628287987644602+0.2138255050892944*I	-0.3371679619028406-0.4667495174840327*I	-0.15292783631334517+0.444325031359382*I	0.662479287712875-0.4786459613888232*I	-0.7812158239579474+0.23049952627008755*I	0.439058074020458+0.15371975093039553*I	0.1621593115641945-0.4472882808893473*I	-0.10963864410508173+0.3189124774397586*I	0.14539090418505962-0.44669237979568377*I	-0.5486967181255397+0.16519272650936304*I
0.5575459023462852-0.1585784985453721*I	-0.46848279491529243+0.33722944014303935*I	0.10304856142829161-0.3168681637768218*I	-0.46848279491529493+0.3372294401430408*I	0.5575459023462889-0.15857849854537426*I	-0.31767278524282694-0.11368951178429769*I	-0.10963864410508134+0.31891247743975837*I	0.7916354314003184-0.22768507421690415*I	-0.10963864410508145+0.31891247743975837*I	-0.31767278524282416-0.11368951178429923*I
-0.7812158239579414+0.23049952627008427*I	0.6624792877128706-0.4786459613888208*I	-0.15292783631334494+0.44432503135938184*I	-0.33716796190283693-0.46674951748403465*I	0.6282879876445965+0.21382550508929749*I	-0.5486967181255354+0.16519272650936073*I	0.1453909041850594-0.4466923797956836*I	-0.10963864410508128+0.3189124774397584*I	0.16215931156419416-0.4472882808893471*I	0.43905807402045405+0.15371975093039766*I
0.2755495373656298+0.41482759968385663*I	-0.5908607157564101-0.1816950461467429*I	0.5575459023462941-0.1585784985453735*I	0.12237792084110118+0.5189244862897838*I	-0.7300468782836179-0.5731172649153058*I	0.9069308658123085+0.2892438619286258*I	-0.5486967181255443+0.16519272650936212*I	-0.3176727852428203-0.11368951178429877*I	0.439058074020449+0.15371975093039686*I	0.20237735083084069-0.4032394243612316*I
