0.4368665629345894-0.5356744676901457*I	0.14935825251792756+0.6910716264219792*I	-0.6683027471747349-0.5355014890891736*I	0.8864574554540025+0.13902251194095722*I	-0.705692406527775+0.31992794983514455*I	0.17344500748669012+0.1391801118414533*I
0.14935825251792761+0.6910716264219788*I	0.4523834332342583-0.8917345104434073*I	0.14935825251792775+0.6910716264219791*I	-0.6838196174744041-0.17944144633591166*I	0.9105442104227649-0.41286900263956844*I	-0.6838196174744039-0.17944144633591155*I
-0.6683027471747348-0.5355014890891733*I	0.14935825251792756+0.691071626421979*I	0.4368665629345893-0.5356744676901457*I	0.17344500748669003+0.13918011184145335*I	-0.7056924065277748+0.31992794983514444*I	0.8864574554540023+0.1390225119409571*I
0.8864574554540025+0.13902251194095708*I	-0.683819617474404-0.17944144633591158*I	0.17344500748668998+0.1391801118414533*I	0.41499377388121866-0.03630507151908963*I	0.1833110124902692-0.08294875036425248*I	-0.6901755362281056-0.03613209291811729*I
-0.7056924065277745+0.31992794983514433*I	0.910544210422765-0.41286900263956844*I	-0.7056924065277748+0.31992794983514444*I	0.18331101249026932-0.08294875036425252*I	0.42155204229282095-0.19137571787180202*I	0.1833110124902692-0.08294875036425246*I
0.17344500748668998+0.1391801118414533*I	-0.683819617474404-0.17944144633591164*I	0.8864574554540025+0.13902251194095716*I	-0.6901755362281056-0.036132092918117316*I	0.1833110124902693-0.0829487503642525*I	0.41499377388121866-0.03630507151908961*I
