0.9084033942882622-0.6119115526096774*I	0.3924559527863708+0.6535242291335059*I	-1.3596623875696754-0.1396805564891332*I	0.05374735202055125-0.2872371969342745*I	1.297824209026348+0.46999795822834656*I	-1.546198192605029-0.253390237449227*I	0.480278373445691-0.17844456534247494*I	1.1173944728425562-0.20551842599797132*I	-0.40564018148755543+0.554359572281991*I	-0.4371810473731336+0.0500832160281946*I
0.39245595278637374+0.653524229133507*I	0.14021918430199032-0.8868045941314535*I	0.4462033048069242+0.3662870321992346*I	-0.43474567560503985-0.06870118321513169*I	0.05374735202055014-0.28723719693427247*I	0.3729074970617138+0.39901858495434306*I	-0.4825510717830255-0.17167146651292864*I	-0.21857068052169343+0.5342310699869848*I	0.28775747268304763-0.8089594391032866*I	-0.591478177583407+0.13521248503264152*I
-1.3596623875696792-0.1396805564891347*I	0.4462033048069275+0.366287032199236*I	0.8465652157449322-0.28159415087046763*I	0.4462033048069232+0.36628703219923664*I	-1.3596623875696743-0.13968055648913535*I	1.1173944728425536-0.20551842599797399*I	0.07463819195813731+0.3759150069395213*I	-0.8659847671356105-0.4088254474190093*I	0.07463819195814053+0.3759150069395208*I	1.1173944728425549-0.2055184259979742*I
0.05374735202055747-0.28723719693427163*I	-0.4347456756050482-0.06870118321513574*I	0.44620330480692677+0.3662870321992382*I	0.14021918430199215-0.8868045941314593*I	0.39245595278636936+0.6535242291335098*I	-0.5914781775834035+0.1352124850326439*I	0.2877574726830484-0.8089594391032922*I	-0.21857068052168954+0.5342310699869901*I	-0.4825510717830332-0.17167146651293275*I	0.3729074970617136+0.3990185849543461*I
1.2978242090263443+0.4699979582283449*I	0.053747352020556596-0.2872371969342692*I	-1.359662387569678-0.1396805564891373*I	0.39245595278637235+0.6535242291335114*I	0.908403394288263-0.6119115526096796*I	-0.4371810473731359+0.05008321602819149*I	-0.40564018148755343+0.5543595722819965*I	1.1173944728425522-0.2055184259979772*I	0.48027837344569607-0.1784445653424695*I	-1.5461981926050303-0.2533902374492302*I
-1.5461981926050312-0.253390237449228*I	0.3729074970617146+0.39901858495434367*I	1.1173944728425544-0.20551842599797354*I	-0.5914781775834074+0.1352124850326421*I	-0.4371810473731328+0.05008321602819336*I	1.0942413903841128-0.1927644653603272*I	0.17878417198486662+0.17148649499714458*I	-1.0664535150898453-0.29799661953660034*I	-0.06978690213605204+0.37683468881942855*I	1.4051950854103268-0.10746519206847091*I
0.48027837344569735-0.1784445653424719*I	-0.48255107178303364-0.17167146651293227*I	0.07463819195814014+0.37591500693952234*I	0.2877574726830493-0.8089594391032916*I	-0.40564018148755715+0.5543595722819948*I	0.17878417198486982+0.17148649499714586*I	0.2000555323544566-0.7515869199459113*I	0.10899726984881714+0.5483211838165771*I	-0.3999857525203546-0.25490834810965957*I	-0.06978690213605282+0.3768346888194304*I
1.1173944728425513-0.2055184259979738*I	-0.21857068052168888+0.5342310699869872*I	-0.8659847671356101-0.4088254474190095*I	-0.21857068052169426+0.5342310699869879*I	1.1173944728425576-0.20551842599797465*I	-1.0664535150898473-0.2979966195366012*I	0.10899726984881308+0.5483211838165751*I	1.4329829607045932-0.5982262769654004*I	0.10899726984881775+0.5483211838165747*I	-1.0664535150898453-0.2979966195366015*I
-0.40564018148755204+0.5543595722819926*I	0.28775747268304647-0.8089594391032872*I	0.07463819195813826+0.3759150069395195*I	-0.48255107178302586-0.1716714665129289*I	0.4802783734456901-0.17844456534247277*I	-0.06978690213605238+0.37683468881942817*I	-0.3999857525203479-0.2549083481096561*I	0.1089972698488143+0.5483211838165726*I	0.2000555323544549-0.751586919945907*I	0.17878417198486676+0.17148649499714413*I
-0.4371810473731367+0.05008321602819319*I	-0.5914781775834033+0.13521248503264308*I	1.1173944728425538-0.20551842599797443*I	0.37290749706171267+0.3990185849543453*I	-1.5461981926050283-0.2533902374492289*I	1.4051950854103252-0.1074651920684714*I	-0.06978690213605321+0.37683468881943005*I	-1.0664535150898466-0.2979966195366019*I	0.17878417198486984+0.17148649499714563*I	1.0942413903841133-0.19276446536032793*I
