1.0159723604266464-0.34853852252924306*I	-0.6421434753343275+0.2953855074912381*I	0.4995157799131155-0.3485070608025455*I	-0.5367486159667056+0.527041204424778*I	0.7672636578887526-0.8952565067783343*I	-0.7555861491248114+0.527063808441733*I
-0.6421434753343275+0.29538550749123815*I	0.9679075906344174-0.25036771429726257*I	-0.6421434753343275+0.29538550749123815*I	0.5475805497053448-0.446677869034526*I	-0.6501912897571899+0.7587195053752731*I	0.547580549705345-0.44667786903452616*I
0.49951577991311547-0.3485070608025454*I	-0.6421434753343274+0.29538550749123804*I	1.0159723604266462-0.34853852252924294*I	-0.755586149124811+0.5270638084417326*I	0.7672636578887525-0.8952565067783341*I	-0.5367486159667058+0.5270412044247781*I
-0.5367486159667056+0.5270412044247779*I	0.5475805497053446-0.44667786903452583*I	-0.7555861491248111+0.5270638084417326*I	1.235655468610054-0.7971171602730509*I	-1.1606404685109446+1.3540091242558072*I	0.7191988880965235-0.7970856985463536*I
0.7672636578887528-0.8952565067783343*I	-0.6501912897571899+0.7587195053752729*I	0.7672636578887528-0.8952565067783343*I	-1.1606404685109446+1.3540091242558072*I	1.971983248709503-2.3000889624185206*I	-1.160640468510945+1.3540091242558077*I
-0.7555861491248114+0.527063808441733*I	0.5475805497053448-0.4466778690345261*I	-0.5367486159667059+0.5270412044247781*I	0.7191988880965237-0.7970856985463537*I	-1.160640468510945+1.3540091242558077*I	1.2356554686100547-0.7971171602730515*I
