-1.2290520017979873-0.1477689266228487*I	0.5978382349943387+0.37747337301114947*I	0.7627759258397041-0.1467200881493474*I	-1.192818129158123-0.26310798184724243*I	0.1675959041054475+0.35206359580311236*I	1.3608075495154295-0.2620907050451476*I
0.5978382349943385+0.3774733730111496*I	-0.25099135232718117-0.9678482652398284*I	0.5978382349943387+0.37747337301114947*I	-0.21528472363110185+0.6733592504676322*I	-0.4298488146370325-0.9026720599035395*I	-0.21528472363110185+0.6733592504676321*I
0.7627759258397037-0.14672008814934748*I	0.5978382349943389+0.3774733730111495*I	-1.2290520017979871-0.14776892662284868*I	1.360807549515429-0.2620907050451477*I	0.16759590410544756+0.3520635958031124*I	-1.1928181291581228-0.26310798184724243*I
-1.192818129158123-0.2631079818472424*I	-0.21528472363110185+0.6733592504676319*I	1.3608075495154293-0.2620907050451475*I	-0.8461713740614378-0.46906458128736833*I	0.29915921579436366+0.6280456955867011*I	1.1456565535762535-0.46801574281386693*I
0.16759590410544772+0.3520635958031125*I	-0.4298488146370328-0.9026720599035397*I	0.16759590410544764+0.35206359580311236*I	0.29915921579436394+0.6280456955867014*I	-0.4008772878554929-0.8419691542823191*I	0.2991592157943639+0.6280456955867013*I
1.360807549515429-0.26209070504514764*I	-0.21528472363110152+0.673359250467632*I	-1.1928181291581228-0.2631079818472424*I	1.1456565535762535-0.46801574281386715*I	0.2991592157943638+0.6280456955867013*I	-0.8461713740614378-0.46906458128736833*I
