-4.286417747293392-0.2274316203507453*I	0.5290469920671357+0.46905127717133677*I	3.789160479878002-0.21352948488951795*I	-4.090879196100945-0.2687124774231777*I	0.05623909320914544+0.4665283015869151*I	4.500162947226618-0.25483691226690686*I
0.5290469920671357+0.46905127717133654*I	-0.06190827831888601-0.9979748548030225*I	0.5290469920671357+0.46905127717133666*I	-0.43534898909650543+0.5570137495627595*I	-0.11976324094146396-0.9926006668614209*I	-0.43534898909650543+0.5570137495627596*I
3.7891604798780003-0.2135294848895179*I	0.5290469920671361+0.4690512771713367*I	-4.286417747293392-0.2274316203507453*I	4.500162947226617-0.2548369122669068*I	0.056239093209145+0.466528301586915*I	-4.090879196100945-0.2687124774231777*I
-4.090879196100946-0.26871247742317755*I	-0.43534898909650455+0.5570137495627595*I	4.500162947226617-0.2548369122669067*I	-3.7948296649877413-0.3179170683265899*I	0.06694514615502634+0.5540584394604*I	4.280748562183652-0.3040149328653626*I
0.056239093209144726+0.4665283015869149*I	-0.11976324094146343-0.9926006668614209*I	0.05623909320914473+0.46652830158691494*I	0.06694514615502607+0.5540584394604*I	-0.1191121247509232-0.9873499291943064*I	0.06694514615502607+0.5540584394604001*I
4.500162947226617-0.25483691226690675*I	-0.4353489890965059+0.5570137495627596*I	-4.090879196100945-0.2687124774231776*I	4.280748562183652-0.30401493286536263*I	0.06694514615502634+0.5540584394604001*I	-3.7948296649877404-0.31791706832659006*I
