0.004987320514881377+0.*I	0.-110.18749501312544*I	-0.01600607001619392+0.*I	0.-69.11121725310244*I	0.009094948290883753+0.*I	0.+626.9283053421328*I	0.053597882243329564+0.*I	0.-1384.517575848463*I	-0.1920496398281758+0.*I	0.+2004.4971062945406*I	0.3924993504576299+0.*I	0.-2201.489185487347*I	0.3873517309936353+0.*I	0.+1912.9500519119954*I	-0.19605672580243577+0.*I	0.-1319.0275326010167*I	0.06415397254233401+0.*I	0.+705.1405811921109*I	0.0063600855768770614+0.*I	0.-267.8372447747871*I	-0.03314381005435596+0.*I	0.+267.8372480891683*I	0.059927534863272625+0.*I	0.-437.30333705333226*I	-0.1100179541454831+0.*I	0.+613.8869449935091*I	0.10725267610249944+0.*I	0.-593.9224997053055*I	0.029411799729405885+0.*I	0.+288.53909484017913*I	-0.38790962123902295+0.*I	0.+196.99203994287166*I	0.01510947477567992+0.*I	0.-619.9795112411144*I	0.1149422139283851+0.*I	0.+757.5892651465412*I	-0.0927811696570584+0.*I	0.-557.8170889985256*I	0.027904512466338627+0.*I	0.+179.2987138668349*I	0.00603142893656361+0.*I	0.+110.18749451439339*I
0.-1.6369022747323844*^-6*I	0.017137740038160158+0.*I	0.-7.687172908364847*^-8*I	-0.025421626825465313+0.*I	0.+2.6190344116301945*^-6*I	0.007954414801149504+0.*I	0.-3.414475891745125*^-6*I	0.0587455017073257+0.*I	0.-2.4600742789874588*^-6*I	-0.19204963982817705+0.*I	0.+0.000021665038261805183*I	0.3873517309936357+0.*I	0.-0.00006040021136116876*I	0.3884922644833709+0.*I	0.+0.000021550984912831714*I	-0.18664116899316735+0.*I	0.-2.886868013514932*^-6*I	0.05200355301905804+0.*I	0.-2.313487288390873*^-6*I	0.0013727650619928934+0.*I	0.+2.1762107821915717*^-6*I	-0.001372764844371991+0.*I	0.-2.0389342977543547*^-6*I	-0.053376318312399855+0.*I	0.+9.69005341738513*^-6*I	0.13463761568542243+0.*I	0.-0.00002026694697241242*I	-0.20185109333510493+0.*I	0.+0.000018901071393091357*I	0.22415599848297232+0.*I	0.+0.000019083540119780156*I	-0.1953020889989548+0.*I	0.-0.000021218369481690265*I	0.13330413787484385+0.*I	0.+0.00001034802997319345*I	-0.06669991684992282+0.*I	0.-2.6356239645598216*^-7*I	0.01746721228621935+0.*I	0.-4.10219324379466*^-6*I	0.008283886779617977+0.*I	0.+3.3506762949183063*^-6*I	-0.017137740201850396+0.*I
0.012150419523278+0.*I	0.+198.72602752168163*I	0.007722183228890234+0.*I	0.-188.39977086309702*I	-0.02656216031519998+0.*I	0.-134.60126050055064*I	0.013102034265145002+0.*I	0.+718.475359724689*I	0.05874550170732401+0.*I	0.-1384.5175758484672*I	-0.19719725929217072+0.*I	0.+1912.9500519119972*I	0.3884922644833704+0.*I	0.-2135.999142239897*I	0.39790782129264+0.*I	0.+1991.1623277619624*I	-0.19879158851644357+0.*I	0.-1517.7535601226912*I	0.047016232504174194+0.*I	0.+815.3280762052284*I	0.03451657511634865+0.*I	0.-815.3280796568861*I	-0.11604938308203716+0.*I	0.+702.4254792158398*I	0.13927569849944654+0.*I	0.-473.4087477601129*I	0.0121750152409843+0.*I	0.+144.8367746871521*I	-0.3955991590649095+0.*I	0.+223.04905147867353*I	0.02941179972940544+0.*I	0.-528.4324563438041*I	0.114942213928386+0.*I	0.+666.042210249228*I	-0.10708349461078681+0.*I	0.-583.8741005343418*I	0.035594050292209634+0.*I	0.+323.00103401986365*I	0.023268213424971762+0.*I	0.-10.326257430802801*I	-0.03202302239694094+0.*I	0.-198.7260287367235*I
0.+4.2186032240470795*^-7*I	0.0027348627140079858+0.*I	0.-6.95346593805455*^-7*I	0.006581649739155544+0.*I	0.+3.71816198899667*^-8*I	-0.02141454085120428+0.*I	0.+2.1042724652304902*^-6*I	0.013102034265143328+0.*I	0.-3.4144758917448456*^-6*I	0.05359788224333018+0.*I	0.-1.945312332588178*^-6*I	-0.19605672580243533+0.*I	0.+0.000021550984912831707*I	0.3979078212926393+0.*I	0.-0.00006134176704209569*I	0.3857574017693635+0.*I	0.+0.000022766026865159296*I	-0.20377890903132725+0.*I	0.-2.3881359620265217*^-6*I	0.08016004255852986+0.*I	0.-5.627868293826509*^-6*I	-0.08016004312131644+0.*I	0.+0.000013643872605958114*I	0.12361886623398391+0.*I	0.-0.000023617623267329895*I	-0.18197849046143372+0.*I	0.+0.000019049445448314035*I	0.21633477080382044+0.*I	0.+0.00002065884451339979*I	-0.20185109333510534+0.*I	0.-0.00002202472009272073*I	0.14245884336457404+0.*I	0.+9.724148088851818*^-6*I	-0.06669991684992106+0.*I	0.+3.603194878853487*^-7*I	0.008312506796488242+0.*I	0.-3.2958426327645945*^-6*I	0.014832891115766966+0.*I	0.+1.7753719012978585*^-6*I	-0.009316512522698186+0.*I	0.-1.483740552237484*^-7*I	-0.0027348626718219416+0.*I
-0.009415556809267644+0.*I	0.-78.21227584997176*I	0.001594329224270663+0.*I	0.+133.23598427423588*I	0.011729269203153148+0.*I	0.-96.85271648054442*I	-0.02141454085120753+0.*I	0.-134.601260500569*I	0.007954414801150556+0.*I	0.+626.9283053421497*I	0.05473841573306443+0.*I	0.-1319.027532601022*I	-0.1866411689931666+0.*I	0.+1991.1623277619663*I	0.38575740176936324+0.*I	0.-2334.7251697615707*I	0.3807700812544798+0.*I	0.+2101.3498227750792*I	-0.1706350989769717+0.*I	0.-1249.916315347904*I	0.045643467442181285+0.*I	0.+1249.9163107835573*I	0.07934816363617425+0.*I	0.-851.4334903636659*I	0.0061435863044307926+0.*I	0.+233.3753089094822*I	-0.3635761366679604+0.*I	0.+343.5628034238633*I	0.012175015240985188+0.*I	0.-672.1347764968273*I	0.10725267610249856+0.*I	0.+692.0992217850306*I	-0.09278116965706373+0.*I	0.-492.3270456370224*I	0.0355940502922083+0.*I	0.+231.45397912256755*I	0.008965888471249017+0.*I	0.-36.3832689666182*I	-0.024333484571040787+0.*I	0.-55.023708583697136*I	0.017236784488441015+0.*I	0.+78.21227679152739*I
0.+5.196953585223099*^-7*I	-0.010556090299005444+0.*I	0.+5.359136713782316*^-7*I	0.00674194868826838+0.*I	0.-1.210108540205082*^-6*I	0.011729269203149968+0.*I	0.+3.718161989006026*^-8*I	-0.026562160315199833+0.*I	0.+2.6190344116299022*^-6*I	0.009094948290884242+0.*I	0.-3.5285292407183245*^-6*I	0.06415397254233342+0.*I	0.-2.886868013515011*^-6*I	-0.1987915885164426+0.*I	0.+0.000022766026865159272*I	0.3807700812544795+0.*I	0.-0.00006084303499060724*I	0.4139138913088351+0.*I	0.+0.000019451645859723756*I	-0.2051516740933202+0.*I	0.+1.0635215496082668*^-6*I	0.20515167419967217+0.*I	0.-0.000021578688969575532*I	-0.20876221527035044+0.*I	0.+0.000023003264636886833*I	0.205316021352382+0.*I	0.+0.00001730816821848243*I	-0.1819784904614342+0.*I	0.-0.00002187634603749809*I	0.13463761568542232+0.*I	0.+0.000011299452482470605*I	-0.0732489211860706+0.*I	0.-4.4603112314532685*^-7*I	0.01746721228621893+0.*I	0.-3.919724517106562*^-6*I	0.014832891115767879+0.*I	0.+2.399253785639221*^-6*I	-0.01847121801242926+0.*I	0.+6.579765558075546*^-7*I	0.0038141416643284114+0.*I	0.-1.5753043936182368*^-6*I	0.010556090350974963+0.*I
-0.0011405334897368058+0.*I	0.-65.4900432474483*I	-0.0054084708350080335+0.*I	0.+13.334778532571836*I	0.0067419486882651924+0.*I	0.+133.23598427422942*I	0.006581649739157591+0.*I	0.-188.3997708630781*I	-0.02542162682546542+0.*I	0.-69.1112172531204*I	0.01851050510015334+0.*I	0.+705.1405811921156*I	0.052003553019058235+0.*I	0.-1517.7535601226932*I	-0.2037789090313276+0.*I	0.+2101.3498227750774*I	0.41391389130883527+0.*I	0.-2066.887924986779*I	0.3793973161924868+0.*I	0.+1286.0217465698493*I	-0.25079514153550186+0.*I	0.-1286.0217214903355*I	0.12219296938646818+0.*I	0.+780.8661404771979*I	-0.423503671531235+0.*I	0.-34.461939179687484*I	0.006143586304431903+0.*I	0.-583.5962422744932*I	0.13927569849944832+0.*I	0.+812.6129737302219*I	-0.11001795414548332+0.*I	0.-636.0293657900459*I	0.027904512466325748+0.*I	0.+257.5109906583614*I	0.023268213424977424+0.*I	0.+55.16378593068369*I	-0.02433348457106599+0.*I	0.-146.57076348099625*I	0.002934459534697176+0.*I	0.+52.155265255723485*I	0.007689537825889992+0.*I	0.+65.49004336150159*I
0.-4.0564200954859905*^-7*I	0.00400708597426022+0.*I	0.+4.933412122534684*^-9*I	-0.005408470835011101+0.*I	0.+5.359136713785984*^-7*I	0.001594329224273558+0.*I	0.-6.953465938059458*^-7*I	0.007722183228891676+0.*I	0.-7.687172908319998*^-8*I	-0.01600607001619737+0.*I	0.+1.677478730702951*^-6*I	0.006360085576878923+0.*I	0.-2.3134872883908363*^-6*I	0.047016232504173784+0.*I	0.-2.3881359620265437*^-6*I	-0.17063509897697215+0.*I	0.+0.000019451645859723742*I	0.37939731619248657+0.*I	0.-0.000057391377478972355*I	0.3337538487503054+0.*I	0.+0.000024015992603941908*I	-0.33375384634870603+0.*I	0.+9.359392030928685*^-6*I	0.28684882931807015+0.*I	0.+0.000019347102516236764*I	-0.20876221527034988+0.*I	0.-0.000017922526848925627*I	0.12361886623398484+0.*I	0.+7.948776187553427*^-6*I	-0.053376318312401354+0.*I	0.-2.976570679223455*^-7*I	0.00964598460706642+0.*I	0.-2.3444201234871793*^-6*I	0.008283886779618645+0.*I	0.+1.5929031746085118*^-6*I	-0.00931651252269975+0.*I	0.+3.4094671467937654*^-8*I	0.0038141416643289352+0.*I	0.-9.514225092783698*^-7*I	0.0014013848612442+0.*I	0.+8.063506110290962*^-7*I	-0.004007086014824437+0.*I
0.005147619463996472+0.*I	0.+91.54705438254649*I	0.004007085974258334+0.*I	0.-65.49004324744574*I	-0.01055609029900284+0.*I	0.-78.21227584996778*I	0.0027348627140061227+0.*I	0.+198.72602752166787*I	0.01713774003816071+0.*I	0.-110.18749501311217*I	-0.028156489539471835+0.*I	0.-267.83724477479035*I	0.0013727650619928117+0.*I	0.+815.3280762052303*I	0.08016004255853025+0.*I	0.-1249.916315347903*I	-0.20515167409332052+0.*I	0.+1286.02174656985*I	0.33375384875030545+0.*I	0.-816.9716096388773*I	0.584548990285807+0.*I	0.+816.9715511839782*I	-0.5028518351674094+0.*I	0.-469.0501703063577*I	0.12219296938646829+0.*I	0.-36.10541070678007*I	0.07934816363617414+0.*I	0.+434.5882311266681*I	-0.11604938308203794+0.*I	0.-547.4908315677162*I	0.059927534863272514+0.*I	0.+378.02474260355154*I	0.006031428936554506+0.*I	0.-88.53853422233001*I	-0.0320230223969491+0.*I	0.-120.51375194518643*I	0.017236784488423917+0.*I	0.+143.7023201530225*I	0.007689537825887688+0.*I	0.-26.057011535809366*I	-0.014302324953724091+0.*I	0.-91.54705489730839*I
0.-1.0911993685121908*^-7*I	0.005147619463994826+0.*I	0.-4.0564200954825135*^-7*I	-0.0011405334897338546+0.*I	0.+5.196953585216526*^-7*I	-0.009415556809270318+0.*I	0.+4.218603224053516*^-7*I	0.012150419523274723+0.*I	0.-1.6369022747328279*^-6*I	0.004987320514885847+0.*I	0.+1.138170223244245*^-6*I	-0.033143810054357695+0.*I	0.+2.176210782191532*^-6*I	0.03451657511634959+0.*I	0.-5.627868293826496*^-6*I	0.04564346744218185+0.*I	0.+1.0635215496083126*^-6*I	-0.2507951415355017+0.*I	0.+0.00002401599260394186*I	0.5845489902858069+0.*I	0.-0.00008247089163252256*I	0.41545100146710395+0.*I	0.+0.000040925791485812165*I	-0.3337538463487059+0.*I	0.-0.0000315663994548833*I	0.2051516741996721+0.*I	0.+9.987710485307744*^-6*I	-0.08016004312131822+0.*I	0.+3.6561621206503507*^-6*I	-0.0013727648443706967+0.*I	0.-5.695096418404693*^-6*I	0.028156489653288912+0.*I	0.+1.7412772298321726*^-6*I	-0.017137740201850868+0.*I	0.+1.609399065085811*^-6*I	-0.002734862671818393+0.*I	0.-1.7577731203102993*^-6*I	0.01055609035097371+0.*I	0.+1.8246872668577527*^-7*I	-0.004007086014825143+0.*I	0.+6.238818843396688*^-7*I	-0.005147619474906817+0.*I
