0.-0.0000831626592810888*I	0.5912305428954492+0.*I	0.+0.00002403960499154384*I	-0.257897211501255+0.*I	0.+1.7501161585817057*^-6*I	0.046321546844425444+0.*I	0.-6.382270843024152*^-6*I	0.041308641383696915+0.*I	0.+2.251406704654471*^-6*I	-0.04130864177390276+0.*I	0.+1.8794574727358004*^-6*I	0.006509668096759833+0.*I	0.-2.530424282411777*^-6*I	0.019670595910332964+0.*I	0.+5.633646913784915*^-7*I	-0.01967059607724844+0.*I	0.+1.403694916346317*^-6*I	0.0016633488794095725+0.*I	0.-1.5700298042872383*^-6*I	0.014406887704620114+0.*I	0.+1.293410338252056*^-7*I	-0.014406887753801724+0.*I	0.+1.311347741555069*^-6*I	0.014406887884936593+0.*I	0.-2.752036530048722*^-6*I	6.211572915678486*^-11+0.*I	0.+2.6226954900120794*^-6*I	-0.016070236741032744+0.*I	0.+5.543579883780967*^-7*I	0.018007247338208524+0.*I	0.-3.758777638545057*^-6*I	2.232521150518992*^-10+0.*I	0.+3.1954129248410205*^-6*I	-0.026180264260135012+0.*I	0.+1.9530377835843927*^-6*I	0.034798973865088734+0.*I	0.-7.312392642829552*^-6*I	6.153465099618797*^-10+0.*I	0.+5.060985876640686*^-6*I	-0.0876301888663493+0.*I	0.+0.000010084303853017822*I	0.21157566483184137+0.*I	0.-0.00003299198649478314*I	-0.33333332899023377+0.*I	0.+0.000042285714402264734*I	0.40876944878828464+0.*I
0.5912305428954476+0.*I	0.-754.361257103552*I	0.333333331394197+0.*I	0.+1217.5766673736484*I	-0.21157566465683209+0.*I	0.-1239.4547642870768*I	0.08763018822812442+0.*I	0.+876.3018783791725*I	-3.9020718600735194*^-10+0.*I	0.-347.9897406734832*I	-0.03479897367714113+0.*I	0.-86.18709670048742*I	0.026180264007092433+0.*I	0.+261.802638401776*I	-1.6691488469167126*^-10+0.*I	0.-180.07247364753988*I	-0.018007247197839138+0.*I	0.-19.370106138092023*I	0.016070236584029896+0.*I	0.+160.70236534847666*I	-4.9182186101504044*^-11+0.*I	0.-144.0688780298313*I	-0.01440688775380114+0.*I	0.+144.06887947051987*I	0.028813775700853236+0.*I	0.-16.633487318645308*I	-0.030477124383535004+0.*I	0.-141.33226081740824*I	0.00027366171776546655+0.*I	0.+199.44258158635657*I	0.03767784363870824+0.*I	0.-81.73016475423613*I	-0.04585085994721527+0.*I	0.-175.61554431931515*I	0.00210904150819069+0.*I	0.+434.17684085386765*I	0.07610761625433793+0.*I	0.-528.3121377056893*I	-0.12893882963470027+0.*I	0.+363.15287714488545*I	0.07762392912106719+0.*I	0.+21.878118070994972*I	0.13613954734287081+0.*I	0.-463.21544360342955*I	-0.5157944230973992+0.*I	0.+754.3611979804978*I
0.+0.000024039604991544453*I	0.333333331394195+0.*I	0.-0.00005737293813096391*I	0.3796548782386191+0.*I	0.+0.000019407450307101973*I	-0.1702670232731331+0.*I	0.-2.380747979788653*^-6*I	0.04632154645422112+0.*I	0.-2.2514066656334173*^-6*I	0.006509667706553091+0.*I	0.+1.6004398949781115*^-6*I	-0.015128377766809854+0.*I	0.-8.760211829712951*^-8*I	0.0065096679298454795+0.*I	0.-5.633646746874528*^-7*I	0.0016633487124940963+0.*I	0.+3.9702980343795153*^-7*I	-0.0036003594932193248+0.*I	0.-3.699385411606875*^-8*I	0.001663348830228422+0.*I	0.-1.2934102890673153*^-7*I	-4.918203808323837*^-11+0.*I	0.+1.293410338249148*^-7*I	6.211606508942494*^-11+0.*I	0.-1.293410400365417*^-7*I	-0.001663348793980441+0.*I	0.+4.2501694834132095*^-7*I	0.0019370106592914984+0.*I	0.-5.817241601550235*^-7*I	0.001937010820427957+0.*I	0.-9.006725325666714*^-9*I	-0.008173016698676254+0.*I	0.+1.3896730698804815*^-6*I	0.008618709828204193+0.*I	0.-2.1639419344038954*^-6*I	0.008618710220300672+0.*I	0.-2.9836898260444044*^-7*I	-0.05283121438591504+0.*I	0.+7.832897086829193*^-6*I	0.12394547658083686+0.*I	0.-0.000017846696765125073*I	-0.20938785302474125+0.*I	0.+0.000019378031760496414*I	0.28701178462989196+0.*I	0.+9.293727907477594*^-6*I	-0.3333333289902345+0.*I
-0.25789721150125133+0.*I	0.+1217.5766673736496*I	0.3796548782386162+0.*I	0.-1993.81602139063*I	0.42096351962232076+0.*I	0.+2093.878545752822*I	-0.21157566504703854+0.*I	0.-1587.4445049605572*I	0.0528312145509828+0.*I	0.+790.1147816786819*I	0.026180263616885413+0.*I	0.-86.187102271705*I	-0.034798973844055975+0.*I	0.-266.2595703480234*I	0.008173016809253641+0.*I	0.+242.43253226368438*I	0.016070236417114775+0.*I	0.-19.37010829906382*I	-0.018007247247021047+0.*I	0.-163.43898416792388*I	0.001663348830228617+0.*I	0.+160.70236534847615*I	0.014406887704619231+0.*I	0.-160.7023667891647*I	-0.030477124383536003+0.*I	0.+2.7366186531127763*I	0.029087437418619022+0.*I	0.+182.80909426771208*I	0.007200719255172794+0.*I	0.-223.06242557164404*I	-0.0455771982294505+0.*I	0.+23.827037267037543*I	0.03978688514689932+0.*I	0.+352.4466760996257*I	0.030256756307120436+0.*I	0.-703.927682025003*I	-0.1268297881265068+0.*I	0.+797.3297179987538*I	0.15373154537540046+0.*I	0.-506.4340196346985*I	0.00720071770816344+0.*I	0.-100.06256645854411*I	-0.4381704939763367+0.*I	0.+776.2393160514927*I	0.13613954734287925+0.*I	0.-1217.5766415839284*I
0.+1.750116158580816*^-6*I	-0.21157566465682992+0.*I	0.+0.000019407450307102156*I	0.420963519622317+0.*I	0.-0.00006150380226933386*I	0.37965487784841473+0.*I	0.+0.000023538314484492423*I	-0.20506599695027664+0.*I	0.-3.0317147894647575*^-6*I	0.07250181046131424+0.*I	0.-4.218466256666664*^-6*I	0.006509667539639385+0.*I	0.+3.5674995027027013*^-6*I	-0.03313562496464743+0.*I	0.-2.5393700623796046*^-7*I	0.02257990451387344+0.*I	0.-2.0040534451494094*^-6*I	0.001663348663312645+0.*I	0.+1.837718578818089*^-6*I	-0.01800724724702036+0.*I	0.-3.699385411602034*^-8*I	0.016070236584029386+0.*I	0.-1.5700298042868732*^-6*I	-0.01607023674103227+0.*I	0.+3.1770534783901125*^-6*I	0.0019370106592915281+0.*I	0.-3.333760690203225*^-6*I	0.01634389876747945+0.*I	0.-1.3834776536259038*^-7*I	-0.02424325337759161+0.*I	0.+4.566726548270751*^-6*I	0.010555720425380166+0.*I	0.-5.368361584570391*^-6*I	0.026625957781757963+0.*I	0.-8.617336963081301*^-7*I	-0.07901147842280042+0.*I	0.+0.000012981347795254683*I	0.13256418618579088+0.*I	0.-0.000023206051624369443*I	-0.1745888785443066+0.*I	0.+0.000017126624994307273*I	0.1993815963788881+0.*I	0.+0.000024439017637137333*I	-0.2093878530247421+0.*I	0.-0.000022907682641764635*I	0.2115756648318415+0.*I
0.04632154684442069+0.*I	0.-1239.4547642870757*I	-0.17026702327312826+0.*I	0.+2093.8785457528215*I	0.3796548778484104+0.*I	0.-2341.8057620641134*I	0.38616454594517813+0.*I	0.+2007.6914490523318*I	-0.18539540103994487+0.*I	0.-1325.6418665587762*I	0.05283121438406732+0.*I	0.+610.0423080311419*I	0.008173016419046941+0.*I	0.-105.55720840979922*I	-0.01872873726002694+0.*I	0.-105.55720499955*I	0.008173016760071872+0.*I	0.+98.36365423385266*I	0.0016633486633134964+0.*I	0.-19.370108299062146*I	-0.0036003594932194627+0.*I	0.-19.370106138092968*I	0.0016633488794099982+0.*I	0.+19.370105971757873*I	0.0002736617177659384+0.*I	0.+38.74021479719094*I	0.0072007192551734045+0.*I	0.-78.99354610112566*I	-0.016763422528597305+0.*I	0.+7.193549948395332*I	0.009309760763363983+0.*I	0.+211.11441528222306*I	0.030530418024885986+0.*I	0.-504.48510043864405*I	-0.08915194448779928+0.*I	0.+715.5995532445122*I	0.10788068542818396+0.*I	0.-682.0495639540159*I	0.009309759216357794+0.*I	0.+334.11427439532747*I	-0.3620628777219981+0.*I	0.+247.92717834580478*I	0.007200717708162996+0.*I	0.-854.4237644390432*I	0.07762392912105154+0.*I	0.+1239.4547596549212*I
0.-6.382270843023119*^-6*I	0.08763018822812255+0.*I	0.-2.3807479797891226*^-6*I	-0.21157566504703523+0.*I	0.+0.00002353831448449264*I	0.3861645459451735+0.*I	0.-0.00006215476907901*I	0.40583514185550995+0.*I	0.+0.00002157125489345904*I	-0.2050659971171927+0.*I	0.-1.064655181739769*^-6*I	0.05449456326347446+0.*I	0.-4.384801144607693*^-6*I	0.02257990412366792+0.*I	0.+2.1268107322409018*^-6*I	-0.03313562501382893+0.*I	0.+1.186751769141958*^-6*I	0.008173016760072841+0.*I	0.-2.0040534451492498*^-6*I	0.01607023641711395+0.*I	0.+3.970298034378597*^-7*I	-0.018007247197838343+0.*I	0.+1.4036949163459676*^-6*I	0.0180072473382079+0.*I	0.-3.2044196501667788*^-6*I	0.0019370108204274387+0.*I	0.+2.6136887646861966*^-6*I	-0.024243253377592058+0.*I	0.+1.8146900182221964*^-6*I	0.02496260837243123+0.*I	0.-5.497702624607153*^-6*I	0.010555721102842051+0.*I	0.+2.315319782081934*^-6*I	-0.07707446782562238+0.*I	0.+9.776928145087956*^-6*I	0.15057143374725268+0.*I	0.-0.000023769416338073418*I	-0.2007691425811918+0.*I	0.+0.00002227507570273365*I	0.2080003059838396+0.*I	0.+0.000019079662777892456*I	-0.17458887854430694+0.*I	0.-0.00002515908940795343*I	0.12394547658083781+0.*I	0.+0.000015145289729660038*I	-0.08763018886634964+0.*I
0.041308641383700606+0.*I	0.+876.3018783791726*I	0.0463215464542166+0.*I	0.-1587.4445049605588*I	-0.2050659969502726+0.*I	0.+2007.6914490523325*I	0.405835141855506+0.*I	0.-2080.003123662328*I	0.38616454577826115+0.*I	0.+1827.618975404785*I	-0.20340264823778273+0.*I	0.-1345.0119726968671*I	0.06890145096809597+0.*I	0.+770.7446733796177*I	0.008173016369865838+0.*I	0.-249.62608643962736*I	-0.03313562501382855+0.*I	0.-105.5572049995484*I	0.02257990451387376+0.*I	0.+242.4325322636826*I	0.0016633487124944613+0.*I	0.-180.0724736475381*I	-0.019670596077248137+0.*I	0.+180.07247561459778*I	0.037677843638707964+0.*I	0.-62.36005878247915*I	-0.04557719822945083+0.*I	0.-136.87532952212476*I	0.009309760763362984+0.*I	0.+355.18329475273833*I	0.05934419372573996+0.*I	0.-521.1185877572917*I	-0.11962906887133506+0.*I	0.+574.2672924271042*I	0.1081543471459494+0.*I	0.-482.60698236765285*I	0.04698760285506687+0.*I	0.+252.38410964108863*I	-0.40791373766921835+0.*I	0.+72.31163402648144*I	0.009309759216358682+0.*I	0.-420.2469235851739*I	0.15373154537540712+0.*I	0.+711.1426219492315*I	-0.12893882963468484+0.*I	0.-876.3018825100366*I
0.+2.2514067046531415*^-6*I	-3.902050323348752*^-10+0.*I	0.-2.25140666563262*^-6*I	0.05283121455097925+0.*I	0.-3.0317147894653026*^-6*I	-0.18539540103994098+0.*I	0.+0.000021571254893459384*I	0.3861645457782576+0.*I	0.-0.00006018770947128516*I	0.3878278946576706+0.*I	0.+0.000021404920005518098*I	-0.18899576053316225+0.*I	0.-2.5053439522018617*^-6*I	0.05449456321429417+0.*I	0.-2.944112369227553*^-6*I	0.008173016369866237+0.*I	0.+2.126810732240926*^-6*I	-0.018728737260027783+0.*I	0.-2.5393700623818233*^-7*I	0.008173016809254589+0.*I	0.-5.633646746873064*^-7*I	-1.6691545989777781*^-10+0.*I	0.+5.633646913788323*^-7*I	2.2325189425818902*^-10+0.*I	0.-5.633647137039666*^-7*I	-0.008173016698675536+0.*I	0.+1.9440310582588865*^-6*I	0.010555720425379547+0.*I	0.-2.745666094558607*^-6*I	0.010555721102842783+0.*I	0.-4.3671674796685456*^-7*I	-0.06266757987857159+0.*I	0.+9.647587105051394*^-6*I	0.13450119706833372+0.*I	0.-0.00002059236285968301*I	-0.19883213198401645+0.*I	0.+0.000019070656052566668*I	0.22600755354530064+0.*I	0.+0.000018516298064187878*I	-0.20076914258119133+0.*I	0.-0.000020010638699528826*I	0.1325641861857902+0.*I	0.+9.785934870415075*^-6*I	-0.052831214385914906+0.*I	0.-2.2514067661877338*^-6*I	6.15345658498349*^-10+0.*I
-0.04130864177390303+0.*I	0.-347.98974067348263*I	0.0065096677065549224+0.*I	0.+790.1147816786813*I	0.07250181046131321+0.*I	0.-1325.6418665587753*I	-0.2050659971171908+0.*I	0.+1827.6189754047823*I	0.387827894657669+0.*I	0.-2099.373229800415*I	0.40223478236228943+0.*I	0.+1988.321340753262*I	-0.20340264828696333+0.*I	0.-1489.080850726697*I	0.054494563214293634+0.*I	0.+770.7446733796179*I	0.022579904123668115+0.*I	0.-105.55720840979828*I	-0.033135624964647836+0.*I	0.-266.2595703480247*I	0.006509667929845253+0.*I	0.+261.80263840177605*I	0.019670595910332322+0.*I	0.-261.80264036883557*I	-0.04585085994721605+0.*I	0.+4.4569312952816516*I	0.03978688514689943+0.*I	0.+371.8167820713858*I	0.030530418024887096+0.*I	0.-665.1874672278097*I	-0.11962906887133573+0.*I	0.+718.3361718976229*I	0.13696812284680204+0.*I	0.-499.2404696863*I	0.016510478471530643+0.*I	0.+111.05184882367519*I	-0.40764007595145246+0.*I	0.+271.7542156128437*I	0.046987602855067756+0.*I	0.-501.9770883394073*I	0.1078806854281853+0.*I	0.+535.5270776299128*I	-0.12682978812650592+0.*I	0.-442.12504165616565*I	0.07610761625433904+0.*I	0.+347.98974480434674*I
0.+1.8794574727373458*^-6*I	-0.034798973677143345+0.*I	0.+1.600439894976991*^-6*I	0.026180263616889094+0.*I	0.-4.218466256665895*^-6*I	0.052831214384063296+0.*I	0.-1.0646551817404314*^-6*I	-0.20340264823777943+0.*I	0.+0.000021404920005518356*I	0.40223478236228793+0.*I	0.-0.00006162839824174713*I	0.3878278946084884+0.*I	0.+0.000022845608780898297*I	-0.20340264828696436+0.*I	0.-2.505343952201841*^-6*I	0.06890145096809576+0.*I	0.-4.384801144607739*^-6*I	0.008173016419047942+0.*I	0.+3.5674995027029135*^-6*I	-0.034798973844057+0.*I	0.-8.760211829724595*^-8*I	0.026180264007093005+0.*I	0.-2.530424282412033*^-6*I	-0.02618026426013559+0.*I	0.+5.1484507084255666*^-6*I	0.008618709828203707+0.*I	0.-5.922719572948878*^-6*I	0.026625957781758972+0.*I	0.-3.0737570793000097*^-7*I	-0.0770744678256237+0.*I	0.+0.000012399623635100103*I	0.1345011970683343+0.*I	0.-0.00002334439938973185*I	-0.18442524403696323+0.*I	0.+0.000018941315012530015*I	0.20993731686638384+0.*I	0.+0.000021693351542578983*I	-0.1988321319840165+0.*I	0.-0.000023215058349695186*I	0.15057143374725046+0.*I	0.+9.22257015670901*^-6*I	-0.079011478422799+0.*I	0.+2.8970439422352222*^-6*I	0.008618710220298325+0.*I	0.-5.359354859245625*^-6*I	0.034798973865089046+0.*I
