-0.9651043410908745-0.7644230563978825*I	-0.3572504190098216-0.5954198406411816*I	0.28984150717824786-0.3608847173720496*I	0.4285592454491635+0.02255416281362925*I	0.5201377221369524+0.4034692291652642*I	0.5545413963125929+0.7399506665365063*I	0.5280195119605021+0.9949820764491014*I	0.47645553365580917-0.1092354221563394*I	0.08262901592851371-0.8405999525058983*I	-0.4668732279575711-0.8492432255167073*I
-0.357250419009822-0.5954198406411814*I	-0.6803596692709515-0.6181764838283922*I	0.07130882643934097-0.5728656778275526*I	0.2644958664023447-0.29115611927369517*I	0.428559245449163+0.022554162813628778*I	0.5454833629128547+0.33374063106690866*I	0.6024376845192392+0.6081610815665371*I	0.5505801982711784-0.1733906588746312*I	0.3668327247080598-0.3630588070318642*I	0.005096835358323826-0.5071312899415396*I
0.2898415071782465-0.3608847173720491*I	0.0713088264393403-0.5728656778275525*I	-0.155125111775676-0.7218385446046688*I	0.07130882643934079-0.5728656778275532*I	0.28984150717824747-0.3608847173720507*I	0.4764555336558097-0.10923542215634047*I	0.610648527889017+0.15438212394320178*I	0.5641237020108307-0.21852798113654065*I	0.6106485278890157+0.15438212394320416*I	0.4764555336558082-0.10923542215633827*I
0.4285592454491621+0.022554162813629437*I	0.2644958664023436-0.29115611927369495*I	0.07130882643934008-0.5728656778275529*I	-0.6803596692709519-0.6181764838283929*I	-0.35725041900982196-0.5954198406411825*I	0.005096835358324328-0.507131289941541*I	0.3668327247080608-0.36305880703186544*I	0.5505801982711782-0.17339065887463123*I	0.6024376845192385+0.6081610815665384*I	0.5454833629128539+0.33374063106690965*I
0.5201377221369513+0.40346922916526456*I	0.428559245449162+0.022554162813629153*I	0.2898415071782462-0.3608847173720503*I	-0.3572504190098226-0.5954198406411825*I	-0.965104341090875-0.7644230563978838*I	-0.4668732279575709-0.8492432255167086*I	0.08262901592851474-0.8405999525058995*I	0.47645553365580867-0.10923542215633944*I	0.5280195119605018+0.9949820764491024*I	0.5545413963125924+0.7399506665365072*I
0.5545413963125921+0.7399506665365059*I	0.5454833629128537+0.3337406310669086*I	0.4764555336558079-0.10923542215633975*I	0.005096835358323219-0.5071312899415404*I	-0.46687322795757114-0.8492432255167077*I	-0.8875721605206843-1.0978917189622415*I	-0.21074794459841836-1.225683366105876*I	0.34990983679608434-0.03311193455421588*I	0.3956186912937545+1.2723022409710676*I	0.5026738711845988+1.0647106745474564*I
0.5280195119605015+0.9949820764491009*I	0.6024376845192381+0.6081610815665371*I	0.6106485278890151+0.1543821239432026*I	0.36683272470805917-0.363058807031865*I	0.08262901592851356-0.8405999525058986*I	-0.2107479445984192-1.225683366105876*I	-0.48106519955613636-1.4759205346397468*I	0.1848707466953355+0.046618874865191895*I	0.21982704480879167+1.4096295971170867*I	0.39561869129375454+1.2723022409710674*I
0.4764555336558087-0.10923542215633913*I	0.5505801982711783-0.173390658874631*I	0.5641237020108307-0.2185279811365406*I	0.5505801982711784-0.17339065887463123*I	0.476455533655809-0.10923542215633956*I	0.3499098367960849-0.03311193455421612*I	0.18487074669533599+0.04661887486519151*I	-0.03498845254000043-0.0662929789690005*I	0.18487074669533557+0.046618874865192145*I	0.3499098367960845-0.03311193455421554*I
0.08262901592851511-0.8405999525058986*I	0.36683272470806116-0.3630588070318646*I	0.6106485278890171+0.15438212394320344*I	0.6024376845192395+0.6081610815665381*I	0.5280195119605022+0.9949820764491021*I	0.3956186912937545+1.2723022409710685*I	0.21982704480879056+1.4096295971170876*I	0.18487074669533604+0.04661887486519188*I	-0.4810651995561362-1.4759205346397475*I	-0.2107479445984182-1.2256833661058761*I
-0.46687322795757036-0.8492432255167073*I	0.005096835358324659-0.5071312899415399*I	0.47645553365580995-0.10923542215633897*I	0.5454833629128553+0.3337406310669093*I	0.5545413963125931+0.7399506665365065*I	0.5026738711845993+1.0647106745474568*I	0.39561869129375443+1.272302240971068*I	0.34990983679608495-0.03311193455421584*I	-0.21074794459841917-1.2256833661058761*I	-0.8875721605206843-1.097891718962241*I
