0.03981008155835378+0.*I	0.+477.49162691716026*I	0.007939081133362266+0.*I	0.-759.2204174647547*I	-0.08386112287983771+0.*I	0.+737.6088787607102*I	0.15762201075590876+0.*I	0.-440.67706701682806*I	-0.20168971745759157+0.*I	0.+16.84970286017243*I	0.20337468774360884+0.*I	0.+335.5597115073406*I	-0.1698187165928748+0.*I	0.-461.1418573938513*I	0.12370453085348976+0.*I	0.+319.04326711812354*I	-0.0918002041416773+0.*I	0.-319.043257938103*I	0.059895878347867075+0.*I	0.+142.09857790527468*I	-0.1693905514108296+0.*I	0.+125.58216286838227*I	0.3517674842905427+0.*I	0.-352.40943470498183*I	0.40961688449535016+0.*I	0.+423.8273843256273*I	-0.16554442860519575+0.*I	0.-296.93182750608327*I	-0.021770764901321682+0.*I	0.+21.61154709015672*I	0.10779304249017516+0.*I	0.+281.7287897536863*I	-0.08755924464816979+0.*I	0.-477.49163089816835*I
0.-8.106701199717895*^-6*I	0.08551276524415238+0.*I	0.-4.4457532469737*^-7*I	-0.13545640757397773+0.*I	0.+0.000013990216082095101*I	0.10527037506849427+0.*I	0.-0.00002451725358894452*I	0.060274051084976826+0.*I	0.+0.000018489848480446857*I	-0.4179341349255173+0.*I	0.+0.000023303565012104873*I	0.008317252760522207+0.*I	0.-0.00002413529028815712*I	0.1631197748301263+0.*I	0.+7.82331280514445*^-6*I	-0.13750288634084046+0.*I	0.+5.926975828939522*^-6*I	0.13750288693353785+0.*I	0.-0.000019677264522293414*I	-0.025616887706954562+0.*I	0.+0.000014415640487844407*I	-0.17143703000417754+0.*I	0.+0.000026863352800730653*I	0.40961688449535144+0.*I	0.-0.0000911286062623703*I	0.3576600856895253+0.*I	0.+0.00003687274921297076*I	-0.16554442860519641+0.*I	0.+4.198947236493545*^-6*I	0.030186033904505107+0.*I	0.-0.000021207766709038935*I	0.04994364228536781+0.*I	0.+0.000016657977805200852*I	-0.08551276605482257+0.*I
5.68201971584692*^-10+0.*I	0.-519.9012144691848*I	-0.05199012201512043+0.*I	0.+796.5348940352852*I	0.13164361141864894+0.*I	0.-700.4610603894231*I	-0.2016897174575913+0.*I	0.+276.63369623276793*I	0.22935308708086807+0.*I	0.+276.63369623276435*I	-0.20168971745759165+0.*I	0.-700.46106038942*I	0.1316436114186497+0.*I	0.+796.5348940352833*I	-0.05199012201512142+0.*I	0.-519.9012144691841*I	5.682029291520507*^-10+0.*I	0.+519.9012144691839*I	0.051990120878715324+0.*I	0.-276.63367436708705*I	-0.027663366300302528+0.*I	0.-96.0738468102244*I	-0.11358762979936943+0.*I	0.+423.82738432562746*I	0.357660085689524+0.*I	0.-553.2674154008407*I	0.35766008568952357+0.*I	0.+423.8273843256269*I	-0.11358762979936934+0.*I	0.-96.07384681022319*I	-0.02766336630030186+0.*I	0.-276.63367436708825*I	0.05199012087871609+0.*I	0.+519.9012144691848*I
0.+5.92697582894027*^-6*I	-0.13750288634084007+0.*I	0.+7.823312805143776*^-6*I	0.16311977483012607+0.*I	0.-0.00002413529028815638*I	0.008317252760522652+0.*I	0.+0.000023303565012104137*I	-0.41793413492551473+0.*I	0.+0.000018489848480447362*I	0.06027405108497558+0.*I	0.-0.000024517253588944937*I	0.10527037506849456+0.*I	0.+0.000013990216082095457*I	-0.13545640757397764+0.*I	0.-4.4457532469766356*^-7*I	0.08551276524415193+0.*I	0.-8.106701199717556*^-6*I	-0.08551276605482232+0.*I	0.+0.000016657977805199846*I	0.04994364228536838+0.*I	0.-0.000021207766709039277*I	0.030186033904504847+0.*I	0.+4.1989472364936105*^-6*I	-0.16554442860519564+0.*I	0.+0.000036872749212970616*I	0.35766008568952407+0.*I	0.-0.00009112860626237032*I	0.4096168844953488+0.*I	0.+0.000026863352800730467*I	-0.1714370300041777+0.*I	0.+0.000014415640487844617*I	-0.02561688770695472+0.*I	0.-0.000019677264522293092*I	0.1375028869335376+0.*I
-0.09180020414167671+0.*I	0.+319.0432671181236*I	0.12370453085348905+0.*I	0.-461.14185739385215*I	-0.16981871659287429+0.*I	0.+335.55971150734257*I	0.20337468774360856+0.*I	0.+16.84970286016973*I	-0.2016897174575916+0.*I	0.-440.67706701682533*I	0.1576220107559091+0.*I	0.+737.6088787607083*I	-0.08386112287983827+0.*I	0.-759.2204174647535*I	0.007939081133363002+0.*I	0.+477.49162691715986*I	0.03981008155835307+0.*I	0.-477.4916308981679*I	-0.08755924464816987+0.*I	0.+281.7287897536856*I	0.10779304249017543+0.*I	0.+21.611547090157607*I	-0.021770764901321515+0.*I	0.-296.9318275060841*I	-0.16554442860519614+0.*I	0.+423.827384325627*I	0.4096168844953507+0.*I	0.-352.40943470498115*I	0.3517674842905425+0.*I	0.+125.5821628683811*I	-0.16939055141083012+0.*I	0.+142.09857790527545*I	0.05989587834786635+0.*I	0.-319.04325793810324*I
0.+0.000010003038175923354*I	0.07760700958597379+0.*I	0.-0.000017763739134520667*I	0.006270773993660445+0.*I	0.+0.000017136661735154635*I	-0.36008473516388434+0.*I	0.+0.000018871811781233813*I	0.008317252760523674+0.*I	0.-0.000019703537057286156*I	0.10527037506849272+0.*I	0.+9.176499550436915*^-6*I	-0.08349960924952149+0.*I	0.-8.265386254847752*^-7*I	0.02766336548251889+0.*I	0.-1.939797922767075*^-6*I	0.0020464787668630514+0.*I	0.+1.7351500460807112*^-6*I	-0.002046478593348211+0.*I	0.-1.5305021867457847*^-6*I	-0.029709844443361635+0.*I	0.+6.441284553848834*^-6*I	0.05583624368434881+0.*I	0.-0.000011198370296798572*I	-0.021770764901321207+0.*I	0.+4.198947236493256*^-6*I	-0.11358762979936993+0.*I	0.+0.000026863352800730497*I	0.3517674842905421+0.*I	0.-0.00008091191301101901*I	0.35381396288389017+0.*I	0.+0.000028393854987476224*I	-0.0838777853560081+0.*I	0.-2.2423373173550193*^-6*I	-0.07760700858566993+0.*I
0.21550473442696405+0.*I	0.+58.75935707533257*I	-0.2096287987194308+0.*I	0.-141.93191540981852*I	0.19543560717844888+0.*I	0.+256.16890585574026*I	-0.1698187165928749+0.*I	0.-381.7510517422513*I	0.13164361141864978+0.*I	0.+477.82488538811464*I	-0.08386112287983831+0.*I	0.-499.4364240921596*I	0.033917480470622347+0.*I	0.+418.5656116425851*I	0.007939080693636164+0.*I	0.-239.3192029955691*I	-0.03187100099319308+0.*I	0.+239.3192061826692*I	0.05580292161146+0.*I	0.-179.2464094409241*I	-0.08166664324918857+0.*I	0.+80.8708090578265*I	0.05583624368434881+0.*I	0.+21.611547090157345*I	0.030186033904505194+0.*I	0.-96.07384681022437*I	-0.17143703000417732+0.*I	0.+125.58216286838271*I	0.3538139628838907+0.*I	0.-114.23700998948252*I	0.43932672893871255+0.*I	0.+83.17257929736583*I	-0.22138067228954472+0.*I	0.-58.759378625806015*I
0.-0.00003369375313938136*I	0.14377366033449868+0.*I	0.+0.00001931638710593155*I	-0.4455975004080341+0.*I	0.+0.00002524336293487188*I	0.006270773993658573+0.*I	0.-0.000025870440334237742*I	0.16311977483012585+0.*I	0.+9.558462851225157*^-6*I	-0.13545640757397712+0.*I	0.+3.9871779061725955*^-6*I	0.027663365482519804+0.*I	0.-6.753514454424558*^-6*I	0.05400327709131717+0.*I	0.+1.3531867452928594*^-6*I	-0.05784939976163216+0.*I	0.+4.4317532308703226*^-6*I	0.05784940020480762+0.*I	0.-0.000010216693251351065*I	0.0038461228056337203+0.*I	0.+8.478894225494722*^-6*I	-0.08166664324918842+0.*I	0.+6.441284553848787*^-6*I	0.10779304249017527+0.*I	0.-0.000021207766709039206*I	-0.027663366300302465+0.*I	0.+0.000014415640487844417*I	-0.1693905514108285+0.*I	0.+0.000028393854987476333*I	0.4393267289387117+0.*I	0.-0.00009756989081621856*I	0.30182384200517404+0.*I	0.+0.00004807111950976957*I	-0.14377366370387396+0.*I
-0.333333329004718+0.*I	0.-460.97518252794254*I	0.2872358107519237+0.*I	0.+776.0701203249248*I	-0.20962879871943121+0.*I	0.-859.2426786594114*I	0.12370453085349009+0.*I	0.+717.1440883836852*I	-0.051990122015121584+0.*I	0.-440.5104088175861*I	0.00793908113336296+0.*I	0.+158.78161826999127*I	0.007939080693636164+0.*I	0.+20.46479037702502*I	-0.00589260165593368+0.*I	0.-58.9260152745753*I	1.2847617414379897*^-10+0.*I	0.+58.92601527457516*I	0.005892601398981359+0.*I	0.+38.46122548681043*I	0.003846122805633373+0.*I	0.-179.2464094409243*I	-0.029709844443362+0.*I	0.+281.7287897536868*I	0.049943642285367795+0.*I	0.-276.6336743670869*I	-0.025616887706955138+0.*I	0.+142.09857790527323*I	-0.08387778535600765+0.*I	0.+83.1725792973666*I	0.30182384200517487+0.*I	0.-315.09496652056345*I	0.37943085059084464+0.*I	0.+460.9752158612754*I
0.+0.00004300710206939121*I	-0.5232045099940096+0.*I	0.+9.313348930009757*^-6*I	0.14377366033449918+0.*I	0.-0.00002369071496345967*I	0.07760700958597443+0.*I	0.+0.000015930014004862227*I	-0.13750288634084076+0.*I	0.-2.179725370778148*^-6*I	0.08551276524415256+0.*I	0.-6.37155115363712*^-6*I	0.002046478766862775+0.*I	0.+6.166903276950831*^-6*I	-0.05784939976163267+0.*I	0.-3.819633007875499*^-7*I	0.0519567983244552+0.*I	0.-4.813716531657901*^-6*I	-0.051956798805826765+0.*I	0.+0.000010009396412240624*I	0.005892601398981232+0.*I	0.-0.000010216693251350956*I	0.05580292161146018+0.*I	0.-1.530502186745822*^-6*I	-0.08755924464817046+0.*I	0.+0.000016657977805199975*I	0.05199012087871572+0.*I	0.-0.000019677264522293397*I	0.05989587834786773+0.*I	0.-2.2423373173553492*^-6*I	-0.2213806722895452+0.*I	0.+0.00004807111950976951*I	0.37943085059084525+0.*I	0.-0.00009532755349886336*I	0.5232045142947198+0.*I
0.4050644053296776+0.*I	0.+717.3107632495922*I	-0.33333332900471824+0.*I	0.-1178.285945777535*I	0.21550473442696477+0.*I	0.+1237.0453028528689*I	-0.09180020414167789+0.*I	0.-918.0020357347463*I	5.682032483411703*^-10+0.*I	0.+398.1008212655621*I	0.03981008155835296+0.*I	0.+79.39080565159898*I	-0.031871000993193024+0.*I	0.-318.7100086471687*I	1.28476243532738*^-10+0.*I	0.+259.7839933725941*I	0.025978399208783212+0.*I	0.-259.7839959704338*I	-0.05195679880582664+0.*I	0.+58.92601527457473*I	0.057849400204807944+0.*I	0.+239.3192061826697*I	-0.002046478593347889+0.*I	0.-477.4916308981695*I	-0.08551276605482233+0.*I	0.+519.901214469184*I	0.13750288693353774+0.*I	0.-319.0432579381024*I	-0.07760700858567038+0.*I	0.-58.75937862580754*I	-0.143773663703875+0.*I	0.+460.9752158612756*I	0.5232045142947208+0.*I	0.-717.3108037560328*I
