-0.7044913659138424-0.4129269884654137*I	0.3209416348043136-0.62999406207565*I	1.1248619081012854-0.41239732701716825*I	1.1525862250756687+0.08964107749234942*I	0.3850350108555899+0.5297118799096385*I	-0.2438666168502936+0.0891301563225494*I
0.32094163480431354-0.62999406207565*I	-0.2732981267218122-0.961843857987765*I	0.32094163480431354-0.62999406207565*I	0.6936686689092555+0.136519542505183*I	0.5877779734210616+0.8087652958905488*I	0.6936686689092555+0.13651954250518306*I
1.1248619081012858-0.4123973270171682*I	0.32094163480431387-0.6299940620756499*I	-0.7044913659138422-0.41292698846541365*I	-0.24386661685029354+0.08913015632254936*I	0.3850350108555898+0.5297118799096384*I	1.1525862250756687+0.08964107749234944*I
1.1525862250756689+0.08964107749234954*I	0.6936686689092556+0.1365195425051832*I	-0.2438666168502935+0.08913015632254949*I	-1.0131250239675078-0.019734651060958296*I	-0.08332913801224796-0.11488123671000812*I	0.8162282500476199-0.019204989612712837*I
0.3850350108555898+0.5297118799096385*I	0.5877779734210614+0.8087652958905489*I	0.3850350108555898+0.5297118799096385*I	-0.08332913801224782-0.11488123671000797*I	-0.49420766977530545-0.6801979670859477*I	-0.08332913801224785-0.11488123671000801*I
-0.24386661685029354+0.08913015632254935*I	0.6936686689092554+0.13651954250518297*I	1.1525862250756689+0.0896410774923494*I	0.8162282500476199-0.0192049896127128*I	-0.08332913801224781-0.11488123671000794*I	-1.0131250239675078-0.019734651060958272*I
