-1.490060391043503-0.16550348896165695*I	0.5818406159946105+0.40169571910512375*I	1.0129912554998328-0.1639451847661441*I	-1.4125098400229499-0.2673619667224355*I	0.14524007712231446+0.3833232484625436*I	1.6399923543121662-0.26583385211746063*I
0.5818406159946107+0.4016957191051233*I	-0.19973073673062847-0.9797212989470411*I	0.5818406159946102+0.4016957191051237*I	-0.27733839881304156+0.65027262521924*I	-0.35435810170539406-0.9348915379450194*I	-0.2773383988130418+0.6502726252192403*I
1.0129912554998328-0.16394518476614373*I	0.5818406159946103+0.4016957191051233*I	-1.4900603910435026-0.16550348896165692*I	1.6399923543121662-0.2658338521174602*I	0.14524007712231424+0.3833232484625432*I	-1.4125098400229499-0.26736196672243534*I
-1.4125098400229508-0.26736196672243523*I	-0.27733839881304145+0.6502726252192401*I	1.6399923543121662-0.2658338521174605*I	-1.0674819151081474-0.4324528657183537*I	0.23529957078994257+0.6205519501980216*I	1.435569731435189-0.43089456152284084*I
0.14524007712231432+0.3833232484625432*I	-0.3543581017053941-0.9348915379450196*I	0.14524007712231446+0.38332324846254356*I	0.23529957078994249+0.6205519501980213*I	-0.33812366997504756-0.8921993775820003*I	0.2352995707899426+0.6205519501980217*I
1.6399923543121664-0.26583385211746013*I	-0.2773383988130417+0.6502726252192399*I	-1.4125098400229503-0.2673619667224354*I	1.435569731435189-0.43089456152284045*I	0.23529957078994268+0.6205519501980213*I	-1.0674819151081472-0.4324528657183538*I
