-0.8331604339907985-0.6669487208615041*I	-0.2204207950460463-0.5970075512832451*I	0.4341390942023257-0.4136129048816647*I	0.35334843029211854-0.02624571598101562*I	0.20541894005481015+0.36607282411299724*I	-0.07737192850066091+0.1438515268869454*I	-0.3454477454883183-0.10569382325477626*I	-0.0851245012673396-0.08685855067373253*I	0.19136371233936647-0.05151164101455299*I	0.1341907480493483+0.02095825404067211*I	0.05152363745535845+0.0894326617533645*I	-0.0923227258341237+0.006549370567308991*I	-0.21862711627806544-0.07756906875395198*I	-0.30340011153605057-0.1469275223003341*I	-0.33054177835441584-0.1883394065984992*I	0.051398704845149495+0.13436034080186318*I	0.3720632327028583+0.3420938218260224*I	0.2972969213881426-0.027354909974514265*I	-0.02532225282068403-0.3401242975574791*I	-0.4627745589481809-0.24826425152980902*I	-0.4668767798123584-0.0034938970008042856*I	0.09586838699016104+0.5449654588445899*I	0.4350341167556234+0.6237989665578159*I	0.6528227639696494-0.12542950448097284*I	0.3124234488766688-0.4372787470631089*I	-0.28766628534938465-0.6100863174326784*I
-0.22042079504604553-0.5970075512832468*I	-0.6007877009701227-0.674210440506964*I	0.13292763524607273-0.6232532672642608*I	0.22592932160931306-0.27935075327412434*I	0.2759765017914562+0.1176058109059347*I	0.06269084272666754+0.09646688188034434*I	-0.16249642976800055+0.05699297621321577*I	-0.0626683373053075-0.004924633841755167*I	0.04906624678200947-0.06590029663306202*I	0.05024109937113922-0.02120864525698505*I	0.04186802221522655+0.027507624607981975*I	-0.02787656633526279+0.018814479292077073*I	-0.09232272583412283+0.0065493705673110685*I	-0.13922691248744254-0.006950886292660646*I	-0.15967868085677742-0.019116552065778156*I	0.05341933793614411+0.05217877970313387*I	0.21450487818394237+0.08604717678667495*I	0.10123055457994293-0.09315116443178026*I	-0.08035313629269875-0.18876061083059317*I	-0.2941353440038195+0.011631288550308245*I	-0.28953424345735906+0.1528496804278355*I	0.21090906448764676+0.3957227914833428*I	0.3953427206676914+0.4457816703446315*I	0.6153950738294749-0.17454051273074847*I	0.5855772736663124-0.1385082706304082*I	0.20176636118165187-0.4063511852362081*I
0.43413909420232755-0.4136129048816674*I	0.13292763524607282-0.6232532672642622*I	-0.19360239973366195-0.7144888016301717*I	0.055555706745410244-0.47940174037731026*I	0.29411028876881656-0.15323390402343434*I	0.19085200052411735+0.03074726023220561*I	0.051334906905859005+0.20886735984367413*I	-0.028305681718651145+0.0779512302538864*I	-0.1025603956935922-0.06777280251596746*I	-0.043256479052112454-0.0593509260657522*I	0.024260233516661955-0.03964804801513857*I	0.041868022215227535+0.027507624607984282*I	0.05152363745536088+0.08943266175336875*I	0.051398704845150876+0.13436034080186735*I	0.04152145434844254+0.1537544152275267*I	0.045295514697241405-0.03992209147298462*I	0.016199201527755502-0.18636988232995963*I	-0.11407893271488959-0.14125882070246631*I	-0.12013579993018383-0.0015243727322653267*I	-0.06960925056987709+0.26934629734026755*I	-0.057164915877418676+0.2801807719995323*I	0.28591659201162806+0.1712717028338111*I	0.2805807858199323+0.1830263224938997*I	0.4610248656104259-0.1905503630690649*I	0.747457565632294+0.1865202194947036*I	0.6528227639696512-0.1254295044809761*I
0.35334843029211854-0.026245715981016004*I	0.2259293216093114-0.2793507532741251*I	0.055555706745407774-0.4794017403773112*I	-0.5380968582434584-0.5777435586266161*I	-0.029568794521929908-0.5662602910510399*I	0.16326098430400615-0.28427538711587585*I	0.3250427485734693+0.051705514272874176*I	0.11293194209780714+0.07525823662335976*I	-0.12062840755277622+0.08450060082119729*I	-0.09054490364057063+0.013889845450323169*I	-0.0432564790521118-0.059350926065748336*I	0.05024109937114176-0.021208645256982527*I	0.1341907480493527+0.020958254040673127*I	0.1926462504235908+0.05912966599579569*I	0.2145048781839463+0.08604717678667474*I	-0.03799635790750011-0.10010205072444014*I	-0.24003181714948216-0.20787716289637187*I	-0.24071600606767893+0.06381006825343966*I	-0.07502936527341537+0.23889685721450696*I	0.3121396190675935+0.3025716270515609*I	0.31498958437499575+0.2570210595140372*I	0.32125972982565404-0.16290922418043802*I	0.29604303020894984+0.014341409797427537*I	0.4126754256692971-0.01062839375286666*I	0.39534272066769516+0.4457816703446281*I	0.4136287126478248+0.23181067250545698*I
0.20541894005480912+0.3660728241129994*I	0.2759765017914535+0.11760581090593489*I	0.2941102887688121-0.15323390402343626*I	-0.029568794521932538-0.5662602910510404*I	-0.3476864328826152-0.8716942658994947*I	0.10462195352742194-0.5453020370103707*I	0.5369976385635477-0.11531288328462892*I	0.23272002273934433+0.05825488484018484*I	-0.11576857191685075+0.22073095284308974*I	-0.12062840755277567+0.08450060082120084*I	-0.10256039569359128-0.06777280251596109*I	0.049066246782012955-0.06590029663305973*I	0.19136371233937147-0.05151164101455509*I	0.2972969213881479-0.02735490997451916*I	0.34674097988217883+0.0019695242685364937*I	-0.11407893271488925-0.14125882070246132*I	-0.4506775782846073-0.18986377933075857*I	-0.32161065726078386+0.2567791158417986*I	-0.015643461528976464+0.4339351872270502*I	0.6346122182449264+0.27827713366115103*I	0.6273217657021117+0.18499584676243763*I	0.29554722805038736-0.4661695245733867*I	0.25525853299924706-0.15709797506357706*I	0.2859165920116269+0.17127170283380916*I	-0.03184266305673119+0.6203050695570064*I	0.09586838699016195+0.5449654588445884*I
-0.07737192850066425+0.1438515268869499*I	0.06269084272666268+0.09646688188034896*I	0.19085200052411166+0.030747260232208955*I	0.16326098430400254-0.2842753871158749*I	0.10462195352742153-0.5453020370103729*I	-0.48785575887231414-0.5989522038836065*I	0.012299227693301959-0.5387526664430674*I	0.1353844179687429-0.2654609078237993*I	0.2327200227393403+0.058254884840194004*I	0.11293194209780381+0.07525823662336766*I	-0.028305681718653077+0.07795123025389172*I	-0.06266833730530685-0.004924633841754852*I	-0.08512450126733659-0.08685855067373746*I	-0.09141569584364-0.1522808304275834*I	-0.08035313629269433-0.188760610830604*I	-0.10148909358023347+0.07076095454610311*I	-0.0750293652734206+0.2388968572145168*I	0.17291270658014313+0.29562074075890854*I	0.1553109035182154+0.23790450744825567*I	0.3746790677618035-0.11073044447731563*I	0.510547908392899+0.10038858658409408*I	0.513905980249243-0.10377955818464657*I	0.31498958437499147+0.25702105951404375*I	0.11949336864400002+0.24344196105577184*I	-0.28953424345735695+0.1528496804278297*I	-0.20271964816017618+0.1639121189778806*I
-0.34544774548832297-0.10569382325476956*I	-0.1624964297680062+0.05699297621322405*I	0.05133490690585292+0.20886735984368185*I	0.3250427485734653+0.051705514272875994*I	0.5369976385635467-0.11531288328463345*I	0.01229922769330136-0.53875266644307*I	-0.5147899117053157-0.8598306729000925*I	0.012299227693297882-0.5387526664430582*I	0.5369976385635404-0.11531288328461259*I	0.32504274857346316+0.05170551427288481*I	0.05133490690585503+0.20886735984367671*I	-0.16249642976800271+0.05699297621321381*I	-0.34544774548831864-0.10569382325478326*I	-0.4627745589481794-0.24826425152982254*I	-0.4921990326330391-0.34361819455830056*I	-0.06960925056987848+0.26934629734026566*I	0.31489831682543784+0.6222745938255616*I	0.6346122182449189+0.2782771336611682*I	0.29677998734769095-0.003343559836058939*I	0.04354582135948938-0.4787367060718685*I	0.2967799873476935-0.003343559836066543*I	0.6346122182449243+0.27827713366115087*I	0.3148983168254393+0.6222745938255588*I	-0.06960925056988095+0.26934629734027377*I	-0.49219903263304254-0.3436181945582887*I	-0.4627745589481838-0.24826425152980822*I
-0.08512450126734009-0.0868585506737299*I	-0.06266833730530713-0.004924633841749467*I	-0.028305681718649826+0.07795123025389411*I	0.11293194209780942+0.07525823662336356*I	0.2327200227393474+0.05825488484018426*I	0.13538441796874487-0.26546090782380316*I	0.012299227693298375-0.5387526664430649*I	-0.4878557588723168-0.5989522038835995*I	0.10462195352741968-0.545302037010363*I	0.1632609843040036-0.28427538711586997*I	0.19085200052411516+0.030747260232208008*I	0.06269084272666499+0.09646688188034631*I	-0.07737192850066334+0.14385152688694602*I	-0.20271964816017685+0.1639121189778762*I	-0.2895342434573593+0.152849680427826*I	0.11949336864400296+0.24344196105576774*I	0.3149895843749951+0.25702105951404114*I	0.5139059802492422-0.10377955818464053*I	0.5105479083928943+0.10038858658409759*I	0.3746790677617979-0.11073044447731407*I	0.15531090351821328+0.23790450744825267*I	0.17291270658014862+0.29562074075889916*I	-0.07502936527341593+0.23889685721451245*I	-0.1014890935802332+0.070760954546106*I	-0.0803531362927018-0.18876061083059684*I	-0.09141569584364602-0.15228083042757518*I
0.19136371233936927-0.05151164101455494*I	0.04906624678201565-0.06590029663306006*I	-0.10256039569358485-0.06777280251596184*I	-0.12062840755276827+0.08450060082120198*I	-0.11576857191684371+0.22073095284309266*I	0.23272002273934508+0.05825488484018903*I	0.5369976385635419-0.11531288328462438*I	0.10462195352742111-0.5453020370103694*I	-0.34768643288261025-0.8716942658994968*I	-0.02956879452192714-0.5662602910510397*I	0.294110288768817-0.15323390402343248*I	0.27597650179145367+0.1176058109059406*I	0.20541894005480527+0.36607282411300573*I	0.09586838699015547+0.5449654588445945*I	-0.031842663056739336+0.6203050695570109*I	0.28591659201162933+0.17127170283380933*I	0.2552585329992554-0.15709797506358464*I	0.2955472280503911-0.4661695245733923*I	0.6273217657021061+0.1849958467624365*I	0.6346122182449163+0.27827713366115375*I	-0.015643461528982827+0.43393518722705215*I	-0.3216106572607794+0.2567791158417983*I	-0.45067757828460026-0.18986377933076368*I	-0.11407893271488732-0.1412588207024636*I	0.34674097988216945+0.0019695242685379*I	0.29729692138814173-0.02735490997451837*I
0.1341907480493534+0.02095825404066948*I	0.05024109937114658-0.021208645256985497*I	-0.04325647905210401-0.05935092606575054*I	-0.09054490364056354+0.013889845450324836*I	-0.12062840755277125+0.08450060082120249*I	0.11293194209780666+0.07525823662336376*I	0.32504274857346355+0.05170551427287626*I	0.16326098430400374-0.28427538711587597*I	-0.029568794521928194-0.566260291051042*I	-0.538096858243454-0.5777435586266152*I	0.05555570674541363-0.47940174037730704*I	0.22592932160931473-0.27935075327411985*I	0.35334843029211876-0.02624571598101085*I	0.41362871264782225+0.23181067250546092*I	0.3953427206676899+0.4457816703446304*I	0.4126754256693004-0.010628393752865142*I	0.2960430302089546+0.014341409797423982*I	0.32125972982565515-0.16290922418044318*I	0.3149895843749919+0.2570210595140339*I	0.31213961906758575+0.3025716270515607*I	-0.07502936527341984+0.23889685721450843*I	-0.24071600606767676+0.063810068253443*I	-0.24003181714947863-0.20787716289637204*I	-0.037996357907497655-0.10010205072444246*I	0.2145048781839393+0.08604717678667256*I	0.19264625042358732+0.059129665995792384*I
