0.8435984879156162-0.5548962648752533*I	-0.504285999820732+0.4954489630120808*I	0.2860516965791246-0.5548589836718256*I	-0.1365252864148746+0.7474065552431508*I	0.01983968564571889-1.1193180475441906*I	-0.3854301027367363+0.7474343104596953*I
-0.5042859998207319+0.4954489630120806*I	0.8966641781803321-0.4424051751973121*I	-0.5042859998207319+0.49544896301208063*I	0.2329860063144087-0.6673500733497666*I	-0.01766938933087875+0.999391902690765*I	0.23298600631440874-0.6673500733497665*I
0.28605169657912466-0.5548589836718254*I	-0.5042859998207317+0.4954489630120806*I	0.8435984879156162-0.5548962648752531*I	-0.38543010273673606+0.7474343104596952*I	0.019839685645718724-1.1193180475441902*I	-0.13652528641487455+0.7474065552431505*I
-0.13652528641487455+0.7474065552431508*I	0.23298600631440874-0.6673500733497668*I	-0.38543010273673606+0.7474343104596954*I	0.6304521672469262-1.0068642390696776*I	-0.026883438320285613+1.5078785398396575*I	0.07290537591043461-1.0068269578662494*I
0.01983968564571872-1.1193180475441906*I	-0.01766938933087873+0.9993919026907653*I	0.01983968564571872-1.1193180475441906*I	-0.026883438320285627+1.5078785398396575*I	0.04053000404570505-2.25832719335281*I	-0.026883438320285623+1.5078785398396573*I
-0.38543010273673606+0.7474343104596953*I	0.23298600631440874-0.6673500733497667*I	-0.1365252864148746+0.7474065552431507*I	0.07290537591043467-1.0068269578662494*I	-0.026883438320285724+1.5078785398396573*I	0.6304521672469262-1.0068642390696774*I
