0.5332576224082571-0.018053406936154384*I	-0.25106408367512834+0.023869253047876824*I	0.17474548048090968-0.04923278025049076*I	-0.08266689824650933+0.041290867765970164*I	0.05837930166102329-0.06719920015972045*I	-0.023044247583998666+0.04764841765153716*I	0.006610241367618098-0.06716703319285597*I	0.001600562503730304+0.04124895618074897*I	-0.01111970273251948-0.049155183293106516*I	0.006232592340413589+0.023809934660666405*I	-0.00645382667398078-0.01798945570920681*I	0.011965399934641286+0.02692097582196419*I	-0.027285909044125457-0.05792889264872569*I	0.023519491343231738+0.07355983801541827*I	-0.027911997827467026-0.10035701921078163*I	0.002796087720266031+0.10051299874743094*I	0.013426840388573452-0.11592288367288972*I	-0.0589252047735937+0.10055662110273826*I	0.09437299107404777-0.10044169515663443*I	-0.15905619631255277+0.0736588449444889*I	0.17942736793093575-0.058027561716702265*I	-0.25272421685685026+0.026988028749837707*I
-0.25106408367512834+0.023869253047876828*I	0.5619829455794055-0.03159062842421338*I	-0.3337309819216376+0.06516012081384698*I	0.15582860378780508-0.05465070535167838*I	-0.10571114583050803+0.08893928541750729*I	0.04508812925048828-0.06306424399387178*I	-0.021443685080268365+0.08889737383228613*I	0.004824493183335688-0.054594591178375826*I	0.00783315484414389+0.06505889084141536*I	-0.004988971114771966-0.03151359099467032*I	0.00623259234041359+0.02380993466066641*I	-0.01258455829172829-0.035631048007643*I	0.029252298937459432+0.07667087917671606*I	-0.021918512839965355-0.09735867331522967*I	0.024715016559767464+0.13282388058210023*I	0.01056745922991606-0.13302961466629123*I	-0.03308486946932901+0.153421202198632*I	0.09719759213228096-0.1330832644172374*I	-0.13531450283963709+0.132924598281257*I	0.2233163356638891-0.09747683382096459*I	-0.1607163294942747+0.07677762064644977*I	0.1460201573097613-0.03569555876243176*I
0.17474548048090968-0.04923278025049077*I	-0.33373098192163764+0.06516012081384698*I	0.7663824045501899-0.1344853873463656*I	-0.3567752295056363+0.11280853846538413*I	0.23973502350955098-0.1835990136030671*I	-0.10411058332677765+0.13018824159825626*I	0.05386984029612189-0.1835214166456829*I	-0.015211092739854767+0.11270730849295253*I	-0.010963288038882168-0.13431167219516926*I	0.007833154844143896+0.06505889084141538*I	-0.011119702732519485-0.049155183293106516*I	0.023519491343231738+0.07355983801541825*I	-0.0551979068715925-0.15828591185950736*I	0.03828097899813907+0.20099381258481339*I	-0.04177106648301905-0.2742087955323971*I	-0.032609625710095916+0.2746294578655874*I	0.07988783363515418-0.31672159804030575*I	-0.21518531336588037+0.274728464794658*I	0.287227199393557-0.27439214054622635*I	-0.4707056179429967+0.20120349479706487*I	0.27380035900498356-0.15846925687333668*I	-0.15905619631255277+0.07365884494448892*I
-0.08266689824650934+0.04129086776597015*I	0.15582860378780505-0.054650705351678375*I	-0.3567752295056363+0.11280853846538408*I	0.6070710748298936-0.09465487241808512*I	-0.35517466700190586+0.15405749464613303*I	0.16065309697114077-0.10924529653005416*I	-0.0978779909863641+0.15399817625892265*I	0.040099158135716295-0.0945778349885421*I	-0.01521109273985476+0.11270730849295252*I	0.004824493183335681-0.05459459117837582*I	0.0016005625037303064+0.04124895618074898*I	-0.009333954548237072-0.06172762530758666*I	0.02471501655976748+0.13282388058210026*I	-0.0020170990618122602-0.1686606626739343*I	-0.0038325705318695462+0.23009208137534803*I	0.07527907929231557-0.23044193773246696*I	-0.11059948627986958+0.2657484788633571*I	0.23388379489380504-0.23050644848725568*I	-0.19380119896360362+0.2301988228450817*I	0.24321774944204216-0.1687788231796691*I	-0.13531450283963706+0.13292459828125697*I	0.07729617835412785-0.06178127505853282*I
0.05837930166102328-0.06719920015972046*I	-0.10571114583050795+0.0889392854175073*I	0.23973502350955098-0.18359901360306713*I	-0.3551746670019059+0.15405749464613305*I	0.7618729431852885-0.2508076038323279*I	-0.3489420746614923+0.17786742930679944*I	0.22216149410305078-0.25074365260538045*I	-0.09787799098636413+0.15399817625892268*I	0.05386984029612192-0.18352141664568292*I	-0.021443685080268362+0.08889737383228617*I	0.006610241367618103-0.067167033192856*I	0.0027960877202660335+0.10051299874743097*I	-0.014485157438893575-0.21627990288367147*I	-0.032609625710095944+0.27462945786558757*I	0.052601924591028755-0.3746504906890315*I	-0.17970042208800735+0.37520927863204034*I	0.23202929252196441-0.4326780524057334*I	-0.44439003887949885+0.37527633155991386*I	0.2593152015660898-0.37474915975700784*I	-0.2151853133658803+0.274728464794658*I	0.10779983146262116-0.21636457882952415*I	-0.05892520477359368+0.10055662110273829*I
-0.02304424758399867+0.04764841765153717*I	0.045088129250488294-0.0630642439938718*I	-0.10411058332677771+0.13018824159825623*I	0.16065309697114077-0.10924529653005417*I	-0.34894207466149246+0.17786742930679947*I	0.6020821037151215-0.12616846341275548*I	-0.3489420746614925+0.17786742930679952*I	0.1606530969711408-0.10924529653005423*I	-0.10411058332677772+0.1301882415982563*I	0.045088129250488294-0.06306424399387182*I	-0.023044247583998666+0.04764841765153719*I	0.019901413778153108-0.07130198935870466*I	-0.033084869469328974+0.15342120219863215*I	0.0878636375840439-0.19481088972482422*I	-0.11059948627986961+0.26574847886335734*I	0.2212992366020769-0.2661374964948988*I	-0.16454890002614422+0.30686970202179775*I	0.22129923660207682-0.26613749649489876*I	-0.1105994862798696+0.2657484788633572*I	0.08786363758404388-0.19481088972482408*I	-0.03308486946932899+0.15342120219863206*I	0.019901413778153108-0.07130198935870463*I
0.006610241367618092-0.06716703319285595*I	-0.021443685080268348+0.0888973738322861*I	0.05386984029612191-0.18352141664568283*I	-0.09787799098636407+0.15399817625892262*I	0.22216149410305072-0.25074365260538034*I	-0.3489420746614924+0.1778674293067995*I	0.7618729431852885-0.25080760383232803*I	-0.3551746670019059+0.15405749464613316*I	0.239735023509551-0.18359901360306724*I	-0.10571114583050797+0.08893928541750738*I	0.0583793016610233-0.06719920015972052*I	-0.05892520477359369+0.10055662110273837*I	0.10779983146262119-0.21636457882952437*I	-0.21518531336588034+0.27472846479465823*I	0.2593152015660899-0.3747491597570082*I	-0.44439003887949885+0.37527633155991397*I	0.23202929252196436-0.43267805240573354*I	-0.1797004220880072+0.37520927863204034*I	0.052601924591028734-0.3746504906890313*I	-0.03260962571009592+0.27462945786558735*I	-0.014485157438893581-0.2162799028836713*I	0.002796087720266038+0.10051299874743093*I
0.0016005625037303064+0.041248956180748975*I	0.004824493183335687-0.05459459117837581*I	-0.015211092739854768+0.1127073084929525*I	0.0400991581357163-0.09457783498854211*I	-0.09787799098636407+0.15399817625892268*I	0.16065309697114077-0.10924529653005421*I	-0.35517466700190586+0.1540574946461332*I	0.6070710748298936-0.09465487241808523*I	-0.35677522950563634+0.11280853846538423*I	0.15582860378780508-0.05465070535167844*I	-0.08266689824650936+0.041290867765970206*I	0.07729617835412785-0.061781275058532904*I	-0.13531450283963706+0.13292459828125716*I	0.24321774944204222-0.16877882317966933*I	-0.19380119896360368+0.230198822845082*I	0.23388379489380512-0.2305064484872559*I	-0.1105994862798696+0.2657484788633573*I	0.07527907929231559-0.23044193773246704*I	-0.003832570531869563+0.23009208137534806*I	-0.0020170990618122425-0.16866066267393423*I	0.02471501655976747+0.13282388058210023*I	-0.009333954548237069-0.06172762530758666*I
-0.011119702732519488-0.04915518329310652*I	0.007833154844143899+0.06505889084141538*I	-0.010963288038882168-0.13431167219516926*I	-0.01521109273985477+0.11270730849295255*I	0.0538698402961219-0.18352141664568294*I	-0.10411058332677771+0.13018824159825634*I	0.2397350235095511-0.18359901360306732*I	-0.35677522950563634+0.11280853846538424*I	0.7663824045501901-0.13448538734636575*I	-0.33373098192163764+0.06516012081384707*I	0.1747454804809097-0.04923278025049084*I	-0.15905619631255283+0.07365884494448899*I	0.2738003590049837-0.15846925687333693*I	-0.47070561794299687+0.20120349479706512*I	0.287227199393557-0.2743921405462267*I	-0.21518531336588037+0.2747284647946583*I	0.07988783363515414-0.3167215980403059*I	-0.03260962571009587+0.27462945786558746*I	-0.04177106648301905-0.274208795532397*I	0.03828097899813907+0.20099381258481336*I	-0.055197906871592484-0.1582859118595073*I	0.023519491343231745+0.07355983801541827*I
0.006232592340413591+0.02380993466066641*I	-0.004988971114771966-0.03151359099467031*I	0.007833154844143889+0.06505889084141536*I	0.0048244931833356895-0.05459459117837582*I	-0.021443685080268362+0.08889737383228613*I	0.0450881292504883-0.06306424399387181*I	-0.10571114583050804+0.08893928541750737*I	0.15582860378780508-0.054650705351678444*I	-0.33373098192163764+0.06516012081384705*I	0.5619829455794056-0.03159062842421343*I	-0.25106408367512834+0.023869253047876866*I	0.14602015730976126-0.03569555876243182*I	-0.1607163294942747+0.0767776206464499*I	0.22331633566388912-0.09747683382096471*I	-0.1353145028396371+0.13292459828125716*I	0.09719759213228099-0.1330832644172375*I	-0.033084869469329+0.1534212021986321*I	0.010567459229916044-0.13302961466629126*I	0.02471501655976747+0.13282388058210023*I	-0.021918512839965355-0.09735867331522964*I	0.02925229893745943+0.07667087917671601*I	-0.012584558291728292-0.035631048007643*I
-0.006453826673980779-0.01798945570920681*I	0.006232592340413591+0.02380993466066641*I	-0.011119702732519481-0.04915518329310652*I	0.0016005625037303027+0.041248956180748975*I	0.0066102413676180985-0.06716703319285598*I	-0.023044247583998676+0.0476484176515372*I	0.05837930166102332-0.06719920015972052*I	-0.08266689824650937+0.041290867765970206*I	0.1747454804809097-0.049232780250490826*I	-0.2510640836751283+0.02386925304787686*I	0.5332576224082569-0.018053406936154405*I	-0.2527242168568503+0.026988028749837745*I	0.17942736793093583-0.05802756171670234*I	-0.15905619631255283+0.073658844944489*I	0.09437299107404781-0.10044169515663458*I	-0.05892520477359372+0.10055662110273836*I	0.01342684038857344-0.1159228836728898*I	0.0027960877202660404+0.10051299874743097*I	-0.027911997827467033-0.10035701921078163*I	0.023519491343231738+0.07355983801541827*I	-0.027285909044125457-0.05792889264872568*I	0.011965399934641288+0.026920975821964194*I
