1.0005402121547655-0.3756850963054946*I	-0.6303933405259153+0.3197452518160352*I	0.4809161126063175-0.37565320612813563*I	-0.4997970894195438+0.5629916909738231*I	0.6936633466987081-0.9473272879514071*I	-0.7209137265474148+0.5630146704806621*I
-0.6303933405259153+0.31974525181603525*I	0.9620253040835102-0.2721645558138207*I	-0.6303933405259154+0.3197452518160353*I	0.5194310206775731-0.47917374661980977*I	-0.5903174754410434+0.8062611096384501*I	0.519431020677573-0.47917374661980966*I
0.4809161126063174-0.3756532061281356*I	-0.6303933405259153+0.31974525181603525*I	1.0005402121547657-0.37568509630549485*I	-0.720913726547415+0.5630146704806623*I	0.6936633466987082-0.9473272879514072*I	-0.4997970894195438+0.5629916909738231*I
-0.4997970894195438+0.562991690973823*I	0.5194310206775731-0.47917374661980966*I	-0.7209137265474151+0.5630146704806623*I	1.1747725381759009-0.8438386376370923*I	-1.0398861220297164+1.4198886507126873*I	0.6551484386274526-0.843806747459733*I
0.6936633466987083-0.9473272879514071*I	-0.5903174754410437+0.8062611096384503*I	0.6936633466987085-0.9473272879514075*I	-1.0398861220297169+1.4198886507126878*I	1.7502110289361978-2.3893070526112066*I	-1.0398861220297166+1.4198886507126876*I
-0.7209137265474148+0.5630146704806621*I	0.519431020677573-0.47917374661980966*I	-0.49979708941954387+0.5629916909738232*I	0.6551484386274529-0.8438067474597332*I	-1.0398861220297164+1.4198886507126873*I	1.1747725381759007-0.8438386376370921*I
