0.-1.0275665341408407*^-6*I	0.011223774831037607+0.*I	0.-9.481094896291817*^-8*I	-0.01758153331404741+0.*I	0.+1.8529642803676562*^-6*I	0.005649984064686285+0.*I	0.-2.4179626868362895*^-6*I	0.04835925654002352+0.*I	0.-2.417962967166057*^-6*I	-0.1711267069641842+0.*I	0.+0.000019530633663584455*I	0.37886507152161164+0.*I	0.-0.00005741714081574566*I	0.3344470788021674+0.*I	0.+0.000023972432935528912*I	-0.33444707640492405+0.*I	0.+9.472274704963472*^-6*I	0.2866878439345067+0.*I	0.+0.000019276081717331618*I	-0.20773836260436435+0.*I	0.-0.00001803287912047978*I	0.12276745018236429+0.*I	0.+8.17409706940959*^-6*I	-0.05400924084650605+0.*I	0.-3.552102979227843*^-7*I	0.011931549434657544+0.*I	0.-2.6909089259103567*^-6*I	0.0063577584735287004+0.*I	0.+2.1499440275204883*^-6*I	-0.011223774933794272+0.*I
0.009515054586930777+0.*I	0.+207.38829417968336*I	0.011223774831037606+0.*I	0.-158.72813069940338*I	-0.027096587900977853+0.*I	0.-231.5532408039857*I	0.003941263820579313+0.*I	0.+811.0582850568748*I	0.07716456468510811+0.*I	0.-1267.0871424473999*I	-0.2038732789298482+0.*I	0.+1305.737998723195*I	0.33444707880216773+0.*I	0.-828.1457074637293*I	0.5827383504514594+0.*I	0.+828.1456491898945*I	-0.4999237855324701+0.*I	0.-477.5923247041733*I	0.11771747425988521+0.*I	0.-38.6508358884669*I	0.0822907210811159+0.*I	0.+456.02884967406874*I	-0.11385240079881698+0.*I	0.-579.5050446470152*I	0.051960632513536276+0.*I	0.+390.281374213048*I	0.01416409280874667+0.*I	0.-48.660164602657545*I	-0.030253884100049463+0.*I	0.-207.3882951311888*I
0.+7.606107544771353*^-8*I	0.00951505458693075+0.*I	0.-1.0275665341408013*^-6*I	0.001708720244106761+0.*I	0.+8.566945097301334*^-7*I	-0.02880530814508474+0.*I	0.+2.0238363047783525*^-6*I	0.03274657196566398+0.*I	0.-5.298493501344758*^-6*I	0.044417992719444147+0.*I	0.+8.566942294003558*^-7*I	-0.2482912716492921+0.*I	0.+0.00002397243293552889*I	0.5827383504514596+0.*I	0.-0.0000822462679806749*I	0.4172616413239135+0.*I	0.+0.000040520103848283534*I	-0.3344470764049242+0.*I	0.-0.0000310478291433201*I	0.20387327901551752+0.*I	0.+9.803807012368174*^-6*I	-0.07716456521495745+0.*I	0.+3.2111430104722124*^-6*I	-0.003941263618195584+0.*I	0.-4.840852953430866*^-6*I	0.02709658798664746+0.*I	0.+1.2744996450358362*^-6*I	-0.011223774933794173+0.*I	0.+8.754443824844987*^-7*I	-0.00951505457932465+0.*I
-0.009515054579324583+0.*I	0.-207.38829513118935*I	-0.01122377493379434+0.*I	0.+158.72813052853203*I	0.027096587986647547+0.*I	0.+231.5532436845161*I	-0.003941263618195953+0.*I	0.-811.0582883315318*I	-0.07716456521495721+0.*I	0.+1267.0871380056012*I	0.2038732790155173+0.*I	0.-1305.737973894068*I	-0.3344470764049242+0.*I	0.+828.1456491898948*I	0.4172616413239135+0.*I	0.-828.1456909160588*I	0.49992378958448036+0.*I	0.+477.59235814888115*I	-0.11771747736466831+0.*I	0.+38.65081550113929*I	-0.08229072010073524+0.*I	0.-456.0288419576126*I	0.1138524011199315+0.*I	0.+579.5050450411422*I	-0.05196063299762166+0.*I	0.-390.28137692270684*I	-0.014164092681297036+0.*I	0.+48.660165725034716*I	0.030253884187594365+0.*I	0.+207.38829608269484*I
0.+8.754443824844595*^-7*I	-0.030253884100049786+0.*I	0.+2.149944027520516*^-6*I	0.01416409280874598+0.*I	0.-3.566353308395131*^-6*I	0.05196063251353691+0.*I	0.-1.6297099429585642*^-6*I	-0.1138524007988174+0.*I	0.+0.000013014950022840299*I	0.08229072108111574+0.*I	0.-0.000021244022130951895*I	0.11771747425988541+0.*I	0.+9.472274704963372*^-6*I	-0.4999237855324704+0.*I	0.+0.00004052010384828366*I	0.49992378958448064+0.*I	0.-0.00009051248280673172*I	0.3822063122198122+0.*I	0.+0.000042819576879786885*I	-0.20000819746540344+0.*I	0.-1.574735002294681*^-6*I	0.031561681019196576+0.*I	0.-0.00001459638312246537*I	0.06189176812230947+0.*I	0.+0.00001003691625319309*I	-0.0661247256789182+0.*I	0.+1.4190962309471958*^-7*I	0.016089791506298218+0.*I	0.-3.900832801244605*^-6*I	0.03025388418759424+0.*I
-0.011223774933794131+0.*I	0.-48.66016460265714*I	0.006357758473528416+0.*I	0.+182.8930790818597*I	0.011931549434657518+0.*I	0.-420.77691411848315*I	-0.054009240846505865+0.*I	0.+687.5820933585852*I	0.12276745018236435+0.*I	0.-849.7091242199986*I	-0.20773836260436424+0.*I	0.+789.4948133014276*I	0.286687843934507+0.*I	0.-477.5923247041736*I	-0.3344470764049244+0.*I	0.+477.5923581488812*I	0.38220631221981244+0.*I	0.-311.90251726603844*I	0.2999155921190771+0.*I	0.+60.21433169240719*I	-0.08615579634547232+0.*I	0.+162.12701858466826*I	-0.02039895197842545+0.*I	0.-266.8051738391778*I	0.047727675441013584+0.*I	0.+237.88383384346866*I	-0.03587084149132383+0.*I	0.-134.23291511497828*I	0.016089791506297565+0.*I	0.+48.66016572503467*I
0.+1.2744996450354067*^-6*I	0.014164092808747707+0.*I	0.-2.6909089259101704*^-6*I	0.021706748413485178+0.*I	0.+5.202340845616684*^-7*I	-0.09968830799006964+0.*I	0.+9.448596714445302*^-6*I	0.13425135359465182+0.*I	0.-0.000022873732073910474*I	0.0038650734610674916+0.*I	0.+0.00002248722472780372*I	-0.4176330644513537+0.*I	0.+0.000019276081717331635*I	0.11771747425988487+0.*I	0.-0.00003104782914332016*I	-0.11771747736466773+0.*I	0.+0.000042819576879786986*I	0.29991559211907676+0.*I	0.-0.00009208721780902617*I	0.4137679932390083+0.*I	0.+0.000028223193757321535*I	-0.13811642934309257+0.*I	0.+8.462181250898126*^-6*I	-0.03456304465972245+0.*I	0.-0.000014454473499371252*I	0.07798155962860788+0.*I	0.+6.1360834519498464*^-6*I	-0.03587084149132375+0.*I	0.+1.419096230931538*^-7*I	-0.014164092681297731+0.*I
0.027096587986647394+0.*I	0.+390.28137421304865*I	0.01193154943465749+0.*I	0.-628.165209249673*I	-0.0747480703596248+0.*I	0.+638.9219287559287*I	0.13864026323521766+0.*I	0.-459.42775000694985*I	-0.18458303823591266+0.*I	0.+209.98976865441173*I	0.20558201510135377+0.*I	0.-21.563475030104083*I	-0.20773836260436418+0.*I	0.-38.65083588846673*I	0.2038732790155175+0.*I	0.+38.65081550113868*I	-0.20000819746540366+0.*I	0.+60.21433169240702*I	0.4137679932390085+0.*I	0.-188.42631418250917*I	0.36180736024138693+0.*I	0.+249.43799981084183*I	-0.15228052202439019+0.*I	0.-179.49419261300508*I	-0.004309160472127982+0.*I	0.-10.756712031448561*I	0.07798155962860781+0.*I	0.+237.88383384346943*I	-0.06612472567891835+0.*I	0.-390.28137692270747*I
0.-4.840852953430587*^-6*I	0.051960632513536345+0.*I	0.-3.5521029792304037*^-7*I	-0.09968830799007036+0.*I	0.+0.00001032404109693007*I	0.10399746949460252+0.*I	0.-0.000020723788046390324*I	0.01802916626981439+0.*I	0.+0.00001892087141940889*I	-0.36567243193781807+0.*I	0.+0.000017646371774372928*I	0.003865073461068444+0.*I	0.-0.000018032879120479802*I	0.08229072108111601+0.*I	0.+9.803807012368199*^-6*I	-0.08229072010073522+0.*I	0.-1.574735002294622*^-6*I	-0.08615579634547248+0.*I	0.+0.000028223193757321714*I	0.36180736024138677+0.*I	0.-0.00008205030155583343*I	0.3476432675600909+0.*I	0.+0.000028365103380415448*I	-0.12202663783679564+0.*I	0.+4.561348449654167*^-6*I	-0.0043091604721280765+0.*I	0.-0.000014454473499371186*I	0.04772767544101299+0.*I	0.+0.00001003691625319313*I	-0.05196063299762168+0.*I
-0.003941263618195412+0.*I	0.-579.5050446470152*I	-0.05400924084650614+0.*I	0.+846.3102238871165*I	0.1386402632352178+0.*I	0.-666.8160451381384*I	-0.20532186774903166+0.*I	0.+161.3296040517545*I	0.22145482815420714+0.*I	0.+368.7178991829444*I	-0.18458303823591266+0.*I	0.-618.1558805354825*I	0.12276745018236439+0.*I	0.+456.02884967406953*I	-0.07716456521495747+0.*I	0.-456.02884195761277*I	0.03156168101919611+0.*I	0.+162.1270185846683*I	-0.13811642934309348+0.*I	0.+249.43799981084183*I	0.3476432675600902+0.*I	0.-530.0475253801818*I	0.37789715174768446+0.*I	0.+505.4864616185707*I	-0.12202663783679601+0.*I	0.-179.49419261300451*I	-0.034563044659722236+0.*I	0.-266.8051738391773*I	0.06189176812230965+0.*I	0.+579.5050450411416*I
0.+3.2111430104724864*^-6*I	-0.11385240079881735+0.*I	0.+8.17409706940925*^-6*I	0.13425135359465268+0.*I	0.-0.00002159923242887455*I	0.01802916626981393+0.*I	0.+0.000019796315801893162*I	-0.3959263160378672+0.*I	0.+0.000019796315801893528*I	0.01802916626981388+0.*I	0.-0.000021599232428874932*I	0.13425135359465287+0.*I	0.+8.174097069409622*^-6*I	-0.1138524007988171+0.*I	0.+3.211143010472141*^-6*I	0.1138524011199316+0.*I	0.-0.000014596383122465372*I	-0.02039895197842587+0.*I	0.+8.462181250898298*^-6*I	-0.15228052202438994+0.*I	0.+0.000028365103380415533*I	0.3778971517476848+0.*I	0.-0.00008595113435707738*I	0.3778971517476848+0.*I	0.+0.0000283651033804155*I	-0.15228052202438977+0.*I	0.+8.462181250898379*^-6*I	-0.02039895197842555+0.*I	0.-0.000014596383122464748*I	0.11385240111993168+0.*I
-0.0771645652149577+0.*I	0.+456.02884967406845*I	0.12276745018236451+0.*I	0.-618.1558805354811*I	-0.18458303823591263+0.*I	0.+368.71789918294354*I	0.22145482815420703+0.*I	0.+161.3296040517554*I	-0.20532186774903152+0.*I	0.-666.8160451381397*I	0.13864026323521755+0.*I	0.+846.3102238871182*I	-0.05400924084650564+0.*I	0.-579.5050446470163*I	-0.0039412636181959115+0.*I	0.+579.5050450411426*I	0.06189176812231015+0.*I	0.-266.80517383917794*I	-0.03456304465972204+0.*I	0.-179.49419261300497*I	-0.12202663783679607+0.*I	0.+505.4864616185711*I	0.3778971517476846+0.*I	0.-530.0475253801816*I	0.34764326756009034+0.*I	0.+249.4379998108414*I	-0.13811642934309326+0.*I	0.+162.12701858466772*I	0.03156168101919672+0.*I	0.-456.02884195761203*I
0.+9.803807012368318*^-6*I	0.08229072108111607+0.*I	0.-0.000018032879120479944*I	0.0038650734610679678+0.*I	0.+0.00001764637177437316*I	-0.36567243193781795+0.*I	0.+0.00001892087141940863*I	0.018029166269814514+0.*I	0.-0.000020723788046390114*I	0.10399746949460253+0.*I	0.+0.000010324041096929875*I	-0.09968830799007114+0.*I	0.-3.552102979227801*^-7*I	0.05196063251353676+0.*I	0.-4.8408529534309*^-6*I	-0.05196063299762178+0.*I	0.+0.000010036916253192974*I	0.04772767544101343+0.*I	0.-0.000014454473499371494*I	-0.004309160472127378+0.*I	0.+4.561348449654287*^-6*I	-0.12202663783679611+0.*I	0.+0.00002836510338041565*I	0.3476432675600904+0.*I	0.-0.00008205030155583341*I	0.36180736024138715+0.*I	0.+0.000028223193757321464*I	-0.0861557963454718+0.*I	0.-1.574735002294574*^-6*I	-0.08229072010073532+0.*I
0.20387327901551744+0.*I	0.-38.650835888466666*I	-0.20773836260436412+0.*I	0.-21.563475030104527*I	0.20558201510135363+0.*I	0.+209.98976865441207*I	-0.1845830382359125+0.*I	0.-459.42775000694996*I	0.1386402632352175+0.*I	0.+638.9219287559283*I	-0.07474807035962464+0.*I	0.-628.1652092496726*I	0.011931549434657365+0.*I	0.+390.28137421304854*I	0.02709658798664745+0.*I	0.-390.28137692270747*I	-0.06612472567891824+0.*I	0.+237.88383384346906*I	0.07798155962860767+0.*I	0.-10.756712031448725*I	-0.004309160472127815+0.*I	0.-179.49419261300469*I	-0.1522805220243903+0.*I	0.+249.4379998108418*I	0.36180736024138693+0.*I	0.-188.42631418250903*I	0.41376799323900854+0.*I	0.+60.214331692407434*I	-0.2000081974654035+0.*I	0.+38.65081550113878*I
0.-0.00003104782914332009*I	0.1177174742598855+0.*I	0.+0.00001927608171733154*I	-0.4176330644513543+0.*I	0.+0.000022487224727803942*I	0.003865073461067856+0.*I	0.-0.00002287373207391073*I	0.13425135359465287+0.*I	0.+9.448596714445429*^-6*I	-0.09968830799007113+0.*I	0.+5.202340845617081*^-7*I	0.02170674841348628+0.*I	0.-2.6909089259103737*^-6*I	0.014164092808746736+0.*I	0.+1.2744996450356596*^-6*I	-0.014164092681296713+0.*I	0.+1.4190962309396148*^-7*I	-0.03587084149132402+0.*I	0.+6.136083451948931*^-6*I	0.07798155962860812+0.*I	0.-0.000014454473499371613*I	-0.03456304465972227+0.*I	0.+8.462181250898504*^-6*I	-0.13811642934309404+0.*I	0.+0.000028223193757321664*I	0.41376799323900904+0.*I	0.-0.00009208721780902626*I	0.2999155921190771+0.*I	0.+0.00004281957687978695*I	-0.11771747736466842+0.*I
-0.3344470764049241+0.*I	0.-477.592324704173*I	0.28668784393450675+0.*I	0.+789.4948133014268*I	-0.20773836260436404+0.*I	0.-849.7091242199983*I	0.12276745018236424+0.*I	0.+687.5820933585854*I	-0.0540092408465057+0.*I	0.-420.7769141184836*I	0.011931549434657338+0.*I	0.+182.893079081859*I	0.006357758473528555+0.*I	0.-48.66016460265671*I	-0.011223774933794228+0.*I	0.+48.660165725034325*I	0.01608979150629762+0.*I	0.-134.2329151149781*I	-0.035870841491324024+0.*I	0.+237.88383384346963*I	0.04772767544101347+0.*I	0.-266.80517383917766*I	-0.02039895197842556+0.*I	0.+162.12701858466784*I	-0.08615579634547199+0.*I	0.+60.21433169240775*I	0.2999155921190769+0.*I	0.-311.9025172660382*I	0.38220631221981227+0.*I	0.+477.5923581488807*I
0.+0.000040520103848283595*I	-0.49992378553247+0.*I	0.+9.472274704963378*^-6*I	0.11771747425988505+0.*I	0.-0.000021244022130951885*I	0.08229072108111596+0.*I	0.+0.000013014950022840292*I	-0.1138524007988172+0.*I	0.-1.6297099429585742*^-6*I	0.05196063251353625+0.*I	0.-3.566353308395063*^-6*I	0.014164092808746547+0.*I	0.+2.149944027520424*^-6*I	-0.030253884100049862+0.*I	0.+8.754443824845783*^-7*I	0.030253884187594213+0.*I	0.-3.900832801244017*^-6*I	0.01608979150629763+0.*I	0.+1.419096230939084*^-7*I	-0.06612472567891807+0.*I	0.+0.00001003691625319286*I	0.06189176812230996+0.*I	0.-0.00001459638312246527*I	0.03156168101919616+0.*I	0.-1.5747350022945636*^-6*I	-0.2000081974654033+0.*I	0.+0.00004281957687978684*I	0.38220631221981244+0.*I	0.-0.00009051248280673166*I	0.4999237895844804+0.*I
0.4172616413239135+0.*I	0.+828.145649189894*I	-0.334447076404924+0.*I	0.-1305.737973894067*I	0.20387327901551733+0.*I	0.+1267.0871380056014*I	-0.0771645652149572+0.*I	0.-811.0582883315318*I	-0.003941263618195967+0.*I	0.+231.55324368451582*I	0.027096587986647533+0.*I	0.+158.7281305285327*I	-0.011223774933794228+0.*I	0.-207.3882951311897*I	-0.00951505457932468+0.*I	0.+207.38829608269504*I	0.0302538841875942+0.*I	0.+48.660165725034425*I	-0.014164092681296564+0.*I	0.-390.2813769227073*I	-0.05196063299762155+0.*I	0.+579.5050450411422*I	0.11385240111993172+0.*I	0.-456.0288419576129*I	-0.08229072010073557+0.*I	0.+38.65081550113791*I	-0.11771747736466842+0.*I	0.+477.59235814888086*I	0.49992378958448014+0.*I	0.-828.1456909160581*I
