-2.614746406030201-0.2038827618368017*I	0.5474449446300322+0.44744103751517944*I	2.122090699966923-0.19886891642132284*I	-2.4573464614919045-0.2686712218059857*I	0.0894942482536103+0.4409187506928591*I	2.8058064325209644-0.263685077221455*I
0.5474449446300318+0.4474410375151792*I	-0.10554368825447336-0.9943016896239261*I	0.5474449446300318+0.4474410375151797*I	-0.3871120178088039+0.5915500113658015*I	-0.19898497360097167-0.97979733654262*I	-0.3871120178088039+0.5915500113658019*I
2.122090699966923-0.1988689164213226*I	0.5474449446300318+0.4474410375151794*I	-2.6147464060302-0.20388276183680187*I	2.8058064325209644-0.26368507722145473*I	0.0894942482536103+0.44091875069285896*I	-2.457346461491905-0.26867122180598585*I
-2.457346461491905-0.2686712218059856*I	-0.38711201780880367+0.5915500113658015*I	2.805806432520965-0.263685077221455*I	-2.1381401399677866-0.3545140225097443*I	0.11848424204779184+0.5829615114942216*I	2.5986969660293373-0.34950017709426545*I
0.08949424825360988+0.44091875069285874*I	-0.19898497360097123-0.9797973365426198*I	0.08949424825360996+0.44091875069285924*I	0.11848424204779155+0.5829615114942213*I	-0.19607176994547296-0.965595959461863*I	0.11848424204779165+0.5829615114942217*I
2.8058064325209644-0.2636850772214547*I	-0.3871120178088039+0.5915500113658015*I	-2.4573464614919045-0.26867122180598585*I	2.598696966029337-0.3495001770942651*I	0.11848424204779162+0.5829615114942215*I	-2.138140139967786-0.3545140225097445*I
