0.49063390424418285-0.6508046281583131*I	-0.12420831185027859+0.696015801058426*I	-0.2582947595040559-0.6507324989897588*I	0.6071544388729643+0.5208798015283732*I	-0.8770319532082345-0.3233734453121866*I	0.20665783045084074+0.5209397902071949*I
-0.12420831185027947+0.6960158010584261*I	0.667562663068491-0.7444376248038285*I	-0.12420831185027947+0.6960158010584261*I	-0.4352235183283628-0.5570995023442435*I	0.9380205811740835+0.3458037906771422*I	-0.4352235183283628-0.5570995023442437*I
-0.2582947595040559-0.6507324989897592*I	-0.12420831185027859+0.6960158010584264*I	0.49063390424418285-0.6508046281583134*I	0.20665783045084074+0.5209397902071952*I	-0.8770319532082347-0.32337344531218676*I	0.6071544388729642+0.5208798015283737*I
0.607154438872964+0.5208798015283737*I	-0.43522351832836326-0.5570995023442439*I	0.20665783045084052+0.5209397902071953*I	0.04882546936431165-0.4170785711262564*I	0.7019968339807838+0.25899225525196784*I	-0.700103194383927-0.4170064419577022*I
-0.8770319532082341-0.3233734453121867*I	0.9380205811740834+0.34580379067714223*I	-0.8770319532082341-0.3233734453121867*I	0.7019968339807833+0.2589922552519677*I	-0.43567622711030557-0.1610122716923911*I	0.7019968339807834+0.25899225525196773*I
0.2066578304508403+0.5209397902071952*I	-0.4352235183283628-0.5570995023442438*I	0.6071544388729638+0.5208798015283735*I	-0.7001031943839268-0.4170064419577021*I	0.7019968339807836+0.2589922552519678*I	0.04882546936431209-0.4170785711262564*I
