2.145964940592389-0.3083999498558935*I	0.4419305604538353+0.5519029261357445*I	-2.636452672403533-0.3042564912108286*I	2.484501480264966-0.2139145756244845*I	-0.12136536214814253+0.54145322000598*I	-1.823982484506374-0.20979357828976194*I
0.4419305604538353+0.5519029261357441*I	0.10454003259626488-0.9944291047520256*I	0.4419305604538357+0.551902926135745*I	-0.5950277644074087+0.38177266368530316*I	0.2185884353047567-0.975611080049991*I	-0.5950277644074085+0.381772663685304*I
-2.6364526724035326-0.3042564912108282*I	0.4419305604538353+0.5519029261357448*I	2.145964940592389-0.3083999498558941*I	-1.8239824845063732-0.20979357828976156*I	-0.12136536214814253+0.5414532200059802*I	2.484501480264966-0.21391457562448504*I
2.484501480264966-0.21391457562448452*I	-0.5950277644074089+0.38177266368530355*I	-1.8239824845063732-0.20979357828976183*I	2.619627342851655-0.14871939353521726*I	-0.08381873799831796+0.3746101423795679*I	-2.1627902701442667-0.14457593489015216*I
-0.12136536214814266+0.5414532200059796*I	0.21858843530475713-0.975611080049991*I	-0.12136536214814284+0.5414532200059804*I	-0.08381873799831796+0.3746101423795675*I	0.21444162234051375-0.9572620961735007*I	-0.08381873799831814+0.37461014237956836*I
-1.8239824845063741-0.2097935782897615*I	-0.5950277644074087+0.38177266368530355*I	2.4845014802649663-0.21391457562448485*I	-2.162790270144267-0.14457593489015186*I	-0.08381873799831796+0.3746101423795679*I	2.6196273428516554-0.14871939353521757*I
