-5.120804342272068-0.23533792309190096*I	0.5243224976714767+0.4743266786208747*I	4.6227454021520265-0.21532485384769723*I	-4.915952162201288-0.27023034200577745*I	0.047382128904997156+0.472535273969406*I	5.340418093694679-0.25024357124934155*I
0.5243224976714771+0.47432667862087413*I	-0.05131037163260377-0.998577080215353*I	0.5243224976714749+0.47432667862087474*I	-0.44674856848743527+0.5479143032757547*I	-0.09985656617808392-0.9948005918759931*I	-0.4467485684874375+0.5479143032757554*I
4.622745402152027-0.2153248538476966*I	0.5243224976714758+0.47432667862087396*I	-5.120804342272068-0.23533792309190088*I	5.340418093694678-0.2502435712493408*I	0.047382128904997156+0.4725352739694053*I	-4.915952162201288-0.27023034200577734*I
-4.915952162201289-0.2702303420057774*I	-0.44674856848743527+0.5479143032757553*I	5.34041809369468-0.25024357124934155*I	-4.626673644879636-0.31071695239825037*I	0.05489079724573509+0.5458873433921673*I	5.11687609954446-0.2907038831540466*I
0.0473821289049961+0.4725352739694054*I	-0.09985656617808404-0.9948005918759931*I	0.04738212890499616+0.47253527396940603*I	0.05489079724573462+0.5458873433921667*I	-0.09947379755410483-0.9911337392716891*I	0.05489079724573468+0.5458873433921673*I
5.340418093694679-0.2502435712493408*I	-0.44674856848743527+0.5479143032757547*I	-4.915952162201288-0.2702303420057774*I	5.116876099544459-0.2907038831540459*I	0.05489079724573509+0.5458873433921667*I	-4.626673644879636-0.31071695239825026*I
