-4.872935494587834-0.28529854803671345*I	0.4743275062896317-0.5243217577548134*I	5.370926944016172-0.26528673035646955*I	5.165119256254313+0.24523359818611873*I	0.05247279841067609+0.5222654965262687*I	-4.590938305461661+0.225245575865723*I
0.4743275062896317-0.5243217577548132*I	-0.04880487251898025-0.9987127580922651*I	0.4743275062896313-0.5243217577548134*I	0.5467963219473169+0.44812747969908207*I	0.09985344450302147+0.9948009318066547*I	0.5467963219473169+0.44812747969908234*I
5.370926944016173-0.2652867303564694*I	0.4743275062896326-0.5243217577548133*I	-4.872935494587834-0.28529854803671356*I	-4.590938305461662+0.2252455758657228*I	0.05247279841067565+0.5222654965262686*I	5.165119256254313+0.2452335981861188*I
5.165119256254313+0.24523359818611876*I	0.5467963219473169+0.44812747969908234*I	-4.59093830546166+0.22524557586572302*I	-5.367259018124473-0.21116053120952705*I	-0.04470477962215824-0.446427407733914*I	4.8766034204795305-0.19114871352928312*I
0.05247279841067672+0.5222654965262684*I	0.09985344450302172+0.9948009318066547*I	0.05247279841067675+0.5222654965262687*I	-0.0447047796221585-0.44642740773391365*I	-0.09945745975471657-0.9910098041689158*I	-0.044704779622158526-0.44642740773391393*I
-4.590938305461661+0.2252455758657228*I	0.5467963219473169+0.4481274796990822*I	5.165119256254314+0.24523359818611878*I	4.876603420479531-0.19114871352928292*I	-0.04470477962215824-0.4464274077339138*I	-5.367259018124474-0.21116053120952707*I
