-1.285387906239452-0.15213382310110746*I	0.5939138498393401+0.38361881420280447*I	0.8162343267477936-0.15098443150409202*I	-1.2387540664132473-0.2644227367472466*I	0.16235494344499707+0.3600022689410581*I	1.421527382707517-0.26330455516230566*I
0.5939138498393394+0.38361881420280464*I	-0.23787951310719802-0.9711567600687321*I	0.5939138498393401+0.3836188142028044*I	-0.23127406638446035+0.6680385054635326*I	-0.41114053354506996-0.9113461061123567*I	-0.2312740663844598+0.6680385054635325*I
0.816234326747794-0.1509844315040922*I	0.5939138498393397+0.3836188142028047*I	-1.285387906239452-0.15213382310110746*I	1.4215273827075172-0.26330455516230583*I	0.16235494344499712+0.3600022689410583*I	-1.2387540664132473-0.26442273674724665*I
-1.238754066413247-0.2644227367472467*I	-0.23127406638446013+0.6680385054635327*I	1.421527382707517-0.2633045551623057*I	-0.8917588964099944-0.4601700596235819*I	0.28291612845041647+0.6269280781545763*I	1.2098633365772506-0.45902066802656644*I
0.16235494344499715+0.3600022689410583*I	-0.41114053354507013-0.9113461061123569*I	0.16235494344499707+0.36000226894105813*I	0.2829161284504166+0.6269280781545764*I	-0.3857959921130107-0.8553037422960186*I	0.2829161284504165+0.6269280781545763*I
1.421527382707517-0.2633045551623058*I	-0.2312740663844599+0.6680385054635325*I	-1.2387540664132475-0.2644227367472465*I	1.2098633365772504-0.45902066802656644*I	0.2829161284504166+0.6269280781545762*I	-0.8917588964099947-0.46017005962358165*I
