0.46193471517326296-0.00003608642123919481*I	-0.1919923476234543+0.000030238662708313384*I	0.11404233072096638-0.000035430332123399927*I	-0.05064934590605723+0.000022065216108321078*I	0.03790570920372694-0.000025700381610957577*I	-0.017941095958123564+0.000015339342672496935*I	0.01591758020457803-0.000018523536810720884*I	-0.007916038122156193+0.000010913952106237304*I	0.007830535253285763-0.000013426715695775413*I	-0.004018464656427605+7.7989570978369*^-6*I	0.004224859495892761-9.568309132092526*^-6*I	-0.002188703454477012+5.406943143172747*^-6*I	0.0023412514082325887-6.433649951978008*^-6*I	-0.0011791902806532165+3.422576548685726*^-6*I	0.0011963197759847152-3.7161606660138443*^-6*I	-0.000521732688541089+1.6615013786620636*^-6*I	0.00036887845578868945-1.2161702011182368*^-6*I	-0.0005849028004419996+1.9501213791137793*^-6*I	0.0013858301405494475-4.575703656178901*^-6*I	-0.0018880367303759065+5.944772093095273*^-6*I	0.003081960869070766-9.353648284055478*^-6*I	-0.0036558611329325346+0.000010237305023252303*I	0.005544372145224749-0.000014559030720430161*I	-0.006467411333604579+0.000015076541205678657*I	0.009633003867350349-0.000020455542631152837*I	-0.011557104323945066+0.000020784184357923465*I	0.01720777592961752-0.00002731458431444762*I	-0.02189560838580801+0.000027725557632970605*I	0.03256147179578425-0.000035148990935162495*I	-0.04512668831703818+0.00003590601513168203*I	0.06491288754220481-0.00004235600401722218*I	-0.09948530217642079+0.00004258288448146868*I	0.11950069252437949-0.000040013787086141805*I	-0.19381180150497648+0.000031827129491944754*I
-0.19199234762345432+0.000030238662708313387*I	0.4782113456025034-0.00004345455869506607*I	-0.2426416935295115+0.000052303878816634465*I	0.1037440440191992-0.00003336094733312413*I	-0.0685904418641808+0.00003740455878081801*I	0.03148252457253012-0.000022268702005601752*I	-0.025857134080279752+0.00002625329477873424*I	0.012597211772666457-0.000015408641720025025*I	-0.011934502778583794+0.000018712909204074194*I	0.006047223268456894-0.00001084117725730984*I	-0.006207168110904616+0.00001320590024100964*I	0.0031916870336272957-7.45152954541028*^-6*I	-0.003367893735130226+8.829519691858467*^-6*I	0.0016896054116353086-4.694186053456597*^-6*I	-0.0017009229691943048+5.084077927347788*^-6*I	0.0007408851434710443-2.2732226067856516*^-6*I	-0.0005217326885410887+1.6615013786620634*^-6*I	0.0008243130883023597-2.659108260346429*^-6*I	-0.0019512068422768163+6.233392093546988*^-6*I	0.002672278860884354-8.114732824881685*^-6*I	-0.0043647075826552225+0.000012759500567661846*I	0.005222389643080046-0.00001400605410319551*I	-0.007934569012060098+0.00001990690308575821*I	0.009382595351219679-0.00002070427710921834*I	-0.014006051001122038+0.000028061768465765212*I	0.017159075165918955-0.000028695458357029342*I	-0.025536674587596866+0.000037595789884656735*I	0.03349166852097218-0.00003849682720254796*I	-0.0490812007447226+0.00004829223009215568*I	0.07054476074126893-0.00004972498281731008*I	-0.09396264458740167+0.00005642368350482961*I	0.14596969619722003-0.00005583196106876205*I	-0.10130475605794288+0.00004417135126510003*I	0.0977657002917259-0.00002806219466752867*I
0.11404233072096638-0.000035430332123399927*I	-0.2426416935295116+0.000052303878816634485*I	0.6138827550979561-0.00009721713497355234*I	-0.26058278948763514+0.00006764322148913141*I	0.1678656201292714-0.00007965425054507841*I	-0.076506479986337+0.000048318510887055324*I	0.061653824661590736-0.000057650634117453884*I	-0.02987559873670736+0.000034052251876571146*I	0.027972974953756554-0.00004151856163858881*I	-0.014123206233060811+0.00002411985234724695*I	0.014396646157411116-0.00002942867477984595*I	-0.007386358391557834+0.000016628476789695372*I	0.007762430680110064-0.00001971811975008438*I	-0.0038896264236713187+0.000010491021070520537*I	0.003906449640005994-0.000011365980819110094*I	-0.0017009229691943059+5.08407792734779*^-6*I	0.001196319775984715-3.7161606660138447*^-6*I	-0.0018880367303759072+5.944772093095274*^-6*I	0.004467791009620213-0.000013929351940234381*I	-0.006128800663750441+0.000018132198495461355*I	0.010012163154844963-0.000028488382660664547*I	-0.012011309196913022+0.000031258618322026235*I	0.018259336881645872-0.000044368221635638464*I	-0.021680376790482184+0.00004609803058685442*I	0.03238515194219263-0.00006232915766603061*I	-0.03992012404335765+0.00006358628319657272*I	0.05940225159275211-0.00008291911788076293*I	-0.07857940102679128+0.00008441575712257611*I	0.11468213526760662-0.00010481957926683234*I	-0.16650759887926703+0.00010621445724612135*I	0.21697505186236865-0.00011751878203852652*I	-0.3384237919984356+0.00011031602910509551*I	0.18441358006658437-0.000082369791103364*I	-0.09948530217642078+0.000042582884481468663*I
-0.050649345906057235+0.000022065216108321078*I	0.1037440440191992-0.000033360947333124136*I	-0.26058278948763514+0.00006764322148913141*I	0.5096938701750335-0.00006572326070066783*I	-0.26849882760979127+0.00007855717359536871*I	0.11634125579186565-0.000048769589053149154*I	-0.08052494464276458+0.000056117467984892204*I	0.037529747840987004-0.00003310987926291159*I	-0.032064302191184356+0.00003945919501974386*I	0.015788898806293746-0.000022860171265435297*I	-0.015302396513714015+0.000027542428895932656*I	0.007736828680092202-0.000015535363310766433*I	-0.007908091080098918+0.000018289978168357427*I	0.00393257217709834-9.724752152195931*^-6*I	-0.0038896264236713152+0.000010491021070520532*I	0.0016896054116353086-4.6941860534565965*^-6*I	-0.001179190280653216+3.422576548685724*^-6*I	0.0018479657725819936-5.455624564535255*^-6*I	-0.004364707582655222+0.000012759500567661844*I	0.0060467027313824044-0.000016665162363541933*I	-0.009885775854336911+0.00002614029517930519*I	0.01205487421210403-0.000028819009934100017*I	-0.01837075858377725+0.00004082126903342704*I	0.02238146480899899-0.00004270151246022484*I	-0.03347124359965696+0.000057502692970414937*I	0.042874263872191835-0.00005920110431176628*I	-0.0630872517458446+0.00007635399855792086*I	0.08770383590718789-0.00007842044117433941*I	-0.11949931917499856+0.00009401947338948637*I	0.17946136471819216-0.00009432878827131002*I	-0.15038595680266553+0.00009246358135725572*I	0.16831046103299496-0.00007778717748483876*I	-0.0939626445874017+0.00005642368350482961*I	0.0482039959054941-0.000027769766401233364*I
0.037905709203726934-0.000025700381610957577*I	-0.0685904418641808+0.00003740455878081801*I	0.16786562012927134-0.00007965425054507838*I	-0.2684988276097912+0.0000785571735953687*I	0.63763087055582-0.0001291673874800486*I	-0.2725172922662189+0.0000863561306932056*I	0.17992101487844986-0.0001026492753729463*I	-0.08271364809724158+0.00006152441112806493*I	0.06821993556571604-0.00007365259320152434*I	-0.033243492471837575+0.000042881771568429575*I	0.031510546137973834-0.00005166837225658062*I	-0.015824129202255104+0.000029203930274594714*I	0.015961844389184507-0.000034361005646978*I	-0.007908091080098918+0.000018289978168357423*I	0.007762430680110061-0.000019718119750084374*I	-0.003367893735130227+8.829519691858469*^-6*I	0.002341251408232588-6.433649951978007*^-6*I	-0.003655861132932533+0.000010237305023252298*I	0.008626333014295513-0.000023912679004485634*I	-0.012011309196913017+0.000031258618322026214*I	0.019645167022195303-0.000048943925291817344*I	-0.024153316321300064+0.00005399292405906343*I	0.0368529429518128-0.00007625850960626493*I	-0.045464021906666055+0.00007976836031292022*I	0.06802858460704757-0.00010683179688524852*I	-0.0887026734933283+0.00010972960335150696*I	0.1298595112801816-0.00013983415261841517*I	-0.18453211453681656+0.00014207518280972336*I	0.24381583165933646-0.00016528890898412693*I	-0.37187650470818845+0.00015882577109598952*I	0.2341828277919861-0.0001448333663529741*I	-0.166507598879267+0.00010621445724612133*I	0.09747435933798904-0.00007750499495238466*I	-0.04512668831703816+0.00003590601513168202*I
-0.01794109595812357+0.000015339342672496942*I	0.031482524572530125-0.00002226870200560176*I	-0.07650647998633699+0.00004831851088705533*I	0.11634125579186566-0.000048769589053149174*I	-0.27251729226621896+0.00008635613069320562*I	0.5157410934434905-0.00007656443795797767*I	-0.27470599572069593+0.00009176307383637833*I	0.11953294282549294-0.000056221118598559416*I	-0.08389283837789477+0.00006494698767675063*I	0.0392193532526223-0.000037804065316368165*I	-0.03376522516037866+0.00004454327294709162*I	0.01652978394976479-0.00002513339387222094*I	-0.0158241292022551+0.0000292039302745947*I	0.007736828680092202-0.00001553536331076643*I	-0.00738635839155783+0.000016628476789695355*I	0.0031916870336272953-7.451529545410277*^-6*I	-0.0021887034544770113+5.406943143172742*^-6*I	0.003374423870498052-8.550429538660248*^-6*I	-0.007934569012060097+0.000019906903085758202*I	0.01123056112380167-0.000026159901673753587*I	-0.018370758583777257+0.00004082126903342702*I	0.023205777897301348-0.00004536062072057125*I	-0.03542245044193377+0.00006373608506396188*I	0.04554654273307617-0.00006731583713664791*I	-0.06745195932849983+0.00008911349912558266*I	0.09292622555026789-0.00009242649527753486*I	-0.1274338881870586+0.00011392637647524449*I	0.1888439600694119-0.00011503306538052834*I	-0.16439200780378757+0.00012052534982302095*I	0.18546953619891385-0.00010648263584186813*I	-0.11949931917499858+0.00009401947338948639*I	0.0816956644264663-0.00006626659360378136*I	-0.04908120074472261+0.00004829223009215569*I	0.022340764835774848-0.000021955216416076705*I
0.015917580204578032-0.000018523536810720887*I	-0.025857134080279766+0.000026253294778734253*I	0.06165382466159073-0.00005765063411745389*I	-0.08052494464276459+0.000056117467984892224*I	0.17992101487844983-0.00010264927537294633*I	-0.2747059957206959+0.00009176307383637833*I	0.6441969814599454-0.00014516934656411907*I	-0.27588518600134915+0.000095185650385064*I	0.1834585860626671-0.00011279908599093805*I	-0.08441457106643586+0.00006660848905541266*I	0.06978513379748941-0.00007858492406865638*I	-0.03376522516037864+0.000044543272947091615*I	0.03151054613797382-0.00005166837225658059*I	-0.015302396513714013+0.000027542428895932643*I	0.014396646157411102-0.00002942867477984592*I	-0.0062071681109046135+0.000013205900241009634*I	0.0042248594958927575-9.568309132092517*^-6*I	-0.006467411333604575+0.000015076541205678645*I	0.01517737601257509-0.00003501457335158296*I	-0.021680376790482157+0.00004609803058685438*I	0.03546711281126335-0.000071682805950086*I	-0.045464021906666034+0.0000797683603129202*I	0.06941441474759698-0.00011140750054142733*I	-0.09117561302414615+0.00011762449682371591*I	0.13432730228980175-0.00015376350455864946*I	-0.1900760124001249+0.00015825725992607082*I	0.2524421646736318-0.00018920158798861237*I	-0.38199977717472555+0.00018413961732492037*I	0.2493602038045612-0.00017984793970455708*I	-0.1845321145368166+0.00014207518280972344*I	0.12431513913495694-0.00012527512189798516*I	-0.07857940102679128+0.00008441575712257611*I	0.04976924772540177-0.00006246357524961013*I	-0.021895608385808014+0.000027725557632970608*I
-0.007916038122156195+0.000010913952106237304*I	0.01259721177266646-0.00001540864172002503*I	-0.02987559873670736+0.000034052251876571146*I	0.037529747840987004-0.000033109879262911595*I	-0.08271364809724159+0.00006152441112806494*I	0.11953294282549291-0.00005622111859855941*I	-0.27588518600134915+0.00009518565038506399*I	0.5174306988551255-0.0000812586240114342*I	-0.27640691868989015+0.00009684715176372602*I	0.12027382796896394-0.00005849434120534502*I	-0.08441457106643582+0.00006660848905541265*I	0.03921935325262229-0.00003780406531636814*I	-0.033243492471837555+0.000042881771568429534*I	0.01578889880629374-0.00002286017126543528*I	-0.014123206233060797+0.000024119852347246918*I	0.0060472232684568895-0.000010841177257309832*I	-0.004018464656427602+7.798957097836888*^-6*I	0.006008171480721623-0.000012153847570558077*I	-0.014006051001122023+0.00002806176846576518*I	0.020533499036416995-0.000037245887895689555*I	-0.033471243599656926+0.00005750269297041486*I	0.044722229644773785-0.00006465672887630146*I	-0.06745195932849976+0.00008911349912558258*I	0.09375053863857019-0.00009508560353788117*I	-0.12938509502933543+0.00012015976856879139*I	0.19151623893029612-0.00012314779820540986*I	-0.16875671538644263+0.0001332848503906826*I	0.19069192584199376-0.00012048868994506349*I	-0.1274338881870586+0.00011392637647524451*I	0.09107825977768592-0.00008697087071299966*I	-0.06308725174584463+0.00007635399855792089*I	0.03949984000169381-0.00005065067477310607*I	-0.02553667458759688+0.000037595789884656755*I	0.011150903685197331-0.000016541610786471262*I
0.007830535253285767-0.000013426715695775415*I	-0.0119345027785838+0.000018712909204074204*I	0.027972974953756558-0.000041518561638588824*I	-0.03206430219118436+0.000039459195019743873*I	0.06821993556571604-0.00007365259320152437*I	-0.08389283837789475+0.00006494698767675063*I	0.18345858606266705-0.00011279908599093805*I	-0.2764069186898901+0.00009684715176372602*I	0.6457621796917183-0.000150101677431251*I	-0.27640691868989004+0.00009684715176372599*I	0.18345858606266702-0.00011279908599093796*I	-0.08389283837789474+0.00006494698767675058*I	0.06821993556571598-0.00007365259320152426*I	-0.03206430219118434+0.00003945919501974382*I	0.027972974953756526-0.00004151856163858874*I	-0.011934502778583787+0.000018712909204074174*I	0.007830535253285757-0.000013426715695775391*I	-0.011557104323945053+0.000020784184357923424*I	0.026840779796967845-0.00004777012694560038*I	-0.03992012404335761+0.00006358628319657261*I	0.06494662373797676-0.00009747814860119292*I	-0.08870267349332822+0.00010972960335150681*I	0.13294147214925223-0.00014918780090247044*I	-0.19007601240012478+0.00015825725992607066*I	0.2538279948141811-0.00019377729164479112*I	-0.38447271670554334+0.0001920345107971292*I	0.25382799481418117-0.00019377729164479115*I	-0.1900760124001249+0.0001582572599260708*I	0.13294147214925237-0.00014918780090247065*I	-0.08870267349332833+0.000109729603351507*I	0.06494662373797684-0.0000974781486011931*I	-0.039920124043357666+0.00006358628319657273*I	0.026840779796967876-0.00004777012694560047*I	-0.011557104323945069+0.00002078418435792346*I
-0.004018464656427607+7.798957097836903*^-6*I	0.006047223268456898-0.000010841177257309849*I	-0.014123206233060816+0.000024119852347246955*I	0.01578889880629376-0.00002286017126543531*I	-0.03324349247183759+0.000042881771568429595*I	0.039219353252622303-0.00003780406531636816*I	-0.08441457106643585+0.00006660848905541267*I	0.12027382796896395-0.00005849434120534502*I	-0.2764069186898901+0.00009684715176372599*I	0.5174306988551256-0.00008125862401143417*I	-0.27588518600134904+0.00009518565038506394*I	0.11953294282549291-0.00005622111859855936*I	-0.08271364809724152+0.00006152441112806485*I	0.037529747840986984-0.00003310987926291155*I	-0.02987559873670733+0.00003405225187657108*I	0.012597211772666449-0.000015408641720025004*I	-0.007916038122156186+0.000010913952106237282*I	0.011150903685197321-0.00001654161078647123*I	-0.025536674587596845+0.00003759578988465668*I	0.039499840001693765-0.00005065067477310595*I	-0.06308725174584455+0.00007635399855792072*I	0.09107825977768583-0.0000869708707129995*I	-0.1274338881870585+0.00011392637647524431*I	0.19069192584199363-0.00012048868994506338*I	-0.16875671538644263+0.00013328485039068255*I	0.19151623893029612-0.00012314779820540983*I	-0.12938509502933532+0.00012015976856879136*I	0.09375053863857025-0.00009508560353788127*I	-0.06745195932849984+0.00008911349912558267*I	0.04472222964477384-0.00006465672887630156*I	-0.03347124359965698+0.000057502692970414964*I	0.020533499036417026-0.00003724588789568962*I	-0.014006051001122044+0.000028061768465765225*I	0.006008171480721631-0.000012153847570558096*I
