0.-0.00008232232905612282*I	0.5732232958645288+0.*I	0.+0.000024999999469669945*I	-0.24999999189339883+0.*I	0.-2.8033006010908994*^-13*I	0.0732233008645286+0.*I	0.-7.322329806122801*^-6*I	-0.07322330159676164+0.*I	0.+0.000014644659965798977*I	0.1767766910288701+0.*I	0.-0.00003232232878835593*I	-0.32322330147113004+0.*I	0.+0.00003964465946579897*I	0.4267766959032383+0.*I
0.5732232958645288+0.*I	0.-1035.5340016434125*I	0.32322330397112997+0.*I	0.+1464.466129422598*I	-0.17677669102887017+0.*I	0.-1035.5339016434145*I	0.07322330086452863+0.*I	0.+1035.5338943210845*I	0.030330088567579794+0.*I	0.-428.93221010151456*I	0.1035533814511389+0.*I	0.-428.9321601015162*I	-0.4696699014324205+0.*I	0.+1035.533944321083*I
0.+0.000024999999469670006*I	0.3232233039711299+0.*I	0.-0.000057322329866783*I	0.39644660483565886+0.*I	0.+0.0000176776693832171*I	-0.17677669102887017+0.*I	0.-2.803300766262325*^-13*I	0.17677669102887003+0.*I	0.-0.000017677668822556935*I	-0.21966991203902167+0.*I	0.+0.00002196699064324201*I	0.2803300854609784+0.*I	0.+7.322330677443082*^-6*I	-0.32322330147113+0.*I
-0.24999999189339875+0.*I	0.+1464.466129422599*I	0.39644660483565863+0.*I	0.-2071.067903286827*I	0.3964466048356585+0.*I	0.+1464.4661294225991*I	-0.24999999189339864+0.*I	0.-1464.4661044225995*I	0.1035533814511388+0.*I	0.+606.6017342195678*I	-0.4393398128648407+0.*I	0.+606.601734219568*I	0.10355338145113872+0.*I	0.-1464.4661044225995*I
0.-2.803300804378807*^-13*I	-0.17677669102887011+0.*I	0.+0.000017677669383217093*I	0.39644660483565863+0.*I	0.-0.00005732232986678296*I	0.3232233039711299+0.*I	0.+0.000024999999469669956*I	-0.3232233014711298+0.*I	0.+7.322330677443045*^-6*I	0.28033008546097843+0.*I	0.+0.000021966990643242015*I	-0.21966991203902161+0.*I	0.-0.000017677668822556942*I	0.1767766910288701+0.*I
0.07322330086452872+0.*I	0.-1035.5339016434148*I	-0.1767766910288702+0.*I	0.+1464.4661294225984*I	0.3232233039711301+0.*I	0.-1035.5340016434127*I	0.5732232958645286+0.*I	0.+1035.5339443210828*I	-0.4696699014324205+0.*I	0.-428.93216010151633*I	0.1035533814511388+0.*I	0.-428.9322101015148*I	0.03033008856757985+0.*I	0.+1035.5338943210845*I
0.-7.322329806122801*^-6*I	0.07322330086452858+0.*I	0.-2.8033006497952954*^-13*I	-0.24999999189339878+0.*I	0.+0.000024999999469669942*I	0.5732232958645287+0.*I	0.-0.0000823223290561228*I	0.42677669590323836+0.*I	0.+0.000039644659465798974*I	-0.32322330147113004+0.*I	0.-0.00003232232878835591*I	0.17677669102887011+0.*I	0.+0.000014644659965798954*I	-0.07322330159676158+0.*I
-0.07322330159676158+0.*I	0.+1035.5338943210845*I	0.17677669102887003+0.*I	0.-1464.466104422599*I	-0.3232233014711299+0.*I	0.+1035.533944321083*I	0.4267766959032382+0.*I	0.-1035.5339869987524*I	0.4696699053968864+0.*I	0.+428.9321924238461*I	-0.1035533846833717+0.*I	0.+428.93219242384544*I	-0.030330087103113842+0.*I	0.-1035.5338869987543*I
0.+0.000014644659965798942*I	0.03033008856757985+0.*I	0.-0.00001767766882255692*I	0.10355338145113885+0.*I	0.+7.322330677443043*^-6*I	-0.4696699014324205+0.*I	0.+0.000039644659465799015*I	0.4696699053968864+0.*I	0.-0.00008661165000548765*I	0.36611652071351475+0.*I	0.+0.00004267766725669304*I	-0.13388347178648555+0.*I	0.-0.000011611651255487514*I	-0.030330087103113842+0.*I
0.17677669102887025+0.*I	0.-428.9322101015149*I	-0.2196699120390217+0.*I	0.+606.601734219568*I	0.2803300854609785+0.*I	0.-428.9321601015165*I	-0.3232233014711301+0.*I	0.+428.9321924238465*I	0.36611652071351486+0.*I	0.-177.66960215106016*I	0.335786433610401+0.*I	0.-177.66950215106203*I	-0.13388347178648546+0.*I	0.+428.9321924238458*I
0.-0.00003232232878835593*I	0.1035533814511389+0.*I	0.+0.000021966990643242035*I	-0.4393398128648407+0.*I	0.+0.000021966990643242025*I	0.10355338145113877+0.*I	0.-0.000032322328788355916*I	-0.1035533846833716+0.*I	0.+0.00004267766725669307*I	0.3357864336104009+0.*I	0.-0.00009822330126097523*I	0.33578643361040084+0.*I	0.+0.000042677667256693114*I	-0.10355338468337175+0.*I
-0.3232233014711301+0.*I	0.-428.93216010151633*I	0.28033008546097843+0.*I	0.+606.6017342195681*I	-0.21966991203902161+0.*I	0.-428.9322101015149*I	0.17677669102887011+0.*I	0.+428.9321924238457*I	-0.13388347178648555+0.*I	0.-177.66950215106195*I	0.3357864336104009+0.*I	0.-177.66960215106027*I	0.36611652071351475+0.*I	0.+428.93219242384646*I
0.+0.000039644659465798974*I	-0.4696699014324204+0.*I	0.+7.322330677443066*^-6*I	0.10355338145113874+0.*I	0.-0.000017677668822556945*I	0.030330088567579794+0.*I	0.+0.00001464465996579897*I	-0.0303300871031138+0.*I	0.-0.000011611651255487599*I	-0.1338834717864855+0.*I	0.+0.0000426776672566931*I	0.36611652071351475+0.*I	0.-0.00008661165000548763*I	0.46966990539688647+0.*I
0.42677669590323825+0.*I	0.+1035.533944321083*I	-0.32322330147112993+0.*I	0.-1464.4661044225988*I	0.17677669102887003+0.*I	0.+1035.5338943210845*I	-0.0732233015967616+0.*I	0.-1035.5338869987543*I	-0.03033008710311383+0.*I	0.+428.9321924238454*I	-0.10355338468337166+0.*I	0.+428.93219242384635*I	0.46966990539688624+0.*I	0.-1035.5339869987522*I
