-0.4248654986956094-0.5588133569156291*I	0.10998740416033775-0.6984183935975736*I	0.6007755035127901-0.5586670715809048*I	0.851197534752968-0.19550899848222525*I	0.7611210011921107+0.24576755425586916*I	0.2101719165909957-0.19564049091756314*I
0.10998740416033756-0.6984183935975741*I	-0.487461178958433-0.8730534583206523*I	0.10998740416033753-0.6984183935975738*I	0.6633711837756133-0.24442697017588172*I	0.9513820471836263+0.3072689041977855*I	0.6633711837756134-0.244426970175882*I
0.6007755035127899-0.5586670715809051*I	0.10998740416033756-0.6984183935975738*I	-0.42486549869560963-0.5588133569156291*I	0.21017191659099554-0.19564049091756297*I	0.7611210011921108+0.24576755425586924*I	0.8511975347529682-0.19550899848222553*I
0.851197534752968-0.19550899848222544*I	0.6633711837756131-0.2444269701758818*I	0.2101719165909952-0.19564049091756303*I	-0.32711568127911245-0.06861883248387811*I	0.2664361314791766+0.08588307051148597*I	0.6985253209292874-0.06847254714915413*I
0.7611210011921107+0.24576755425586916*I	0.951382047183626+0.3072689041977854*I	0.7611210011921105+0.24576755425586908*I	0.2664361314791764+0.08588307051148591*I	-0.3348146025183772-0.10838128505063957*I	0.26643613147917666+0.08588307051148601*I
0.2101719165909957-0.19564049091756297*I	0.6633711837756134-0.24442697017588166*I	0.851197534752968-0.19550899848222525*I	0.6985253209292872-0.068472547149154*I	0.2664361314791765+0.08588307051148593*I	-0.32711568127911206-0.06861883248387815*I
