-0.970811532520655-0.12248243069816349*I	0.6203341720692672+0.33923357212625016*I	0.524204851987995-0.12182777464994365*I	-0.9977738482780887-0.2515699948634896*I	0.19416716177274262+0.303057948336484*I	1.0786378831025347-0.25094914087032044*I
0.6203341720692674+0.3392335721262502*I	-0.3343924597805661-0.942269034731281*I	0.620334172069267+0.33923357212625027*I	-0.11221422075209364+0.6979588293831738*I	-0.5394701372448213-0.8417527078600604*I	-0.11221422075209386+0.6979588293831738*I
0.5242048519879952-0.1218277746499437*I	0.620334172069267+0.3392335721262504*I	-0.9708115325206549-0.12248243069816359*I	1.0786378831025347-0.2509491408703206*I	0.1941671617727427+0.30305794833648414*I	-0.9977738482780886-0.25156999486348974*I
-0.9977738482780888-0.2515699948634895*I	-0.11221422075209392+0.6979588293831738*I	1.0786378831025347-0.2509491408703205*I	-0.6644301499958185-0.5173833117448532*I	0.39970008656327993+0.6235315683416145*I	0.8305862345128316-0.5167286556966333*I
0.19416716177274262+0.303057948336484*I	-0.5394701372448212-0.8417527078600604*I	0.19416716177274265+0.3030579483364841*I	0.39970008656328004+0.6235315683416145*I	-0.4818888709414702-0.7520406475511029*I	0.39970008656328004+0.6235315683416145*I
1.0786378831025347-0.2509491408703205*I	-0.11221422075209397+0.697958829383174*I	-0.9977738482780889-0.2515699948634897*I	0.8305862345128316-0.5167286556966335*I	0.3997000865632801+0.6235315683416147*I	-0.6644301499958183-0.5173833117448534*I
