-1.044665722241484-0.13074241951583168*I	0.6130356109403488+0.35225321064660037*I	0.5910545954666901-0.12998625992374674*I	-1.050429010211692-0.2561224837625744*I	0.1862372598415858+0.319621940809073*I	1.1600039492763978-0.25539935363266075*I
0.6130356109403488+0.35225321064660037*I	-0.3056302990824372-0.951994403058503*I	0.613035610940349+0.35225321064660026*I	-0.14798082769235676+0.6912657236189246*I	-0.503460671875643-0.8637750480418356*I	-0.14798082769235643+0.6912657236189246*I
0.5910545954666904-0.12998625992374688*I	0.6130356109403488+0.3522532106466007*I	-1.044665722241484-0.13074241951583176*I	1.160003949276398-0.255399353632661*I	0.186237259841586+0.3196219408090733*I	-1.0504290102116922-0.2561224837625746*I
-1.0504290102116918-0.25612248376257446*I	-0.14798082769235676+0.6912657236189248*I	1.1600039492763978-0.25539935363266075*I	-0.710447634707541-0.5023862023256833*I	0.36567706178695036+0.6272361881171373*I	0.9252726830006328-0.5016300427335985*I
0.1862372598415859+0.3196219408090732*I	-0.503460671875643-0.8637750480418359*I	0.18623725984158584+0.3196219408090731*I	0.3656770617869503+0.6272361881171374*I	-0.4567755619451175-0.7838132877219336*I	0.3656770617869503+0.6272361881171374*I
1.1600039492763978-0.2553993536326608*I	-0.14798082769235654+0.6912657236189248*I	-1.050429010211692-0.2561224837625744*I	0.9252726830006326-0.5016300427335985*I	0.3656770617869505+0.6272361881171373*I	-0.7104476347075414-0.5023862023256833*I
