0.7327512775677624-0.6225216285480398*I	-0.4055497126861083+0.579088821317031*I	0.13923851358950268-0.6224787823123081*I	0.10612466059044645+0.7592266368030726*I	-0.3673306111952823-1.0098690992803572*I	-0.1699277862474356+0.7592594049334984*I
-0.4055497126861085+0.5790888213170309*I	0.842346768710121-0.5387264545632244*I	-0.4055497126861084+0.5790888213170309*I	0.029643022447143896-0.7062739562971235*I	0.3417465870291193+0.9393972204195402*I	0.029643022447143785-0.7062739562971235*I
0.1392385135895027-0.6224787823123081*I	-0.4055497126861084+0.5790888213170311*I	0.7327512775677624-0.6225216285480402*I	-0.16992778624743565+0.7592594049334986*I	-0.36733061119528243-1.0098690992803574*I	0.1061246605904464+0.7592266368030727*I
0.10612466059044645+0.7592266368030728*I	0.029643022447143896-0.7062739562971238*I	-0.16992778624743587+0.7592594049334989*I	0.3357776439253364-0.926116771531274*I	0.4479132401308099+1.231858076094348*I	-0.2577351200529234-0.9260739252955421*I
-0.36733061119528226-1.0098690992803572*I	0.3417465870291193+0.9393972204195401*I	-0.3673306111952823-1.0098690992803572*I	0.4479132401308097+1.2318580760943478*I	-0.5955596692783494-1.638670555646504*I	0.4479132401308097+1.2318580760943478*I
-0.16992778624743576+0.7592594049334985*I	0.029643022447143896-0.7062739562971235*I	0.10612466059044634+0.7592266368030727*I	-0.2577351200529233-0.9260739252955418*I	0.4479132401308097+1.2318580760943476*I	0.3357776439253364-0.9261167715312737*I
