-2.6505721217697964-0.2990023425496808*I	0.4529295356163181-0.5429129482899473*I	3.1442110242967543-0.2928180640399233*I	2.974231199060739+0.22342683738400132*I	0.09772332536318973+0.5360558936685785*I	-2.342083048579651+0.21726545212297224*I
0.45292953561631855-0.5429129482899477*I	-0.08627643203771074-0.9961784625899989*I	0.4529295356163179-0.5429129482899469*I	0.5799153345646673+0.40435805600039515*I	0.1792186148647703+0.9836052377969209*I	0.5799153345646686+0.4043580560003941*I
3.1442110242967547-0.29281806403992383*I	0.4529295356163181-0.5429129482899474*I	-2.650572121769797-0.29900234254968033*I	-2.3420830485796515+0.21726545212297285*I	0.09772332536318973+0.5360558936685786*I	2.97423119906074+0.2234268373840008*I
2.97423119906074+0.2234268373840013*I	0.5799153345646682+0.40435805600039465*I	-2.342083048579652+0.2172654521229724*I	-3.1327641309712755-0.16730450488149687*I	-0.07264658462952656-0.3993140860307067*I	2.662019015095276-0.1611202263717394*I
0.09772332536318931+0.5360558936685792*I	0.17921861486476953+0.983605237796921*I	0.09772332536318915+0.5360558936685782*I	-0.07264658462952653-0.3993140860307072*I	-0.1769480340179761-0.9713009827835859*I	-0.07264658462952635-0.39931408603070623*I
-2.3420830485796507+0.21726545212297285*I	0.5799153345646684+0.40435805600039476*I	2.974231199060739+0.22342683738400096*I	2.662019015095275-0.1611202263717399*I	-0.07264658462952633-0.39931408603070684*I	-3.132764130971275-0.16730450488149648*I
