0.-0.00007499999925000001*I	0.4999999950000001+0.*I	0.+0.000024999999749999992*I	-0.49999999250000016+0.*I	0.+0.00002499999950000002*I	0.49999999749999996+0.*I
0.49999999500000014+0.*I	0.-0.00009999999800000007*I	0.4999999950000001+0.*I	0.+0.00004999999850000004*I	-0.4999999900000002+0.*I	0.+0.00004999999850000004*I
0.+0.00002499999975000001*I	0.49999999500000014+0.*I	0.-0.00007499999925000002*I	0.49999999749999996+0.*I	0.+0.000024999999500000013*I	-0.49999999250000016+0.*I
-0.49999999250000016+0.*I	0.+0.000049999998500000056*I	0.49999999749999996+0.*I	0.-0.00009999999825000005*I	0.49999999250000027+0.*I	0.+7.4999996312183*^-13*I
0.+0.000024999999500000017*I	-0.49999999000000034+0.*I	0.+0.000024999999500000017*I	0.4999999925000003+0.*I	0.-0.00007499999875000004*I	0.4999999925000003+0.*I
0.49999999749999996+0.*I	0.+0.000049999998500000056*I	-0.4999999925000001+0.*I	0.+7.499999698980936*^-13*I	0.49999999250000016+0.*I	0.-0.00009999999825000005*I
