-0.9704757617017536-0.3703712214344909*I	0.3717369899124986-0.601422792901787*I	1.4276521170148366-0.3694159875336983*I	1.3842381724169972+0.1468983630236366*I	0.27497552489437216+0.5499625502355296*I	-0.565459213927799+0.1459632381135333*I
0.3717369899124987-0.601422792901787*I	-0.2084782326471617-0.9779401899405195*I	0.3717369899124985-0.6014227929017872*I	0.6656545879602446+0.23815298097232995*I	0.44704196857669953+0.8942843940389571*I	0.6656545879602449+0.23815298097233023*I
1.4276521170148364-0.36941598753369825*I	0.37173698991249826-0.6014227929017872*I	-0.9704757617017539-0.3703712214344912*I	-0.5654592139277991+0.14596323811353315*I	0.2749755248943724+0.5499625502355299*I	1.3842381724169974+0.14689836302363682*I
1.3842381724169972+0.14689836302363662*I	0.6656545879602445+0.23815298097233*I	-0.5654592139277992+0.14596323811353323*I	-1.3611548247676262-0.058561652171291355*I	-0.10876707670159819-0.21785795480174483*I	1.0369730539489643-0.05760641827049864*I
0.2749755248943721+0.5499625502355294*I	0.44704196857669953+0.8942843940389569*I	0.2749755248943722+0.5499625502355296*I	-0.10876707670159817-0.21785795480174475*I	-0.40878081503281816-0.8179169579340055*I	-0.1087670767015983-0.217857954801745*I
-0.565459213927799+0.1459632381135332*I	0.6656545879602448+0.2381529809723301*I	1.3842381724169974+0.14689836302363676*I	1.0369730539489643-0.05760641827049859*I	-0.10876707670159819-0.2178579548017449*I	-1.3611548247676262-0.058561652171291445*I
