-0.8826618134703214-0.8255449603869532*I	-0.3074116163345417-0.6359816785501055*I	0.3138867250835641-0.3509904037691086*I	0.40365119142402295+0.0667725178791172*I	0.43287465630266597+0.4744791967263331*I	0.39721437065558174+0.8109707085989688*I	0.3020530264810201+1.0257768927446935*I	0.4844157672747357-0.08015447497437095*I	0.28022140244617905-0.8231207092548987*I	-0.3255952930815912-0.8911882319844109*I
-0.30741161633454245-0.6359816785501036*I	-0.654652374192233-0.6514898943018977*I	0.09623957508948124-0.5692091606709883*I	0.2702259047514987-0.2715727676764313*I	0.4036511914240237+0.06677251787911524*I	0.4765354766347331+0.3950615606336521*I	0.47797894650629585+0.6640437157454778*I	0.5624127624402074-0.12998390922050804*I	0.4662320905276849-0.3353610284086735*I	0.08587728580547445-0.5250454698541602*I
0.3138867250835625-0.3509904037691049*I	0.09623957508948018-0.5692091606709861*I	-0.13590043208409125-0.7020561674297283*I	0.0962395750894819-0.56920916067099*I	0.31388672508356574-0.35099040376911217*I	0.4844157672747376-0.08015447497437568*I	0.5822744289272015+0.20265618348978978*I	0.5560348448487262-0.1603719983598129*I	0.5822744289271972+0.2026561834897997*I	0.48441576727473357-0.08015447497436631*I
0.40365119142402095+0.0667725178791213*I	0.27022590475149705-0.2715727676764279*I	0.09623957508948093-0.569209160670988*I	-0.6546523741922321-0.6514898943019009*I	-0.30741161633454034-0.6359816785501095*I	0.08587728580547774-0.5250454698541679*I	0.46623209052768866-0.33536102840868176*I	0.5624127624402075-0.12998390922050798*I	0.4779789465062923+0.6640437157454859*I	0.4765354766347296+0.39506156063365994*I
0.4328746563026642+0.4744791967263368*I	0.4036511914240218+0.06677251787911943*I	0.31388672508356397-0.3509904037691082*I	-0.307411616334541-0.6359816785501073*I	-0.8826618134703198-0.8255449603869567*I	-0.32559529308158913-0.8911882319844154*I	0.28022140244618143-0.8231207092549038*I	0.4844157672747357-0.08015447497437089*I	0.30205302648101795+1.0257768927446982*I	0.39721437065557963+0.8109707085989736*I
0.3972143706555804+0.8109707085989716*I	0.47653547663473106+0.39506156063365633*I	0.4844157672747354-0.08015447497437067*I	0.08587728580547607-0.5250454698541641*I	-0.32559529308159024-0.8911882319844134*I	-0.6883176968296163-1.1236201997876925*I	0.05209519192682141-1.1874403058531349*I	0.333748391570556-0.018350311058805583*I	0.08092173017286569+1.233613330529558*I	0.25839220614895264+1.1051945288373757*I
0.30205302648101956+1.0257768927446949*I	0.4779789465062942+0.6640437157454814*I	0.582274428927199+0.20265618348979514*I	0.4662320905276864-0.3353610284086767*I	0.28022140244617977-0.8231207092548998*I	0.05209519192682055-1.1874403058531322*I	-0.18396404141214706-1.373649066092588*I	0.1330169220996869+0.04617302467642347*I	-0.15222446432816353+1.2563996765619663*I	0.08092173017286647+1.2336133305295558*I
0.48441576727473523-0.08015447497437013*I	0.5624127624402073-0.1299839092205076*I	0.5560348448487263-0.16037199835981297*I	0.5624127624402078-0.12998390922050845*I	0.4844157672747361-0.08015447497437173*I	0.33374839157055647-0.01835031105880668*I	0.13301692209968752+0.04617302467642233*I	-0.09617709911010756-0.03677598200912276*I	0.13301692209968646+0.0461730246764245*I	0.3337483915705554-0.018350311058804625*I
0.2802214024461807-0.8231207092549024*I	0.466232090527687-0.33536102840867854*I	0.5822744289271995+0.2026561834897943*I	0.4779789465062941+0.6640437157454822*I	0.30205302648101895+1.0257768927446969*I	0.08092173017286539+1.2336133305295587*I	-0.15222446432816503+1.2563996765619696*I	0.133016922099687+0.04617302467642331*I	-0.18396404141214584-1.3736490660925909*I	0.052095191926821785-1.1874403058531353*I
-0.32559529308159013-0.8911882319844128*I	0.08587728580547627-0.525045469854164*I	0.4844157672747359-0.0801544749743713*I	0.47653547663473167+0.39506156063365544*I	0.3972143706555811+0.8109707085989705*I	0.2583922061489531+1.1051945288373743*I	0.08092173017286602+1.2336133305295571*I	0.3337483915705559-0.018350311058805687*I	0.05209519192682066-1.1874403058531333*I	-0.6883176968296165-1.1236201997876916*I
