-0.030048101822819258-0.00007536128500387563*I	0.5008025672634001+4.025785609784526*^-6*I	0.010015999534861798+0.00002511999685314423*I	-0.5012032047327949-6.0321854373964775*^-6*I	0.010032128051231475+0.000025241611037631125*I	0.5003993492733841+1.9934759726524273*^-6*I
0.5008025672634001+4.025785609784525*^-6*I	-0.04012861558936115-0.00010096774151582334*I	0.5008025672634001+4.025785609784528*^-6*I	0.02009651330140369+0.000050726453365091943*I	-0.501606422722811-8.064495074528574*^-6*I	0.02009651330140369+0.00005072645336509196*I
0.010015999534861793+0.00002511999685314423*I	0.5008025672634001+4.025785609784524*^-6*I	-0.030048101822819254-0.00007536128500387563*I	0.5003993492733841+1.99347597265243*^-6*I	0.01003212805123147+0.000025241611037631098*I	-0.5012032047327949-6.032185437396473*^-6*I
-0.5012032047327949-6.032185437396475*^-6*I	0.02009651330140368+0.00005072645336509196*I	0.500399349273384+1.993475972652427*^-6*I	-0.04011248707299147-0.00010084612733133645*I	0.5012051401249229+6.051617827900182*^-6*I	-0.000048385715310411345-3.6484547431660046*^-7*I
0.010032128051231475+0.00002524161103763112*I	-0.5016064227228111-8.064495074528574*^-6*I	0.010032128051231479+0.000025241611037631142*I	0.5012051401249229+6.0516178279001785*^-6*I	-0.03008033305106663-0.00007560418976323943*I	0.5012051401249229+6.05161782790018*^-6*I
0.500399349273384+1.9934759726524277*^-6*I	0.02009651330140369+0.000050726453365091943*I	-0.5012032047327949-6.032185437396474*^-6*I	-0.00004838571531041308-3.6484547431658013*^-7*I	0.5012051401249228+6.051617827900183*^-6*I	-0.04011248707299147-0.00010084612733133645*I
