0.-0.0000844740070226446*I	0.6056374306492477+0.*I	0.+0.00002391026395771982*I	-0.27230409920587206+0.*I	0.+3.320145962867387*^-6*I	0.044658197965017785+0.*I	0.-7.78596575936917*^-6*I	0.0609792374609388+0.*I	0.+1.688042013275315*^-6*I	-0.06097923768423001+0.*I	0.+4.40988175514767*^-6*I	0.060979238125217945+0.*I	0.-0.00001050780556766945*I	3.920952764022526*^-10+0.*I	0.+8.819763515184604*^-6*I	-0.10563743620455306+0.*I	0.+9.529945864639928*^-6*I	0.22764590157286874+0.*I	0.-0.00003561468198479418*I	-0.3333333290523493+0.*I	0.+0.000045037750932309386*I	0.39436256090335164+0.*I
0.6056374306492476+0.*I	0.-610.2923790737666*I	0.33333333144337585+0.*I	0.+1056.8743020252157*I	-0.2276459012408543+0.*I	0.-1220.0846581489768*I	0.10563743542595658+0.*I	0.+1056.3743520266567*I	-2.2329096904805112*^-10+0.*I	0.-609.7923790752081*I	-0.0609792376842298+0.*I	0.+609.7923851731317*I	0.12195847620154293+0.*I	0.-446.5819729514485*I	-0.16661667327339685+0.*I	0.+163.71029555857666*I	0.07735026740329792+0.*I	0.+163.21037888835133*I	0.1666166717263916+0.*I	0.-446.5819562847822*I	-0.5446081987982455+0.*I	0.+610.2923185100234*I
0.+0.00002391026395771975*I	0.33333333144337557+0.*I	0.-0.00005724359710205732*I	0.37799152940839365+0.*I	0.+0.000019444444161217973*I	-0.16666666377991543+0.*I	0.-2.777777783226428*^-6*I	0.04465819774172681+0.*I	0.-1.688041990946246*^-6*I	-2.2329101752306957*^-10+0.*I	0.+1.688042013275336*^-6*I	3.9209504620976434*^-10+0.*I	0.-1.688042052484846*^-6*I	-0.04465819768724003+0.*I	0.+7.841903812155065*^-6*I	0.12200846576041081+0.*I	0.-0.000017264972604969655*I	-0.2113248636840337+0.*I	0.+0.000018953014812155073*I	0.2886751334238712+0.*I	0.+9.423068947515114*^-6*I	-0.3333333290523492+0.*I
-0.27230409920587195+0.*I	0.+1056.8743020252152*I	0.37799152940839353+0.*I	0.-1830.3770372227427*I	0.43897076686933223+0.*I	0.+2113.2486540518717*I	-0.22764590146414515+0.*I	0.-1829.877037224185*I	0.044658197741726746+0.*I	0.+1056.3743520266567*I	0.06097923746093886+0.*I	0.-1056.37435812458*I	-0.16661667327339696+0.*I	0.+773.5026807317083*I	0.19930874360484108+0.*I	0.-283.37159406309684*I	-1.5470054126609512*^-9+0.*I	0.-282.87166072620585*I	-0.46725793139494753+0.*I	0.+773.5026973983745*I	0.1666166717263916+0.*I	0.-1056.8742747948052*I
0.+3.3201459628674205*^-6*I	-0.22764590124085426+0.*I	0.+0.000019444444161217997*I	0.43897076686933234+0.*I	0.-0.00006334152084815123*I	0.3779915291851025+0.*I	0.+0.000025542367929640978*I	-0.22764590146414515+0.*I	0.-2.7777777832264702*^-6*I	0.10563743542595651+0.*I	0.-7.785965759369193*^-6*I	-0.10563743620455325+0.*I	0.+0.000018349709379824508*I	0.12200846576041083+0.*I	0.-0.000027772778172639117*I	-0.15034562516672062+0.*I	0.+0.000017264972759670225*I	0.18303769761141314+0.*I	0.+0.000027772778327339636*I	-0.21132486368403364+0.*I	0.-0.000026084736120154283*I	0.2276459015728688+0.*I
0.044658197965017965+0.*I	0.-1220.084658148976*I	-0.1666666637799155+0.*I	0.+2113.2486540518707*I	0.3779915291851026+0.*I	0.-2440.1694162979497*I	0.37799152918510237+0.*I	0.+2113.248654051871*I	-0.1666666637799153+0.*I	0.-1220.0846581489764*I	0.0446581979650178+0.*I	0.+1220.0846536831564*I	0.07735026740329787+0.*I	0.-893.1639792362286*I	-1.5470053016386487*^-9+0.*I	0.+326.9207244469259*I	-0.34529945519340455+0.*I	0.+326.92072444692656*I	-1.5470053016386487*^-9+0.*I	0.-893.1639792362284*I	0.07735026740329803+0.*I	0.+1220.084653683156*I
0.-7.785965759369229*^-6*I	0.10563743542595658+0.*I	0.-2.7777777832264334*^-6*I	-0.22764590146414515+0.*I	0.+0.000025542367929640948*I	0.37799152918510237+0.*I	0.-0.00006334152084815119*I	0.4389707668693325+0.*I	0.+0.000019444444161217966*I	-0.22764590124085424+0.*I	0.+3.320145962867447*^-6*I	0.2276459015728687+0.*I	0.-0.00002608473612015433*I	-0.21132486368403383+0.*I	0.+0.000027772778327339714*I	0.1830376976114131+0.*I	0.+0.000017264972759670228*I	-0.15034562516672045+0.*I	0.-0.000027772778172639168*I	0.12200846576041077+0.*I	0.+0.000018349709379824545*I	-0.10563743620455318+0.*I
0.06097923746093886+0.*I	0.+1056.3743520266555*I	0.044658197741726746+0.*I	0.-1829.8770372241834*I	-0.2276459014641451+0.*I	0.+2113.2486540518703*I	0.4389707668693322+0.*I	0.-1830.377037222742*I	0.37799152940839365+0.*I	0.+1056.8743020252148*I	-0.27230409920587206+0.*I	0.-1056.874274794805*I	0.1666166717263916+0.*I	0.+773.5026973983743*I	-0.4672579313949474+0.*I	0.-282.8716607262049*I	-1.5470053016386487*^-9+0.*I	0.-283.37159406309684*I	0.19930874360484085+0.*I	0.+773.5026807317081*I	-0.16661667327339674+0.*I	0.-1056.3743581245792*I
0.+1.6880420132753715*^-6*I	-2.2329105265740388*^-10+0.*I	0.-1.6880419909462652*^-6*I	0.04465819774172687+0.*I	0.-2.7777777832264186*^-6*I	-0.16666666377991535+0.*I	0.+0.000019444444161217953*I	0.3779915294083933+0.*I	0.-0.00005724359710205728*I	0.33333333144337557+0.*I	0.+0.00002391026395771974*I	-0.3333333290523494+0.*I	0.+9.423068947515177*^-6*I	0.28867513342387124+0.*I	0.+0.000018953014812155046*I	-0.21132486368403355+0.*I	0.-0.00001726497260496965*I	0.12200846576041073+0.*I	0.+7.841903812155063*^-6*I	-0.04465819768724001+0.*I	0.-1.6880420524848527*^-6*I	3.920952587130075*^-10+0.*I
-0.06097923768422983+0.*I	0.-609.7923790752079*I	-2.232909412924755*^-10+0.*I	0.+1056.3743520266564*I	0.10563743542595658+0.*I	0.-1220.0846581489768*I	-0.22764590124085426+0.*I	0.+1056.8743020252155*I	0.33333333144337585+0.*I	0.-610.2923790737665*I	0.6056374306492476+0.*I	0.+610.2923185100232*I	-0.5446081987982454+0.*I	0.-446.58195628478205*I	0.1666166717263915+0.*I	0.+163.21037888835153*I	0.07735026740329809+0.*I	0.+163.71029555857677*I	-0.1666166732733968+0.*I	0.-446.58197295144856*I	0.1219584762015429+0.*I	0.+609.7923851731316*I
0.+4.409881755147682*^-6*I	-0.060979237684229685+0.*I	0.+1.6880420132752982*^-6*I	0.06097923746093877+0.*I	0.-7.78596575936917*^-6*I	0.04465819796501779+0.*I	0.+3.3201459628673925*^-6*I	-0.27230409920587173+0.*I	0.+0.000023910263957719804*I	0.6056374306492477+0.*I	0.-0.00008447400702264456*I	0.3943625609033518+0.*I	0.+0.00004503775093230934*I	-0.3333333290523494+0.*I	0.-0.000035614681984794173*I	0.22764590157286868+0.*I	0.+9.529945864639889*^-6*I	-0.10563743620455301+0.*I	0.+8.819763515184548*^-6*I	3.920951486073454*^-10+0.*I	0.-0.000010507805567669392*I	0.060979238125217876+0.*I
