0.9120105385996138-0.49267526816569873*I	-0.5608757498734755+0.4302934315779971*I	0.3724379579538032-0.49264060257292713*I	-0.2920564379009911+0.6978163045182106*I	0.2964410664699184-1.1053295291299852*I	-0.5276776510464564+0.697841731467593*I
-0.5608757498734755+0.43029343157799704*I	0.9265126268509518-0.37584258271558046*I	-0.5608757498734755+0.4302934315779971*I	0.35793586970246516-0.6094732880230456*I	-0.258858339073972+0.965364604407807*I	0.35793586970246516-0.6094732880230455*I
0.37243795795380336-0.49264060257292724*I	-0.5608757498734757+0.43029343157799727*I	0.9120105385996138-0.492675268165699*I	-0.5276776510464565+0.6978417314675934*I	0.2964410664699185-1.1053295291299856*I	-0.29205643790099123+0.6978163045182108*I
-0.2920564379009914+0.6978163045182108*I	0.3579358697024653-0.6094732880230457*I	-0.5276776510464566+0.6978417314675934*I	0.850515735367067-0.9885315092726388*I	-0.4201022360950542+1.5658103731932127*I	0.31094315472125666-0.9884968436798669*I
0.2964410664699187-1.1053295291299856*I	-0.2588583390739723+0.9653646044078075*I	0.29644106646991875-1.1053295291299856*I	-0.4201022360950544+1.565810373193213*I	0.6657496352250752-2.4803342152588628*I	-0.4201022360950544+1.5658103731932127*I
-0.5276776510464565+0.6978417314675931*I	0.35793586970246516-0.6094732880230456*I	-0.2920564379009912+0.6978163045182106*I	0.3109431547212564-0.9884968436798668*I	-0.42010223609505404+1.5658103731932123*I	0.8505157353670668-0.9885315092726383*I
