-0.4653991923527438-0.5064348803895175*I	0.19495363127410995-0.6796201036742308*I	0.7558121409408002-0.5062185694482138*I	0.9311558368707373-0.07472114601770187*I	0.6316025838819967+0.39479094629815104*I	0.1115509286322629-0.07492132818691502*I
0.1949536312741099-0.6796201036742309*I	-0.40939698693232185-0.9122692262061445*I	0.19495363127411-0.6796201036742309*I	0.6998099355203782-0.10038422363158711*I	0.8477531342288906+0.5299776294696141*I	0.6998099355203782-0.10038422363158721*I
0.7558121409408001-0.5062185694482139*I	0.19495363127410986-0.6796201036742309*I	-0.4653991923527438-0.5064348803895176*I	0.111550928632263-0.07492132818691496*I	0.631602583881997+0.39479094629815115*I	0.9311558368707374-0.07472114601770195*I
0.9311558368707374-0.0747211460177019*I	0.6998099355203782-0.10038422363158714*I	0.11155092863226297-0.07492132818691498*I	-0.5336065439911252-0.011259710459779405*I	0.0933741948499147+0.058197720256242785*I	0.6876047893024189-0.011043399518475763*I
0.6316025838819967+0.394790946298151*I	0.8477531342288903+0.5299776294696139*I	0.6316025838819967+0.394790946298151*I	0.09337419484991466+0.05819772025624275*I	-0.49246921378359837-0.3080856805358343*I	0.09337419484991474+0.058197720256242806*I
0.11155092863226296-0.07492132818691484*I	0.6998099355203782-0.10038422363158696*I	0.9311558368707374-0.07472114601770176*I	0.6876047893024185-0.011043399518475733*I	0.09337419484991455+0.05819772025624268*I	-0.5336065439911251-0.011259710459779396*I
