0.5194681935577261-0.6955299600218363*I	0.31246536082182724+0.6929255633921707*I	-0.9099806020286704-0.17065824075445968*I	0.09374337823490927-0.28273038114844007*I	0.7927731061969193+0.5240618428521862*I	-1.084657354796773-0.3724261997274124*I	0.5630113446790741-0.05842062745744103*I	0.7312499476550268-0.1967813832404539*I	-0.5671128553575108+0.4749824722677025*I	0.03812984423501328+0.17643493981576852*I
0.312465360821825+0.6929255633921638*I	0.22499011892949683-0.8825145957182303*I	0.40620873905673227+0.4101951822437313*I	-0.39996984902077437-0.1019398432883174*I	0.09374337823490686-0.28273038114843224*I	0.282762353189026+0.4553434453860346*I	-0.44715078537665054-0.2864772018194297*I	-0.33274017421141355+0.47166984032797843*I	0.4569144310682176-0.7132720068168532*I	-0.6155025274004388+0.016326394941943656*I
-0.9099806020286685-0.17065824075445016*I	0.40620873905672994+0.41019518224372387*I	0.40226069772597994-0.34212635792411034*I	0.4062087390567297+0.41019518224373963*I	-0.9099806020286676-0.17065824075446984*I	0.7312499476550294-0.19678138324044947*I	-0.004101510678443221+0.4165618448102662*I	-0.3152775629067266-0.39277264315209814*I	-0.004101510678442777+0.4165618448102575*I	0.7312499476550299-0.1967813832404583*I
0.0937433782349062-0.2827303811484555*I	-0.3999698490207706-0.10193984328829941*I	0.40620873905672794+0.4101951822437315*I	0.22499011892950227-0.8825145957182492*I	0.31246536082182264+0.6929255633921868*I	-0.6155025274004406+0.01632639494193322*I	0.45691443106822316-0.7132720068168636*I	-0.3327401742114173+0.4716698403279782*I	-0.44715078537664676-0.2864772018194197*I	0.2827623531890229+0.455343445386045*I
0.7927731061969219+0.5240618428521961*I	0.09374337823490297-0.2827303811484474*I	-0.9099806020286655-0.17065824075446012*I	0.3124653608218204+0.6929255633921798*I	0.5194681935577288-0.6955299600218465*I	0.038129844235016086+0.17643493981577285*I	-0.5671128553575177+0.4749824722677072*I	0.7312499476550327-0.1967813832404539*I	0.5630113446790681-0.05842062745744503*I	-1.08465735479677-0.3724261997274171*I
-1.0846573547967724-0.37242619972740965*I	0.28276235318902604+0.45534344538603533*I	0.7312499476550283-0.1967813832404538*I	-0.6155025274004385+0.016326394941942768*I	0.038129844235014254+0.17643493981576527*I	0.5678578656006524-0.23687388269607307*I	0.2520241363759004+0.11960062776776592*I	-0.5813419384956968-0.22576623627217662*I	-0.25661923753493504+0.35944668500675814*I	1.0730220976869664+0.01029777000870602*I
0.5630113446790712-0.05842062745745419*I	-0.447150785376647-0.28647720181941605*I	-0.004101510678444331+0.41656184481026187*I	0.45691443106822205-0.7132720068168679*I	-0.567112855357515+0.47498247226771595*I	0.2520241363758986+0.11960062776775848*I	0.25209464495041867-0.6245084593910519*I	-0.004595101159038384+0.47904731277452406*I	-0.2422013530918985-0.39086206687724956*I	-0.2566192375349373+0.35944668500676585*I
0.7312499476550292-0.1967813832404428*I	-0.33274017421141444+0.47166984032796966*I	-0.3152775629067277-0.39277264315209814*I	-0.33274017421141533+0.47166984032798753*I	0.73124994765503-0.19678138324046507*I	-0.581341938495696-0.2257662362721717*I	-0.004595101159037496+0.47904731277452933*I	1.0595380247919246-0.45234234895954384*I	-0.004595101159037052+0.4790473127745195*I	-0.5813419384956956-0.22576623627218173*I
-0.5671128553575133+0.4749824722676932*I	0.4569144310682185-0.713272006816849*I	-0.004101510678441667+0.41656184481026176*I	-0.44715078537664965-0.28647720181943437*I	0.5630113446790714-0.058420627457431096*I	-0.25661923753493565+0.35944668500675553*I	-0.24220135309190116-0.3908620668772598*I	-0.004595101159035941+0.4790473127745244*I	0.25209464495041534-0.6245084593910418*I	0.2520241363758997+0.11960062776776886*I
0.03812984423501503+0.17643493981577618*I	-0.6155025274004412+0.016326394941934448*I	0.7312499476550307-0.1967813832404541*I	0.2827623531890233+0.4553434453860445*I	-1.084657354796771-0.3724261997274206*I	1.0730220976869678+0.010297770008710811*I	-0.2566192375349381+0.3594466850067634*I	-0.5813419384956944-0.2257662362721767*I	0.25202413637589793+0.11960062776776134*I	0.5678578656006541-0.23687388269607812*I
