0.-0.8487765437153361*I	0.4999575668420209+0.*I	0.+0.1697647865438186*I	-0.00001708447961062136+0.*I	0.+0.02425202804797202*I	-9.277648876203839*^-6+0.*I	0.+0.008079965710694895*I	-0.000013069758205574666+0.*I	0.+0.0036810939164342565*I	4.966520851490945*^-6+0.*I	0.+0.0019623571885360783*I	-0.00002245780485773003+0.*I	0.+0.0012043730902072233*I	0.00001573189855027794+0.*I	0.+0.0007463668606506295*I	-0.000021030470517072197+0.*I	0.+0.0005372176334832174*I	8.012859612037304*^-6+0.*I	0.+0.00036418760884469257*I	-7.927489083404778*^-6+0.*I	0.+0.00027676709524769734*I	-9.470391416099188*^-7+0.*I	0.+0.0002060232649804605*I	-2.261456330362614*^-6+0.*I	0.+0.00015938801652190442*I	-1.8654338829778147*^-6+0.*I	0.+0.00012488541598114952*I	-1.2799871245224481*^-6+0.*I	0.+0.0000998131040617719*I	-1.6068091997046234*^-6+0.*I	0.+0.00008101029364555617*I	-4.069172393235962*^-6+0.*I	0.+0.00006472897038153879*I	-0.000012813171707007283+0.*I	0.+0.00002929676346375045*I	3.0683783330820582*^-6+0.*I	0.-0.00005556615626949159*I	0.0003485253403905393+0.*I	0.+0.000839472846682274*I	-0.0014700286210658441+0.*I	0.-0.0022348492453557155*I	0.0030297410532384183+0.*I	0.+0.0036147503425073228*I	-0.0038018148519939803+0.*I	0.-0.003577849710397418*I	0.0030328009802891315+0.*I	0.+0.002270717103317101*I	-0.001457454511045622+0.*I	0.-0.0008237313871158788*I	0.00034528322866885235+0.*I
-0.00002245780480638658+0.*I	0.+0.0031667302787473897*I	-1.7593854775688862*^-6+0.*I	0.+0.007594191055847355*I	-0.00003585961419179463+0.*I	0.+0.016211374399970592*I	-0.00003712440349022762+0.*I	0.+0.040827590056816694*I	-0.00006213637213071226+0.*I	0.+0.2108691436959178*I	0.4998944834307156+0.*I	0.-0.637701376754441*I	0.4998922219744305+0.*I	0.+0.21123455497738572*I	-0.00006721030152731435+0.*I	0.+0.041594653849566635*I	-0.00005140580902242644+0.*I	0.+0.01744243890560671*I	-0.0000437349693386998+0.*I	0.+0.009443483488638792*I	-0.00003473438350045122+0.*I	0.+0.005827118542502065*I	-0.00005251407606020304+0.*I	0.+0.003894058117498244*I	-0.00002698789287387149+0.*I	0.+0.0026341188709366613*I	0.0003058055489460031+0.*I	0.+0.002727224857039318*I	-0.0011431926015626048+0.*I	0.-0.00004484202184496745*I	0.0018785355920721918+0.*I	0.+0.003205720711852999*I	-0.001915351770867152+0.*I	0.-0.0006488960938433566*I	0.0011183962485949613+0.*I	0.+0.0014157977445546912*I	-0.0003367968061537941+0.*I	0.+0.0004326783408566625*I	0.000010351856422879913+0.*I	0.+0.00030779292493766946*I	-0.00033365138510914224+0.*I	0.+0.0010317112079712173*I	0.001125409935093201+0.*I	0.-0.0013200161889640478*I	-0.001903321872771023+0.*I	0.+0.002193104550995482*I	0.0019113061508836693+0.*I	0.-0.0014509425549223457*I	-0.0011215032806689265+0.*I	0.+0.0008394728466658225*I
0.+0.0012043730902527488*I	-6.7259063174885315*^-6+0.*I	0.+0.003913097139342513*I	-0.000022789855983481804+0.*I	0.+0.008131408689388449*I	-0.000027846754615058656+0.*I	0.+0.01657556200879802*I	-0.00004505189254186416+0.*I	0.+0.04110435715208885*I	-0.00006308341129884744+0.*I	0.+0.21107516696084033*I	0.4998922219743977+0.*I	0.-0.6375419887378758*I	0.49989035654051567+0.*I	0.+0.21135944039337196*I	-0.00006849028866266437+0.*I	0.+0.041694466953580686*I	-0.000053012618199407484+0.*I	0.+0.01752344919923461*I	-0.0000478041417358372+0.*I	0.+0.009508212458983454*I	-0.00004754755521130401+0.*I	0.+0.005856415305990999*I	-0.00004944569771695986+0.*I	0.+0.0038384919611944637*I	0.0003215374475434336+0.*I	0.+0.0034735917176552103*I	-0.0011642230721118892+0.*I	0.+0.0004923756116665113*I	0.0018865484516650119+0.*I	0.+0.003569908320683424*I	-0.0019232792598896913+0.*I	0.-0.0003721289985450101*I	0.00111744920943883+0.*I	0.+0.0016218210094691642*I	-0.00033905826247533307+0.*I	0.+0.000592066357432205*I	8.48642252097204*^-6+0.*I	0.+0.00043267834087816666*I	-0.00033493137225480696+0.*I	0.+0.0011315243120354874*I	0.0011238031259343632+0.*I	0.-0.0012390058953542875*I	-0.0019073910451913468+0.*I	0.+0.0022578335214202333*I	0.0018984929792227167+0.*I	0.-0.0014216457914753412*I	-0.0011184349023309532+0.*I	0.+0.0007839066903897859*I	0.000348525340387197+0.*I
0.00001573189855849019+0.*I	0.+0.0019507399508568186*I	-0.000027756376779864737+0.*I	0.+0.004450314772919171*I	-0.000014776996432307537+0.*I	0.+0.008495596298148774*I	-0.000035774243625670487+0.*I	0.+0.01685232910407467*I	-0.00004599893167430296+0.*I	0.+0.041310380417052574*I	-0.00006534486760903482+0.*I	0.+0.21123455497738297*I	0.49989035654051+0.*I	0.-0.6374171033219294*I	0.49988907655341824+0.*I	0.+0.2114592534974277*I	-0.00007009709786618804+0.*I	0.+0.04177547724726851*I	-0.00005708179060305754+0.*I	0.+0.01758817816962851*I	-0.00006061731341606738+0.*I	0.+0.009537509222459734*I	-0.0000444791768859402+0.*I	0.+0.005800849149705037*I	0.0002990796426736951+0.*I	0.+0.0046779648078609385*I	-0.00114849117353277+0.*I	0.+0.0012387424723152374*I	0.0018655179811332791+0.*I	0.+0.0041071259541807245*I	-0.0019152664003164114+0.*I	0.-7.941389713795334*^-6*I	0.001109521720391956+0.*I	0.+0.001898588104741376*I	-0.0003400053016181552+0.*I	0.+0.0007980896224050999*I	6.2249661745576425*^-6+0.*I	0.+0.0005920663574108958*I	-0.0003367968061320215+0.*I	0.+0.0012564097279850151*I	0.0011225231387770058+0.*I	0.-0.0011391927912619512*I	-0.0019089978543468096+0.*I	0.+0.002338843815054253*I	0.0018944238067804113+0.*I	0.-0.0013569168210986263*I	-0.0011312480740256134+0.*I	0.+0.0008132034538827747*I	0.00035159371871664764+0.*I	0.-0.000055566156283887486*I
0.+0.0007463668606584819*I	-5.298571976173821*^-6+0.*I	0.+0.0024879575843047477*I	-0.000019743517242805618+0.*I	0.+0.004814502381733322*I	-0.000022704485449148217+0.*I	0.+0.008772363393448689*I	-0.00003672128276358485+0.*I	0.+0.01705835236907144*I	-0.00004826038802654259+0.*I	0.+0.04146976843356705*I	-0.00006721030151376406+0.*I	0.+0.21135944039340088*I	0.49988907655339493+0.*I	0.-0.6373172902179025*I	0.4998874697441797+0.*I	0.+0.21154026379107158*I	-0.00007416627024261116+0.*I	0.+0.041840206217579536*I	-0.00006989496227657673+0.*I	0.+0.017617474933099314*I	-0.00005754893509502252+0.*I	0.+0.00948194306617643*I	0.00030404616348955434+0.*I	0.+0.00664032199641428*I	-0.0011709489783672574+0.*I	0.+0.0024431155625253345*I	0.0018812498796675799+0.*I	0.+0.004853492814833879*I	-0.0019362968708188971+0.*I	0.+0.0005292762437763357*I	0.0011175345799670892+0.*I	0.+0.002262775713604634*I	-0.0003479327906670907+0.*I	0.+0.0010748567176205568*I	5.277927026089705*^-6+0.*I	0.+0.0007980896223818018*I	-0.0003390582624565373+0.*I	0.+0.0014157977445270595*I	0.0011206577048801726+0.*I	0.-0.0010143073753140124*I	-0.001910277841478743+0.*I	0.+0.002438656919099504*I	0.001892816997612784+0.*I	0.-0.001275906527452394*I	-0.0011353172464217993+0.*I	0.+0.0008779324242581701*I	0.0003387805470265119+0.*I	0.-0.000026269392798669264*I	3.0683783599371497*^-6+0.*I
-0.000021030470530780036+0.*I	0.+0.001283584494126278*I	2.714287623212507*^-6+0.*I	0.+0.0028521451932140706*I	-0.000027671006242697426+0.*I	0.+0.005091269476985943*I	-0.000023651524613951802+0.*I	0.+0.008978386658384274*I	-0.000038982739111603274+0.*I	0.+0.017217740385606677*I	-0.00005012582188120072+0.*I	0.+0.04159465384951349*I	-0.00006849028864864064+0.*I	0.+0.21145925349742364*I	0.49988746974418313+0.*I	0.-0.6372362799242445*I	0.4998834005718121+0.*I	0.+0.21160499276143105*I	-0.00008697944191545384+0.*I	0.+0.041869502981105235*I	-0.00006682658396325587+0.*I	0.+0.01756190877684907*I	0.00029097640529468234+0.*I	0.+0.010321415912842769*I	-0.0011659824575418394+0.*I	0.+0.004405472751062352*I	0.0018587920748560525+0.*I	0.+0.006057865905018818*I	-0.0019205649723000636+0.*I	0.+0.0012756431044487402*I	0.0010965041094507908+0.*I	0.+0.00279999334706787*I	-0.00033991993107954023+0.*I	0.+0.001439044326472407*I	-2.6495620308241763*^-6+0.*I	0.+0.001074856717622446*I	-0.0003400053015967933+0.*I	0.+0.001621821009479477*I	0.001118396248560182+0.*I	0.-0.0008549193587443845*I	-0.0019121432753762449+0.*I	0.+0.0025635423350585333*I	0.0018915370104942721+0.*I	0.-0.0011760934233852926*I	-0.001136924055621283+0.*I	0.+0.0009589427178941745*I	0.00033471137463121154+0.*I	0.+0.00003845957757488195*I	-9.744793354329944*^-6+0.*I	0.+0.000029296763462746746*I
0.+0.0005372176334974726*I	-0.000013017610904328485+0.*I	0.+0.0016477721029732556*I	-5.213201453153937*^-6+0.*I	0.+0.0031289122884314564*I	-0.000028618045429551318+0.*I	0.+0.00529729274196136*I	-0.000025912980885272517+0.*I	0.+0.009137774674957851*I	-0.00004084817302280025+0.*I	0.+0.017342625801530013*I	-0.0000514058090132581+0.*I	0.+0.04169446695361588*I	-0.00007009709785910528+0.*I	0.+0.211540263791062*I	0.4998834005717828+0.*I	0.-0.6371715509538681*I	0.4998705874001231+0.*I	0.+0.21163428952493152*I	-0.00008391106361009177+0.*I	0.+0.041813936824791*I	0.0002816987564515979+0.*I	0.+0.018401381623524046*I	-0.00117905221577916+0.*I	0.+0.008086566667500886*I	0.001863758595668265+0.*I	0.+0.008020223093536621*I	-0.0019430227771463368+0.*I	0.+0.002480016194644428*I	0.001112236008015148+0.*I	0.+0.003546360207724645*I	-0.00036095040162544614+0.*I	0.+0.0019762619599581824*I	5.363297610125111*^-6+0.*I	0.+0.0014390443264948234*I	-0.00034793279068715785+0.*I	0.+0.0018985881047507425*I	0.001117449209437906+0.*I	0.-0.0006488960938100111*I	-0.0019144047317194747+0.*I	0.+0.0027229303516019317*I	0.0018896715766070426+0.*I	0.-0.0010512080074312358*I	-0.0011382040427428274+0.*I	0.+0.0010587558219625056*I	0.00033310456545046615+0.*I	0.+0.00011946987122674445*I	-0.000013813965771487669+0.*I	0.+0.00009402573385999119*I	-0.000012813171661790211+0.*I
8.012859555632878*^-6+0.*I	0.+0.0009014052423073042*I	-0.000020945099961133524+0.*I	0.+0.0019245391982346948*I	-6.1602405763028114*^-6+0.*I	0.+0.00333493555342652*I	-0.000030879501729474224+0.*I	0.+0.0054566807584984015*I	-0.00002777841485785795+0.*I	0.+0.009262660090890502*I	-0.00004212816012847389+0.*I	0.+0.01744243890559334*I	-0.000053012618237718195+0.*I	0.+0.041775477247220215*I	-0.00007416627024014337+0.*I	0.+0.2116049927614306*I	0.4998705874001294+0.*I	0.-0.6371422541903865*I	0.49987365577846254+0.*I	0.+0.21157872336862424*I	0.00026461427677682746+0.*I	0.+0.042653409671521994*I	-0.001188329864628874+0.*I	0.+0.016166532378145398*I	0.0018506888374967472+0.*I	0.+0.01170131701003196*I	-0.0019380562563152952+0.*I	0.+0.004442373383166356*I	0.0010897782031490423+0.*I	0.+0.00475073329795647*I	-0.00034521850304440463+0.*I	0.+0.002722628820607324*I	-0.000015667172943262942+0.*I	0.+0.001976261959973756*I	-0.00033991993109442134+0.*I	0.+0.002262775713578071*I	0.0011095217203901876+0.*I	0.-0.0003721289985567668*I	-0.0019153517708516998+0.*I	0.+0.002928953616574639*I	0.00188741012027437+0.*I	0.-0.000891819990893903*I	-0.0011400694766253356+0.*I	0.+0.0011836412379065118*I	0.00033182457832665635+0.*I	0.+0.0002192829753073977*I	-0.00001542077493939582+0.*I	0.+0.00017503602747505657*I	-0.00001688234406699948+0.*I	0.+0.0000647289703866308*I
0.+0.0003641876088202684*I	8.537055109195251*^-8+0.*I	0.+0.001178172337609915*I	-0.000021892139152869813+0.*I	0.+0.0021305624631861495*I	-8.42169692442492*^-6+0.*I	0.+0.0034943235699609774*I	-0.00003274493563890415+0.*I	0.+0.005581566174455482*I	-0.000029058401925560998+0.*I	0.+0.009362473194963626*I	-0.00004373496933167831+0.*I	0.+0.017523449199222007*I	-0.00005708179061982187+0.*I	0.+0.04184020621763358*I	-0.00008697944192417208+0.*I	0.+0.21163428952493185*I	0.4998736557784374+0.*I	0.-0.6371978203466905*I	0.5002221811188059+0.*I	0.+0.21241819621532618*I	-0.0012054143442585949+0.*I	0.+0.04041856042615483*I	0.0018414111886097065+0.*I	0.+0.019781282720655543*I	-0.0019511260145135905+0.*I	0.+0.008123467299614698*I	0.0010947447239739842+0.*I	0.+0.006713090486456264*I	-0.0003676763079089339+0.*I	0.+0.003927001910819374*I	6.47256235285264*^-8+0.*I	0.+0.0027226288206072796*I	-0.00036095040159126173+0.*I	0.+0.002799993347103339*I	0.0011175345799685694+0.*I	0.-7.941389708616611*^-6*I	-0.0019232792599129024+0.*I	0.+0.0032057207118519862*I	0.0018864630811391855+0.*I	0.-0.0006857967259395819*I	-0.001142330932968989+0.*I	0.+0.0013430292544744846*I	0.0003299591444059124+0.*I	0.+0.0003441683912430869*I	-0.00001670076204306606+0.*I	0.+0.000274849131555322*I	-0.000018489153278819398+0.*I	0.+0.00014573926401203704*I	-4.069172399505592*^-6+0.*I
-7.927489028906312*^-6+0.*I	0.+0.0006409547041090313*I	-8.616686254542288*^-7+0.*I	0.+0.001384195602538125*I	-0.000024153595420739634+0.*I	0.+0.0022899504797402577*I	-0.000010287130825152948+0.*I	0.+0.003619208985910581*I	-0.00003402492278476926+0.*I	0.+0.005681379278494438*I	-0.00003066521114691524+0.*I	0.+0.00944348348859186*I	-0.00004780414172575596+0.*I	0.+0.01758817816960903*I	-0.00006989496229426595+0.*I	0.+0.041869502981110134*I	-0.00008391106359248127+0.*I	0.+0.21157872336861117*I	0.5002221811188107+0.*I	0.-0.6363583474999828*I	0.49875215249778165+0.*I	0.+0.21018334696997146*I	0.001824326708961108+0.*I	0.+0.0440333107686757*I	-0.001960403663371247+0.*I	0.+0.016203433010245794*I	0.001081674965799822+0.*I	0.+0.010394184402945449*I	-0.00036270978705818594+0.*I	0.+0.0058893590993414815*I	-0.000022393079215161873+0.*I	0.+0.003927001910860288*I	-0.0003452185030692728+0.*I	0.+0.003546360207734964*I	0.001096504109457787+0.*I	0.+0.0005292762438075677*I	-0.0019152664003361571+0.*I	0.+0.0035699083206629503*I	0.0018785355920820886+0.*I	0.-0.0004090296306818477*I	-0.0011432779721095108+0.*I	0.+0.0015490525193914495*I	0.00032769768812570074+0.*I	0.+0.0005035564077983078*I	-0.000018566195954730176+0.*I	0.+0.0003997345475155817*I	-0.000019769140394363873+0.*I	0.+0.000245552368090511*I	-5.675981578922679*^-6+0.*I	0.+0.00008101029363280878*I
0.+0.00027676709522590564*I	-8.874528205567611*^-6+0.*I	0.+0.0008469779690761361*I	-3.123124942138956*^-6+0.*I	0.+0.0015435836190949535*I	-0.000026019029357151824+0.*I	0.+0.0024148358957083735*I	-0.000011567117938318513+0.*I	0.+0.0037190220899714476*I	-0.00003563173193077112+0.*I	0.+0.0057623895721534155*I	-0.000034734383518914065+0.*I	0.+0.00950821245895975*I	-0.00006061731342288436+0.*I	0.+0.017617474933114843*I	-0.00006682658395799028+0.*I	0.+0.04181393682480908*I	0.00026461427678277583+0.*I	0.+0.21241819621531288*I	0.4987521524977693+0.*I	0.-0.6385931967453405*I	0.5017818935509761+0.*I	0.+0.21379809731248386*I	-0.0019774881429644505+0.*I	0.+0.04045546105825023*I	0.001072397316889524+0.*I	0.+0.01847415011360267*I	-0.00037577954526919917+0.*I	0.+0.009570453015798593*I	-0.000017426558423316586+0.*I	0.+0.005889359099355363*I	-0.00036767630788542836+0.*I	0.+0.004750733297936454*I	0.0011122360079882036+0.*I	0.+0.0012756431044483063*I	-0.0019362968708275471+0.*I	0.+0.004107125954160287*I	0.0018865484516530466+0.*I	0.-0.000044842021792495524*I	-0.0011512054611312642+0.*I	0.+0.00182581961465474*I	0.0003267506489447528+0.*I	0.+0.0007095796727390888*I	-0.000020827652277103623+0.*I	0.+0.0005591225640450812*I	-0.000021634574324918627+0.*I	0.+0.00037043778405699375*I	-6.955968671554756*^-6+0.*I	0.+0.00018082339768974896*I	-1.606809229136064*^-6+0.*I
-9.470391733638558*^-7+0.*I	0.+0.0004827903602197138*I	-0.000011135984469581113+0.*I	0.+0.0010063659856045224*I	-4.988558859261467*^-6+0.*I	0.+0.0016684690350630695*I	-0.000027299016439480498+0.*I	0.+0.0025146489997369494*I	-0.000013173927117009077+0.*I	0.+0.003800032383622397*I	-0.000039700904358968886+0.*I	0.+0.005827118542521082*I	-0.00004754755521626754+0.*I	0.+0.009537509222450785*I	-0.00005754893507326625+0.*I	0.+0.017561908776832388*I	0.00028169875641242574+0.*I	0.+0.042653409671518254*I	-0.0012054143442433338+0.*I	0.+0.21018334696995067*I	0.5017818935509795+0.*I	0.-0.6349784464028339*I	0.49798007869903166+0.*I	0.+0.2102202476020879*I	0.001055312837263399+0.*I	0.+0.04272617816159472*I	-0.0003850571941399601+0.*I	0.+0.017650418726438435*I	-0.00003049631659841184+0.*I	0.+0.009570453015836278*I	-0.00036270978706168336+0.*I	0.+0.00671309048648006*I	0.0010897782031567519+0.*I	0.+0.002480016194658751*I	-0.001920564972291562+0.*I	0.+0.004853492814820716*I	0.0018655179811459407+0.*I	0.+0.0004923756116695289*I	-0.0011431926016003781+0.*I	0.+0.0021900072235183448*I	0.00031882315990658676+0.*I	0.+0.0009863467679849726*I	-0.000021774691451635032+0.*I	0.+0.0007651458290116826*I	-0.000023896030609998588+0.*I	0.+0.0005298258005704031*I	-8.821402598895435*^-6+0.*I	0.+0.0003057088136436933*I	-2.8867963196712795*^-6+0.*I	0.+0.00009981310407181341*I
0.+0.00020602326498985515*I	-3.2084954768592086*^-6+0.*I	0.+0.0006421783767435636*I	-0.000013001418423974949+0.*I	0.+0.0011312514015990585*I	-6.2685459400549195*^-6+0.*I	0.+0.0017682821391020699*I	-0.000028905825677059956+0.*I	0.+0.0025956592934155316*I	-0.00001724309950877735+0.*I	0.+0.003864761353967926*I	-0.00005251407604270255+0.*I	0.+0.005856415306011912*I	-0.000044479176899880987+0.*I	0.+0.009481943066181395*I	0.000290976405298748+0.*I	0.+0.0184013816235217*I	-0.0011883298646267386+0.*I	0.+0.04041856042614921*I	0.0018243267089670828+0.*I	0.+0.21379809731246266*I	0.4979800786990305+0.*I	0.-0.638556296113219*I	0.5010128796793433+0.*I	0.+0.21249096470541345*I	-0.0004021416737928715+0.*I	0.+0.04190244677445176*I	-0.00003977396546011106+0.*I	0.+0.01765041872647707*I	-0.0003757795452897339+0.*I	0.+0.010394184402905371*I	0.0010947447239801603+0.*I	0.+0.00444237338317874*I	-0.0019430227771389528+0.*I	0.+0.006057865905014809*I	0.0018812498796970283+0.*I	0.+0.001238742472316108*I	-0.0011642230721095744+0.*I	0.+0.002727224856985407*I	0.00032683601951306293+0.*I	0.+0.0013505343768492094*I	-0.000029702180490213048+0.*I	0.+0.0010419129242676818*I	-0.000024843069738193945+0.*I	0.+0.0007358490655279774*I	-0.00001108285898942107+0.*I	0.+0.00046509683018537777*I	-4.752230173132193*^-6+0.*I	0.+0.00022469852002542245*I	-1.2799871394709398*^-6+0.*I
-2.2614563115850184*^-6+0.*I	0.+0.0003654112815138531*I	-5.073929372881561*^-6+0.*I	0.+0.0007670637927192108*I	-0.00001428140554510521+0.*I	0.+0.0012310645056415018*I	-7.875355121236835*^-6+0.*I	0.+0.0018492924327563416*I	-0.000032974998048688046+0.*I	0.+0.002660388263749517*I	-0.00003005627122399701+0.*I	0.+0.003894058117484742*I	-0.000049445697708891176+0.*I	0.+0.005800849149718336*I	0.00030404616350606945+0.*I	0.+0.010321415912867008*I	-0.001179052215792245+0.*I	0.+0.01616653237815132*I	0.0018414111886447435+0.*I	0.+0.04403331076865823*I	-0.0019774881430447214+0.*I	0.+0.2102202476020919*I	0.5010128796793382+0.*I	0.-0.6362855790099131*I	0.4995554251682235+0.*I	0.+0.21166723331829324*I	-0.00005685844512492736+0.*I	0.+0.041902446774457855*I	-0.0003850571941446829+0.*I	0.+0.018474150113583946*I	0.0010816749657884491+0.*I	0.+0.008123467299642917*I	-0.0019380562563006461+0.*I	0.+0.008020223093571283*I	0.001858792074862778+0.*I	0.+0.0024431155625224935*I	-0.0011484911735329627+0.*I	0.+0.0034735917176516606*I	0.00030580554895337395+0.*I	0.+0.001887752010325889*I	-0.000021689320905341625+0.*I	0.+0.001406100533125852*I	-0.00003277055882744353+0.*I	0.+0.0010126161607953137*I	-0.000012029898114934752+0.*I	0.+0.0006711200951448049*I	-7.013686494451524*^-6+0.*I	0.+0.00038408653656400125*I	-3.1454210318392747*^-6+0.*I	0.+0.0001248854159622758*I
0.+0.00015938801653682044*I	-4.126890194882557*^-6+0.*I	0.+0.0004902966974655175*I	-6.353916519649628*^-6+0.*I	0.+0.0008668768967798303*I	-0.000015888214713768084+0.*I	0.+0.0013120747992647513*I	-0.000011944527554977899+0.*I	0.+0.0019140214031347297*I	-0.000045788169747247714+0.*I	0.+0.0026896850272690787*I	-0.00002698789288276639+0.*I	0.+0.0038384919611656205*I	0.0002990796426923466+0.*I	0.+0.006640321996421035*I	-0.0011659824575620855+0.*I	0.+0.008086566667475169*I	0.0018506888374714685+0.*I	0.+0.01978128272069971*I	-0.0019604036634054732+0.*I	0.+0.04045546105826679*I	0.0010553128372845872+0.*I	0.+0.21249096470539716*I	0.49955542516822565+0.*I	0.-0.6371093103970156*I	0.4999007083969524+0.*I	0.+0.21166723331824217*I	-0.0004021416737610934+0.*I	0.+0.04272617816158095*I	0.001072397316907718+0.*I	0.+0.016203433010290164*I	-0.00195112601451039+0.*I	0.+0.011701317009995731*I	0.0018637585956955119+0.*I	0.+0.004405472751073202*I	-0.001170948978388359+0.*I	0.+0.004677964807869714*I	0.00032153744751668896+0.*I	0.+0.002634118870966558*I	-0.00004271979141047156+0.*I	0.+0.0019433181665890684*I	-0.00002475769922478031+0.*I	0.+0.0013768037696328238*I	-0.000019957387144152266+0.*I	0.+0.000947887190395778*I	-7.960725701633902*^-6+0.*I	0.+0.0005901098015110242*I	-5.406877331572946*^-6+0.*I	0.+0.00028427343249395556*I	-1.8654338761876733*^-6+0.*I
-1.8654339011201626*^-6+0.*I	0.+0.000284273432505749*I	-5.406877369902637*^-6+0.*I	0.+0.0005901098015267665*I	-7.96072567492656*^-6+0.*I	0.+0.0009478871904128926*I	-0.00001995738714709532+0.*I	0.+0.0013768037696264765*I	-0.00002475769921538307+0.*I	0.+0.0019433181665928533*I	-0.000042719791448482376+0.*I	0.+0.002634118870965826*I	0.00032153744754730813+0.*I	0.+0.004677964807904319*I	-0.0011709489783966974+0.*I	0.+0.00440547275104149*I	0.00186375859570011+0.*I	0.+0.011701317010027175*I	-0.001951126014561831+0.*I	0.+0.01620343301026124*I	0.0010723973169369106+0.*I	0.+0.042726178161596844*I	-0.00040214167376914536+0.*I	0.+0.21166723331826795*I	0.4999007083969194+0.*I	0.-0.6371093103970469*I	0.49955542516824386+0.*I	0.+0.21249096470538864*I	0.0010553128373087318+0.*I	0.+0.040455461058287095*I	-0.001960403663390673+0.*I	0.+0.019781282720637033*I	0.0018506888374900073+0.*I	0.+0.008086566667523522*I	-0.0011659824575689912+0.*I	0.+0.006640321996361477*I	0.00029907964267787907+0.*I	0.+0.0038384919612291313*I	-0.00002698789286801998+0.*I	0.+0.0026896850272100426*I	-0.00004578816975730298+0.*I	0.+0.0019140214031648558*I	-0.000011944527544468478+0.*I	0.+0.0013120747992398274*I	-0.00001588821475479707+0.*I	0.+0.0008668768968027347*I	-6.353916494097369*^-6+0.*I	0.+0.0004902966974538333*I	-4.126890207841568*^-6+0.*I	0.+0.00015938801654576297*I
0.+0.0001248854159377053*I	-3.145420998097327*^-6+0.*I	0.+0.0003840865365580818*I	-7.013686537288635*^-6+0.*I	0.+0.0006711200951549048*I	-0.000012029898096642572+0.*I	0.+0.001012616160786454*I	-0.000032770558809887286+0.*I	0.+0.0014061005331300514*I	-0.00002168932094109207+0.*I	0.+0.001887752010328381*I	0.0003058055490124762+0.*I	0.+0.0034735917176783415*I	-0.0011484911735579052+0.*I	0.+0.002443115562494422*I	0.0018587920748956578+0.*I	0.+0.008020223093561884*I	-0.001938056256338068+0.*I	0.+0.00812346729963981*I	0.0010816749657846525+0.*I	0.+0.0184741501136094*I	-0.0003850571941717447+0.*I	0.+0.041902446774449556*I	-0.00005685844510893872+0.*I	0.+0.21166723331823806*I	0.49955542516823925+0.*I	0.-0.6362855790099228*I	0.5010128796793389+0.*I	0.+0.2102202476020961*I	-0.0019774881430434533+0.*I	0.+0.0440333107686713*I	0.0018414111886252951+0.*I	0.+0.016166532378165*I	-0.001179052215779802+0.*I	0.+0.01032141591283937*I	0.0003040461635102213+0.*I	0.+0.005800849149739762*I	-0.00004944569771367385+0.*I	0.+0.003894058117452172*I	-0.000030056271177308173+0.*I	0.+0.002660388263767449*I	-0.00003297499808017351+0.*I	0.+0.0018492924327496204*I	-7.875355133558427*^-6+0.*I	0.+0.001231064505601438*I	-0.000014281405582940464+0.*I	0.+0.0007670637927189774*I	-5.073929353293117*^-6+0.*I	0.+0.00036541128150671285*I	-2.261456352113634*^-6+0.*I
-1.2799871228021717*^-6+0.*I	0.+0.00022469852001500462*I	-4.752230222207317*^-6+0.*I	0.+0.00046509683019651464*I	-0.000011082858930987655+0.*I	0.+0.0007358490655304745*I	-0.00002484306979222676+0.*I	0.+0.0010419129242540826*I	-0.00002970218049288944+0.*I	0.+0.0013505343768598125*I	0.0003268360194776609+0.*I	0.+0.0027272248570109586*I	-0.00116422307207721+0.*I	0.+0.0012387424723074056*I	0.0018812498796976587+0.*I	0.+0.00605786590501869*I	-0.0019430227771271404+0.*I	0.+0.004442373383190742*I	0.0010947447239646013+0.*I	0.+0.010394184402909987*I	-0.0003757795452706979+0.*I	0.+0.01765041872646012*I	-0.00003977396546910949+0.*I	0.+0.04190244677445509*I	-0.0004021416737716312+0.*I	0.+0.2124909647053588*I	0.5010128796793143+0.*I	0.-0.6385562961131926*I	0.4979800786990587+0.*I	0.+0.21379809731245053*I	0.0018243267089611641+0.*I	0.+0.04041856042614883*I	-0.0011883298646294007+0.*I	0.+0.018401381623498424*I	0.0002909764052970574+0.*I	0.+0.009481943066194017*I	-0.00004447917691165365+0.*I	0.+0.005856415305982997*I	-0.00005251407603324798+0.*I	0.+0.003864761354006313*I	-0.00001724309953332238+0.*I	0.+0.0025956592933882674*I	-0.000028905825646188522+0.*I	0.+0.0017682821391386417*I	-6.26854595197008*^-6+0.*I	0.+0.0011312514015678439*I	-0.000013001418433265143+0.*I	0.+0.0006421783767863832*I	-3.208495484738156*^-6+0.*I	0.+0.00020602326495222013*I
