 -0.10000000e+01  0.58871411e+01     0.58871411e+01     0.13732431-149     0.23326146-150        7   
 -0.99797980e+00  0.58602796e+01     0.58602796e+01     0.39583507-149     0.67545424-150        7   
 -0.99595960e+00  0.56918884e+01     0.56918884e+01     0.11132822-148     0.19559101-149        7   
 -0.99393939e+00  0.76350285e+01     0.76350285e+01     0.43242669-148     0.56637208-149        9   
 -0.99191919e+00  0.78143733e+01     0.78143733e+01     0.12815895-147     0.16400413-148        9   
 -0.98989899e+00  0.78580845e+01     0.78580845e+01     0.37318521-147     0.47490608-148        9   
 -0.98787879e+00  0.78139608e+01     0.78139608e+01     0.10745631-146     0.13751836-147        9   
 -0.98585859e+00  0.79911117e+01     0.79911117e+01     0.31821513-146     0.39821135-147       10   
 -0.98383838e+00  0.89124558e+01     0.89124558e+01     0.10276944-145     0.11530990-146       11   
 -0.98181818e+00  0.91066017e+01     0.91066017e+01     0.30407161-145     0.33390239-146       11   
 -0.97979798e+00  0.91536061e+01     0.91536061e+01     0.88504367-145     0.96687979-146       11   
 -0.97777778e+00  0.90538710e+01     0.90538710e+01     0.25348936-144     0.27997898-145       11   
 -0.97575758e+00  0.71316562e+01     0.71316562e+01     0.57818761-144     0.81073399-145        9   
 -0.97373737e+00  0.70655379e+01     0.70655379e+01     0.16587333-143     0.23476391-144        9   
 -0.97171717e+00  0.71711314e+01     0.71711314e+01     0.48749701-143     0.67980488-144        9   
 -0.96969697e+00  0.88907684e+01     0.88907684e+01     0.17501551-142     0.19685082-143       11   
 -0.96767677e+00  0.84146654e+01     0.84146654e+01     0.47965285-142     0.57002011-143       10   
 -0.96565657e+00  0.68203482e+01     0.68203482e+01     0.11257700-141     0.16506049-142        8   
 -0.96363636e+00  0.66024953e+01     0.66024953e+01     0.31557615-141     0.47796498-142        8   
 -0.96161616e+00  0.65533569e+01     0.65533569e+01     0.90701161-141     0.13840412-141        8   
 -0.95959596e+00  0.62095007e+01     0.62095007e+01     0.24886204-140     0.40077625-141        8   
 -0.95757576e+00  0.52199804e+01     0.52199804e+01     0.60579237-140     0.11605261-140        6   
 -0.95555556e+00  0.68200218e+01     0.68200218e+01     0.22918893-139     0.33605308-140        8   
 -0.95353535e+00  0.69284122e+01     0.69284122e+01     0.67420900-139     0.97310752-140        8   
 -0.95151515e+00  0.82343141e+01     0.82343141e+01     0.23202843-138     0.28178234-139       10   
 -0.94949495e+00  0.82816557e+01     0.82816557e+01     0.67574665-138     0.81595598-139       10   
 -0.94747475e+00  0.76276591e+01     0.76276591e+01     0.18022331-137     0.23627604-138        9   
 -0.94545455e+00  0.75561532e+01     0.75561532e+01     0.51697957-137     0.68418355-138        9   
 -0.94343434e+00  0.72656602e+01     0.72656602e+01     0.14394635-136     0.19811875-137        8   
 -0.94141414e+00  0.80206061e+01     0.80206061e+01     0.46013547-136     0.57369165-137       10   
 -0.93939394e+00  0.66749572e+01     0.66749572e+01     0.11088683-135     0.16612365-136        8   
 -0.93737374e+00  0.65389560e+01     0.65389560e+01     0.31455228-135     0.48104358-136        8   
 -0.93535354e+00  0.61508249e+01     0.61508249e+01     0.85678280-135     0.13929559-135        8   
 -0.93333333e+00  0.49690825e+01     0.49690825e+01     0.20043176-134     0.40335768-135        6   
 -0.93131313e+00  0.48839698e+01     0.48839698e+01     0.57044824-134     0.11680012-134        6   
 -0.92929293e+00  0.47371570e+01     0.47371570e+01     0.16021900-133     0.33821762-134        6   
 -0.92727273e+00  0.63978372e+01     0.63978372e+01     0.62658841-133     0.97937536-134        8   
 -0.92525253e+00  0.66716771e+01     0.66716771e+01     0.18920698-132     0.28359732-133        8   
 -0.92323232e+00  0.66441773e+01     0.66441773e+01     0.54562754-132     0.82121160-133        8   
 -0.92121212e+00  0.64919868e+01     0.64919868e+01     0.15437809-131     0.23779791-132        8   
 -0.91919192e+00  0.83457701e+01     0.83457701e+01     0.57468173-131     0.68859042-132       10   
 -0.91717172e+00  0.89009114e+01     0.89009114e+01     0.17747958-130     0.19939484-131       11   
 -0.91515152e+00  0.88114871e+01     0.88114871e+01     0.50876366-130     0.57738683-131       11   
 -0.91313131e+00  0.95281445e+01     0.95281445e+01     0.15930454-129     0.16719367-130       12   
 -0.91111111e+00  0.80749246e+01     0.80749246e+01     0.39094103-129     0.48414202-130       10   
 -0.90909091e+00  0.78777366e+01     0.78777366e+01     0.11044020-128     0.14019280-129       10   
 -0.90707071e+00  0.81067837e+01     0.81067837e+01     0.32909953-128     0.40595573-129       10   
 -0.90505051e+00  0.82112470e+01     0.82112470e+01     0.96525206-128     0.11755243-128       10   
 -0.90303030e+00  0.10297459e+02     0.10297459e+02     0.35052149-127     0.34039610-128       12   
 -0.90101010e+00  0.10673955e+02     0.10673955e+02     0.10521142-126     0.98568358-128       13   
 -0.89898990e+00  0.96705416e+01     0.96705416e+01     0.27602046-126     0.28542399-127       11   
