0.-0.000011312879722923929*I	-0.21649963064820005+0.*I	0.+3.2943748841016983*^-6*I	0.09288709330161117+0.*I	0.+1.4588783077278517*^-7*I	-0.01690498798545712+0.*I	0.-7.719984969008297*^-7*I	-0.012783919311641974+0.*I	0.+2.985200038770605*^-7*I	0.01227548721562286+0.*I	0.+1.5612767077563564*^-7*I	-0.00184715534656319+0.*I	0.-2.2454083175945797*^-7*I	-0.00450015715312277+0.*I	0.+5.786834460676606*^-8*I	0.0034872441738815142+0.*I	0.+7.12888470184771*^-8*I	0.0004224206036772039+0.*I	0.-5.564363947487302*^-8*I	-0.0019065269528118507+0.*I	0.-1.496846988851828*^-8*I	0.0019065269533661466+0.*I	0.+8.558057927244842*^-8*I	0.001484106351195485+0.*I	0.+2.502996209854981*^-8*I	-0.003909664780199094+0.*I	0.-2.4112120838362743*^-7*I	0.0010129129770979407+0.*I	0.+2.2076815922493148*^-7*I	0.006347312508002202+0.*I	0.+2.388583209790699*^-7*I	-0.01042833187484216+0.*I	0.-7.812205056377492*^-7*I	0.0005084320849627447+0.*I	0.+5.015313197222722*^-7*I	0.029688907325691558+0.*I	0.+1.370056337389266*^-6*I	-0.0759821053215573+0.*I	0.-4.33009621710864*^-6*I	0.12361253722457503+0.*I	0.+5.6139634524360084*^-6*I	-0.1538707393031747+0.*I
-0.2164996306482004+0.*I	0.-816.9714641406968*I	-0.12361253734658864+0.*I	0.+1286.0216648217515*I	0.07598210531615343+0.*I	0.-1249.9163465144939*I	-0.029688907297098086+0.*I	0.+815.3281636141846*I	-0.000508432096019848+0.*I	0.-267.83729387209485*I	0.010428331869060399+0.*I	0.-110.18752297311146*I	-0.0063473124996859115+0.*I	0.+198.72608793104*I	-0.001012912979241512+0.*I	0.-78.2122985545714*I	0.003909664777558986+0.*I	0.-65.49007756745816*I	-0.0014841063491345882+0.*I	0.+91.54709915255242*I	-0.0019065269528118003+0.*I	0.-91.54709922316437*I	0.005297160257373389+0.*I	0.-26.05702164006104*I	-0.002847979032681136+0.*I	0.+143.70237626683212*I	-0.006383995976982734+0.*I	0.-120.51378941398414*I	0.011860382638223574+0.*I	0.-88.5385651930147*I	-0.0022338640202776427+0.*I	0.+378.02481723144064*I	-0.022195387005502915+0.*I	0.-547.4908697609204*I	0.042981258722297605+0.*I	0.+434.58818180072024*I	-0.02938821001041053+0.*I	0.-36.105315493105145*I	-0.045256661398591636+0.*I	0.-469.0502052592966*I	0.18624142856960335+0.*I	0.+816.9714561221919*I
0.+3.2943748841016144*^-6*I	-0.12361253734658917+0.*I	0.-7.87261700804936*^-6*I	-0.14051752533204584+0.*I	0.+2.668264217973601*^-6*I	0.06319818600451164+0.*I	0.-3.2759066225094527*^-7*I	-0.017413420081475475+0.*I	0.-3.173508222481465*^-7*I	-0.0023555874425822193+0.*I	0.+2.3010684289324581*^-7*I	0.005928174715937244+0.*I	0.-1.0544816377055271*^-8*I	-0.002860068325804348+0.*I	0.-9.538364013421446*^-8*I	-0.0005904923755640766+0.*I	0.+7.351355215036164*^-8*I	0.002003137824747061+0.*I	0.+6.767376550813657*^-10*I	-0.0014841063491344503+0.*I	0.-5.564363947488497*^-8*I	0.001484106351195387+0.*I	0.+1.1061054137100926*^-7*I	-0.0005190314756376704+0.*I	0.-1.305106670126481*^-7*I	-0.0014126454519056482+0.*I	0.+4.676912939818549*^-9*I	0.0034505607049010734+0.*I	0.+2.1850527182033927*^-7*I	-0.0030681063897423436+0.*I	0.-3.2159402543374053*^-7*I	-0.003572587281877483+0.*I	0.-4.083086493637332*^-8*I	0.01976900753581153+0.*I	0.+1.0903671514738621*^-6*I	-0.045784765910903163+0.*I	0.-2.4585085599970472*^-6*I	0.07731933922870945+0.*I	0.+2.653923572716358*^-6*I	-0.10624030740015702+0.*I	0.+1.2838672353270087*^-6*I	0.1236125372245753+0.*I
0.09288709330161113+0.*I	0.+1286.021664821753*I	-0.1405175253320464+0.*I	0.-2066.887810655193*I	-0.15330144464368703+0.*I	0.+2101.3498284359384*I	0.07547367322013378+0.*I	0.-1517.7536403865904*I	-0.019260575428037857+0.*I	0.+705.140640641075*I	-0.006855744595705662+0.*I	0.-69.11120594105718*I	0.009415418889818894+0.*I	0.-188.39982152768144*I	-0.0024376477221269705+0.*I	0.+133.23601036358113*I	-0.002497019328375996+0.*I	0.+13.334800597980603*I	0.002003137824747106+0.*I	0.-65.4900775674589*I	0.0004224206036772121+0.*I	0.+65.49007758310388*I	-0.0028479790326810805+0.*I	0.+52.15527704366846*I	-0.0010868357196092415+0.*I	0.-146.57081105404433*I	0.009012403605542452+0.*I	0.+55.163811073817556*I	-0.008617859997260502+0.*I	0.+257.5110278174583*I	-0.010335004367279133+0.*I	0.-636.0294349539344*I	0.040747394702019546+0.*I	0.+812.6129990321606*I	-0.051583597015913585+0.*I	0.-583.5961852540271*I	-0.0022754026762925594+0.*I	0.-34.46202345857742*I	0.1568532185591917+0.*I	0.+780.8661406290873*I	-0.045256661398594356+0.*I	0.-1286.0216613814898*I
0.+1.4588783077275012*^-7*I	0.07598210531615342+0.*I	0.+2.6682642179736733*^-6*I	-0.15330144464368697+0.*I	0.-8.346095501073195*^-6*I	-0.14102595742806587+0.*I	0.+3.1229118926263103*^-6*I	0.07362651787357197+0.*I	0.-3.9600382323476026*^-7*I	-0.023760732581161285+0.*I	0.-4.840233094008473*^-7*I	-0.0033685004218242188+0.*I	0.+3.5926403451846894*^-7*I	0.0098378394934964+0.*I	0.+5.1003911665824376*^-9*I	-0.004344174674938897+0.*I	0.-1.6599574949765344*^-7*I	-0.002497019328376075+0.*I	0.+7.351355215039555*^-8*I	0.003909664777559045+0.*I	0.+7.128884701846299*^-8*I	-0.003909664780199355+0.*I	0.-2.1609124628510638*^-7*I	-0.0014126454519057079+0.*I	0.+9.025749221229291*^-8*I	0.0068411940094629696+0.*I	0.+3.291158131913797*^-7*I	-0.005493664818746341+0.*I	0.-5.376852717188871*^-7*I	-0.0064693390849782685+0.*I	0.-6.118391409511082*^-8*I	0.027129233020912333+0.*I	0.+1.5499936316778793*^-6*I	-0.049865785277743865+0.*I	0.-3.000870744655873*^-6*I	0.06739943943883056+0.*I	0.+2.3742343868010302*^-6*I	-0.07604296798950291+0.*I	0.+3.155454892438808*^-6*I	0.07731933922870893+0.*I	0.-2.960039879719512*^-6*I	-0.07598210532155668+0.*I
-0.01690498798545681+0.*I	0.-1249.9163465144973*I	0.06319818600451224+0.*I	0.+2101.3498284359416*I	-0.14102595742806565+0.*I	0.-2334.725104527294*I	-0.14287311277462716+0.*I	0.+1991.162305462835*I	0.06912636072044812+0.*I	0.-1319.0275524555557*I	-0.020273488407279383+0.*I	0.+626.9283420865047*I	-0.0029460798181467074+0.*I	0.-134.60128350851554*I	0.007931312540684299+0.*I	0.-96.85272237512947*I	-0.004344174674938736+0.*I	0.+133.23601036358045*I	-0.0005904923755641195+0.*I	0.-78.21229855457037*I	0.0034872441738816318+0.*I	0.+78.21229868372785*I	-0.00638399597698272+0.*I	0.-55.02371183087997*I	0.009012403605542535+0.*I	0.-36.38328814934624*I	-0.0033206997398871896+0.*I	0.+231.45400617739676*I	-0.013182983399960269+0.*I	0.-492.32705868710343*I	0.034363398725036465+0.*I	0.+692.099209618181*I	-0.03972321437769011+0.*I	0.-672.1347504470441*I	-0.004509266696571035+0.*I	0.+343.5627937728622*I	0.13465783155368594+0.*I	0.+233.37527086816903*I	-0.0022754026762974444+0.*I	0.-851.4334795807708*I	-0.029388210010409088+0.*I	0.+1249.9163458883866*I
0.-7.719984969009809*^-7*I	-0.029688907297099006+0.*I	0.-3.275906622508345*^-7*I	0.0754736732201352+0.*I	0.+3.1229118926262116*^-6*I	-0.1428731127746286+0.*I	0.-8.414508662056899*^-6*I	-0.14737326992774996+0.*I	0.+2.9562394054735713*^-6*I	0.07261360489432954+0.*I	0.-2.6684663160951347*^-7*I	-0.019851067803602015+0.*I	0.-4.683781018572304*^-7*I	-0.00485260677095851+0.*I	0.+2.8865192515506016*^-7*I	0.007931312540684266+0.*I	0.+5.100391166575434*^-9*I	-0.002437647722127053+0.*I	0.-9.53836401342455*^-8*I	-0.0010129129792414919+0.*I	0.+5.7868344606782014*^-8*I	0.001012912977098258+0.*I	0.-2.0353049158693362*^-8*I	0.0034505607049012035+0.*I	0.+2.435352339189058*^-7*I	-0.005493664818746122+0.*I	0.-4.5210469244641665*^-7*I	-0.0030787057804165224+0.*I	0.+4.942662727592409*^-8*I	0.02470367459190789+0.*I	0.+1.3339023853927346*^-6*I	-0.05276253708084443+0.*I	0.-3.0212237938145376*^-6*I	0.07475966492392999+0.*I	0.+2.8338608670050417*^-6*I	-0.08012398735634334+0.*I	0.+2.61309270777998*^-6*I	0.06739943943883+0.*I	0.-3.239729065634963*^-6*I	-0.04578476591090321+0.*I	0.+1.8715876571115756*^-6*I	0.02968890732569154+0.*I
-0.012783919311642633+0.*I	0.+815.3281636141912*I	-0.01741342008147559+0.*I	0.-1517.7536403865995*I	0.07362651787357183+0.*I	0.+1991.1623054628378*I	-0.14737326992775104+0.*I	0.-2135.999016596262*I	-0.14388602575386888+0.*I	0.+1912.9500069082626*I	0.0730360254980073+0.*I	0.-1384.5176300230135*I	-0.021757594756414214+0.*I	0.+718.4754412390595*I	-0.0048526067709583065+0.*I	0.-134.60128350851883*I	0.009837839493496009+0.*I	0.-188.39982152767885*I	-0.0028600683258043214+0.*I	0.+198.7260879310373*I	-0.004500157153122963+0.*I	0.-198.72608809770978*I	0.011860382638223393+0.*I	0.-10.326266509287162*I	-0.008617859997260224+0.*I	0.+323.0011054005617*I	-0.013182983399960324+0.*I	0.-583.8741579102667*I	0.03966055898241039+0.*I	0.+666.0421879781171*I	-0.042571193410370745+0.*I	0.-528.4323741802111*I	-0.010893262673554616+0.*I	0.+223.04900435888732*I	0.1465182141919087+0.*I	0.+144.83670567515503*I	-0.004509266696572145+0.*I	0.-473.4086623493307*I	-0.0515835970159127+0.*I	0.+702.4254761274665*I	0.04298125872229561+0.*I	0.-815.3281640876697*I
0.+2.985200038770958*^-7*I	-0.0005084320960194869+0.*I	0.-3.173508222481855*^-7*I	-0.01926057542803853+0.*I	0.-3.9600382323472426*^-7*I	0.06912636072044889+0.*I	0.+2.9562394054735713*^-6*I	-0.1438860257538693+0.*I	0.-8.285351470431694*^-6*I	-0.14346360515019174+0.*I	0.+2.9718846130171874*^-6*I	0.07112949854519532+0.*I	0.-3.374587409729176*^-7*I	-0.021757594756414072+0.*I	0.-4.6837810185723483*^-7*I	-0.002946079818146445+0.*I	0.+3.5926403451847985*^-7*I	0.009415418889818733+0.*I	0.-1.0544816377048498*^-8*I	-0.006347312499685796+0.*I	0.-2.245408317594643*^-7*I	0.006347312508002162+0.*I	0.+4.5962648020399437*^-7*I	-0.0030681063897423557+0.*I	0.-5.627152338174198*^-7*I	-0.006469339084978304+0.*I	0.-3.615395199654079*^-8*I	0.0247036745919079+0.*I	0.+1.4194829646651965*^-6*I	-0.04937190377628283+0.*I	0.-2.9106132524434916*^-6*I	0.07233410649492651+0.*I	0.+2.6177696207198582*^-6*I	-0.08302073915944455+0.*I	0.+2.592739658621263*^-6*I	0.07475966492393003+0.*I	0.-2.7801025854307965*^-6*I	-0.04986578527774356+0.*I	0.+1.3292254724529572*^-6*I	0.019769007535811733+0.*I	0.-2.79689185915657*^-7*I	0.0005084320849632009+0.*I
0.012275487215624548+0.*I	0.-267.8372938721049*I	-0.0023555874425836287+0.*I	0.+705.140640641088*I	-0.023760732581160432+0.*I	0.-1319.0275524555666*I	0.07261360489432958+0.*I	0.+1912.9500069082776*I	-0.14346360515019166+0.*I	0.-2201.489094163724*I	-0.14537013210300376+0.*I	0.+2004.4971060608204*I	0.07112949854519562+0.*I	0.-1384.5176300230178*I	-0.01985106780360235+0.*I	0.+626.92834208651*I	-0.0033685004218239056+0.*I	0.-69.11120594106154*I	0.00592817471593729+0.*I	0.-110.1875229731085*I	-0.0018471553465629342+0.*I	0.+110.18752290469524*I	-0.002233864020277726+0.*I	0.+179.2987291337321*I	-0.010335004367279688+0.*I	0.-557.8171362702076*I	0.03436339872503724+0.*I	0.+757.5892872012835*I	-0.042571193410370745+0.*I	0.-619.9794734033763*I	-0.005596102416181581+0.*I	0.+196.99198271882406*I	0.1436702351592285+0.*I	0.+288.5390819419789*I	-0.01089326267355517+0.*I	0.-593.9224517633179*I	-0.03972321437768944+0.*I	0.+613.8869109344519*I	0.040747394702019935+0.*I	0.-437.30334685622677*I	-0.022195387005502443+0.*I	0.+267.8372943267527*I
0.+1.5612767077570002*^-7*I	0.010428331869060675+0.*I	0.+2.3010684289321026*^-7*I	-0.006855744595705888+0.*I	0.-4.840233094008388*^-7*I	-0.020273488407279282+0.*I	0.-2.6684663160950526*^-7*I	0.07303602549800707+0.*I	0.+2.9718846130171743*^-6*I	-0.1453701321030039+0.*I	0.-8.355963579795092*^-6*I	-0.1453701321030033+0.*I	0.+2.971884613017192*^-6*I	0.07303602549800725+0.*I	0.-2.6684663160951426*^-7*I	-0.02027348840727973+0.*I	0.-4.840233094008431*^-7*I	-0.006855744595705239+0.*I	0.+2.301068428932411*^-7*I	0.010428331869060205+0.*I	0.+1.5612767077565398*^-7*I	-0.010428331874842727+0.*I	0.-5.423621846587223*^-7*I	-0.003572587281877269+0.*I	0.+1.7993729428854295*^-7*I	0.02712923302091179+0.*I	0.+1.308872423294227*^-6*I	-0.05276253708084432+0.*I	0.-2.9961938317159397*^-6*I	0.0723341064949263+0.*I	0.+2.7033501999923102*^-6*I	-0.07963010585488303+0.*I	0.+2.7033501999922865*^-6*I	0.07233410649492703+0.*I	0.-2.9961938317158576*^-6*I	-0.052762537080844565+0.*I	0.+1.3088724232942178*^-6*I	0.027129233020911962+0.*I	0.+1.7993729428858364*^-7*I	-0.003572587281877259+0.*I	0.-5.423621846584213*^-7*I	-0.010428331874843188+0.*I
