0.4422885977893537-0.08754376082123079*I	0.19109749243434293-0.13603292378173407*I	0.04519955272694175-0.12816461904354703*I	-0.033375196807884894-0.07655829414024853*I	-0.053821180674886664-0.013981577579949918*I	-0.034286993830988446+0.027331927033006055*I	-0.0020753205241010996+0.033640316395010354*I	0.019238420628529762+0.014094314417173345*I	0.020412505259086042-0.009518114392023639*I	0.007309628653312974-0.019131929583353458*I	-0.007092249712917214-0.011301730693584026*I	-0.012774064245584584+0.00379184322766556*I	-0.008189716761884628+0.012641873913330631*I	0.0010393167170267932+0.00924865453244645*I	0.0076327901972838424-0.0015060401973638795*I	0.0077495163133266395-0.009417775995656576*I	0.0025759413275794497-0.008003790959188054*I	-0.0035966307267367194+0.0005155286933376132*I	-0.00664488355435944+0.007920499440627197*I	-0.004975393021497566+0.007535173731874297*I
0.19109749243434287-0.13603292378173415*I	0.4874881505162955-0.2157083798647779*I	0.1577222956264581-0.21259121792198213*I	-0.008621627947944785-0.14214619662349617*I	-0.0676621906388731-0.04922636710724135*I	-0.0558965011989875+0.01965873881506138*I	-0.015048573202458513+0.041426241450179896*I	0.018337184734984965+0.024122202002986655*I	0.026548049281842522-0.005037615166180472*I	0.0133202555461684-0.02081984508560806*I	-0.005464435592272227-0.015340086355688124*I	-0.015281966474802573+0.001340143219746474*I	-0.011734747528558562+0.013040497760111755*I	-0.0005569265646015685+0.011135833715966227*I	0.008788833030352652-0.00016912146321086576*I	0.010208731524862515-0.009509831156552621*I	0.004152885586589164-0.008902247302319314*I	-0.004068942226780676-0.00008329151856075856*I	-0.008572023748234816+0.008050702425212278*I	-0.006644883554359734+0.007920499440627511*I
0.04519955272694179-0.12816461904354728*I	0.15772229562645818-0.21259121792198227*I	0.43366696984140907-0.22968995744472634*I	0.1234353017954701-0.18525929088897367*I	-0.010696948472045121-0.10850588022848313*I	-0.04842377001034264-0.03513205269006615*I	-0.03548399593990103+0.010140624423038275*I	-0.007738944549145584+0.022294311866825792*I	0.01124493502206714+0.012820471309401478*I	0.013773985036256792-0.001245771938515866*I	0.005130538784282198-0.008177971172277943*I	-0.004425118875247261-0.0060914318232420895*I	-0.0076491762775206746-0.00016589697761824817*I	-0.003985231215233922+0.0036227217644537128*I	0.0020190147629758673+0.0031320427567764595*I	0.005192202303613943+0.0003464072301255356*I	0.003563847970501205-0.00158933171592554*I	-0.000822507434909984-0.0013670735704440784*I	-0.0040689422267817695-0.00008329151855946949*I	-0.003596630726737687+0.0005155286933387163*I
-0.03337519680788486-0.07655829414024884*I	-0.008621627947944684-0.14214619662349648*I	0.12343530179547021-0.185259290888974*I	0.43159164931730903-0.19604964104971273*I	0.142673722424001-0.17116497647179724*I	0.009715556787041843-0.1180239946205052*I	-0.04111414135702919-0.054263982273420004*I	-0.042576245652818465-0.0011611062705475688*I	-0.02051300879473119+0.026086155094489243*I	0.0030552182601807504+0.025462345222730616*I	0.014813301753281249+0.00800288259392972*I	0.012763328981563321-0.009684011369642713*I	0.0033243974380764026-0.015509207818900245*I	-0.00507323494994437-0.008169687936808511*I	-0.007581861941973843+0.0041382504577893945*I	-0.004625868791386662+0.011052542197403167*I	0.0002168092821136611+0.007881580962001294*I	0.003563847970499159-0.0015893317159227655*I	0.0041528855865864585-0.00890224730231579*I	0.002575941327577605-0.008003790959185709*I
-0.05382118067488675-0.013981577579950232*I	-0.06766219063887317-0.04922636710724188*I	-0.010696948472045237-0.10850588022848376*I	0.14267372242400098-0.17116497647179757*I	0.4520041545763962-0.20556775544173406*I	0.14998335107731497-0.1902969060551506*I	0.0026233070741251497-0.12932572531409134*I	-0.05388820560261409-0.050472139045757626*I	-0.050765962414704324+0.011480767642780148*I	-0.01947369207770638+0.03533480962693375*I	0.010688008457461998+0.02395630502536545*I	0.022562818066604765-0.0014148934017283003*I	0.0153392703091392-0.01768780232883277*I	-0.0002722332886641957-0.01499367912556461*I	-0.011718118504307732-0.00024918849618189745*I	-0.012557254963474967+0.011673424189665603*I	-0.004625868791389418+0.011052542197407455*I	0.00519220230360961+0.00034640723013209325*I	0.010208731524858256-0.009509831156546288*I	0.007749516313324033-0.009417775995652735*I
-0.03428699383098874+0.027331927033005857*I	-0.055896501198987925+0.019658738815060958*I	-0.048423770010343016-0.03513205269006676*I	0.009715556787041701-0.11802399462050588*I	0.149983351077315-0.19029690605515118*I	0.4449119048634801-0.21686948613532042*I	0.13720928683173084-0.18650506282748902*I	-0.005566409687759901-0.11668385140076488*I	-0.052848888885588474-0.041223484513314576*I	-0.04313317221742227+0.009974727445413986*I	-0.011724175764382182+0.02591703363127543*I	0.013263949785038321+0.015952514066175594*I	0.018966187339864285-0.000899364708392341*I	0.008694386754775641-0.009767302888205943*I	-0.005247626310165712-0.007458505393688042*I	-0.011718118504310867-0.0002491884961765553*I	-0.007581861941979201+0.004138250457798578*I	0.002019014762969743+0.0031320427567870387*I	0.008788833030347394-0.000169121463201697*I	0.007632790197280826-0.0015060401973585795*I
-0.0020753205241016053+0.03364031639501031*I	-0.015048573202459255+0.041426241450179674*I	-0.03548399593990168+0.010140624423037736*I	-0.04111414135702943-0.05426398227342092*I	0.002623307074125202-0.1293257253140924*I	0.13720928683173086-0.18650506282748966*I	0.43672218810159524-0.20422761222199468*I	0.13824860354875695-0.17725640829504688*I	0.0020663805095228432-0.11818989159813219*I	-0.04509937257226347-0.050641260508973655*I	-0.040557230889845176+0.001970936486223895*I	-0.01532080649112205+0.02643256232461151*I	0.006619066230675079+0.02387301350680261*I	0.013990794318362816+0.00663580902348435*I	0.008694386754772417-0.009767302888200264*I	-0.000272233288669958-0.014993679125554023*I	-0.005073234949951479-0.008169687936794864*I	-0.003985231215240958+0.003622721764467735*I	-0.0005569265646071588+0.011135833715977702*I	0.001039316717023714+0.009248654532452898*I
0.01923842062852917+0.014094314417173398*I	0.018337184734984132+0.024122202002986527*I	-0.007738944549146257+0.02229431186682518*I	-0.04257624565281867-0.0011611062705487996*I	-0.05388820560261387-0.050472139045759264*I	-0.00556640968775953-0.11668385140076641*I	0.13824860354875723-0.17725640829504785*I	0.44435497829887827-0.20573365241936245*I	0.1459981198620824-0.18667418429070662*I	0.004642321837100473-0.12619368255732272*I	-0.048696003299002866-0.05012573181563778*I	-0.04720211444420806+0.009891435926850803*I	-0.020296199512623368+0.03396773605648799*I	0.006619066230671863+0.023873013506807945*I	0.01896618733985857-0.0008993647083818062*I	0.015339270309131963-0.01768780232881813*I	0.0033243974380686952-0.015509207818883501*I	-0.0076491762775277765-0.00016589697760208176*I	-0.011734747528564021+0.013040497760124531*I	-0.008189716761887594+0.012641873913337688*I
0.020412505259085615-0.00951811439202368*I	0.02654804928184195-0.005037615166180803*I	0.011244935022066726+0.012820471309400554*I	-0.020513008794731218+0.026086155094487574*I	-0.05076596241470394+0.011480767642777908*I	-0.05284888888558796-0.04122348451331686*I	0.0020663805095232695-0.11818989159813405*I	0.14599811986208258-0.1866741842907077*I	0.44693091962645615-0.21373744337855324*I	0.1424014891353431-0.186158655597371*I	-0.0020025617172624638-0.11827318311669602*I	-0.0536713963205043-0.04259055808376163*I	-0.047202114444211456+0.009891435926855492*I	-0.015320806491127771+0.02643256232462095*I	0.013263949785031405+0.01595251406618925*I	0.02256281806659745-0.0014148934017116383*I	0.012763328981556113-0.00968401136962496*I	-0.004425118875253814-0.006091431823225647*I	-0.015281966474807705+0.0013401432197591608*I	-0.012774064245587437+0.003791843227672478*I
0.007309628653312881-0.019131929583353743*I	0.013320255546168305-0.020819845085608815*I	0.013773985036256813-0.0012457719385172874*I	0.0030552182601809607+0.02546234522272846*I	-0.019473692077706+0.0353348096269311*I	-0.04313317221742184+0.009974727445411214*I	-0.045099372572263104-0.05064126050897606*I	0.004642321837100679-0.12619368255732447*I	0.1424014891353432-0.18615865559737188*I	0.4402860360720929-0.2058169439379266*I	0.13742609611384127-0.17862348186549512*I	-0.002002561717266309-0.11827318311669191*I	-0.04869600329900911-0.05012573181562957*I	-0.04055723088985213+0.0019709364862356363*I	-0.01172417576438878+0.025917033631289922*I	0.010688008457455937+0.023956305025381545*I	0.01481330175327545+0.00800288259394587*I	0.005130538784276632-0.008177971172263538*I	-0.005464435592276919-0.015340086355677261*I	-0.007092249712919963-0.01130173069357818*I
