0.-0.8487817110274215*I	-0.4999577967727937+0.*I	0.+0.16974900432332635*I	0.000016498186454241756+0.*I	0.+0.02422427965196334*I	0.00001019047801913305+0.*I	0.+0.008043255047631499*I	7.1095274350283205*^-6+0.*I	0.+0.0036189070400444116*I	5.194797049428881*^-6+0.*I	0.+0.0019052282832770359*I	3.83248436995641*^-6+0.*I	0.+0.001091946952962914*I	2.7698926781391047*^-6+0.*I	0.+0.0006451929061024029*I	1.8810178378766726*^-6+0.*I	0.+0.0003662354138586593*I	1.0932879616375082*^-6+0.*I	0.+0.0001668466669262367*I	3.5886757005266307*^-7+0.*I
-0.4999577967728122+0.*I	0.-0.6790327067038977*I	-0.499941298586197+0.*I	0.+0.19397328397526933*I	0.00002668866464775323+0.*I	0.+0.032267534699521705*I	0.000017300005309180637+0.*I	0.+0.011662162087710195*I	0.0000123043243867016+0.*I	0.+0.005524135323322512*I	9.027281422971156*^-6+0.*I	0.+0.00299717523605444*I	6.602377037313911*^-6+0.*I	0.+0.0017371398592203105*I	4.650910561183154*^-6+0.*I	0.+0.0010114283201103189*I	2.9743058689087268*^-6+0.*I	0.+0.0005330820808328405*I	1.452155574921946*^-6+0.*I	0.+0.00016684666682127293*I
0.+0.16974900432334233*I	-0.499941298586304+0.*I	0.-0.6548084270520993*I	-0.4999311081082504+0.*I	0.+0.2020165390229757*I	0.00003379819190434605+0.*I	0.+0.03588644173967164*I	0.00002249480255310098+0.*I	0.+0.01356739037083671*I	0.000016136808716705053+0.*I	0.+0.0066160822763089*I	0.000011797174168560917+0.*I	0.+0.003642368142322246*I	8.483394835557558*^-6+0.*I	0.+0.0021033752729989487*I	5.7441985342404345*^-6+0.*I	0.+0.0011782749869361318*I	3.3331733630363442*^-6+0.*I	0.+0.000533082080786546*I	1.0932879925915274*^-6+0.*I
0.000016498186525241027+0.*I	0.+0.1939732839753001*I	-0.49993110810818675+0.*I	0.-0.6467651720044014*I	-0.4999239985808187+0.*I	0.+0.20563544606301604*I	0.00003899298896399722+0.*I	0.+0.037791670022810045*I	0.00002632728682757844+0.*I	0.+0.014659337323859286*I	0.000018906701391753164+0.*I	0.+0.007261275182491513*I	0.00001367819200525002+0.*I	0.+0.004008603556242996*I	9.576682869021215*^-6+0.*I	0.+0.002270221939996801*I	6.103066145650582*^-6+0.*I	0.+0.0011782749869988609*I	2.9743058675962373*^-6+0.*I	0.+0.0003662354138690275*I
0.+0.024224279651990917*I	0.00002668866463210677+0.*I	0.+0.20201653902292366*I	-0.4999239985809048+0.*I	0.-0.6431462649642755*I	-0.4999188037837219+0.*I	0.+0.20754067434616683*I	0.00004282547330892299+0.*I	0.+0.03888361697577656*I	0.00002909717957245661+0.*I	0.+0.015304530230062743*I	0.000020787719222882788+0.*I	0.+0.007627510596369078*I	0.000014771479932941221+0.*I	0.+0.0041754502231046*I	9.935550468221372*^-6+0.*I	0.+0.0022702219398698285*I	5.744198551078715*^-6+0.*I	0.+0.0010114283200597307*I	1.8810178468694217*^-6+0.*I
0.000010190478051991418+0.*I	0.+0.032267534699541967*I	0.000033798191906459207+0.*I	0.+0.20563544606295306*I	-0.4999188037837952+0.*I	0.-0.6412410366810554*I	-0.4999149712993982+0.*I	0.+0.20863262129912527*I	0.00004559536609092848+0.*I	0.+0.03952880988209398*I	0.000030978197281495435+0.*I	0.+0.015670765643878024*I	0.000021881007332803123+0.*I	0.+0.007794357263340032*I	0.00001513034760306402+0.*I	0.+0.004175450223090576*I	9.57668278636283*^-6+0.*I	0.+0.0021033752730875693*I	4.650910577428706*^-6+0.*I	0.+0.0006451929062384701*I
0.+0.008043255047513674*I	0.000017300005421831977+0.*I	0.+0.035886441739708175*I	0.00003899298902575131+0.*I	0.+0.20754067434617926*I	-0.49991497129949325+0.*I	0.-0.6401490897282275*I	-0.4999122014067712+0.*I	0.+0.20927781420539165*I	0.000047476383888246276+0.*I	0.+0.03989504529586174*I	0.000032071485341569036+0.*I	0.+0.01583761231085572*I	0.00002223987484560314+0.*I	0.+0.007794357263292692*I	0.000014771479997102191+0.*I	0.+0.004008603556239864*I	8.483394760412405*^-6+0.*I	0.+0.0017371398591126247*I	2.769892768535709*^-6+0.*I
7.109527384947574*^-6+0.*I	0.+0.011662162087703124*I	0.000022494802398129862+0.*I	0.+0.03779167002289522*I	0.000042825473371758754+0.*I	0.+0.20863262129911636*I	-0.4999122014067197+0.*I	0.-0.6395038968218935*I	-0.4999103203888746+0.*I	0.+0.20964404961924585*I	0.000048569671858487575+0.*I	0.+0.040061891962782634*I	0.00003243035292138401+0.*I	0.+0.01583761231081113*I	0.00002188100731989149+0.*I	0.+0.007627510596364487*I	0.000013678191886861412+0.*I	0.+0.0036423681423863176*I	6.602377011012249*^-6+0.*I	0.+0.0010919469529578286*I
0.+0.0036189070401093006*I	0.00001230432439912084+0.*I	0.+0.013567390370826219*I	0.000026327286892881197+0.*I	0.+0.038883616975832105*I	0.00004559536600676279+0.*I	0.+0.20927781420534114*I	-0.49991032038897204+0.*I	0.-0.6391376614080201*I	-0.49990922710087815+0.*I	0.+0.2098108962860268*I	0.00004892853942651362+0.*I	0.+0.040061891962847096*I	0.0000320714853850439+0.*I	0.+0.01567076564401108*I	0.000020787719202991574+0.*I	0.+0.007261275182466496*I	0.0000117971741957982+0.*I	0.+0.0029971752361882577*I	3.832484342076289*^-6+0.*I
5.194796976070696*^-6+0.*I	0.+0.005524135323297228*I	0.000016136808796204417+0.*I	0.+0.014659337323837514*I	0.00002909717953447625+0.*I	0.+0.039528809882031064*I	0.00004747638388712347+0.*I	0.+0.2096440496192802*I	-0.4999092271008664+0.*I	0.-0.6389708147412235*I	-0.4999088682333766+0.*I	0.+0.20981089628616983*I	0.000048569671828906894+0.*I	0.+0.03989504529585323*I	0.00003097819737406665+0.*I	0.+0.01530453022998481*I	0.000018906701482355593+0.*I	0.+0.006616082276329224*I	9.027281430783419*^-6+0.*I	0.+0.0019052282831352116*I
0.+0.0019052282831809693*I	9.02728152777573*^-6+0.*I	0.+0.006616082276295265*I	0.000018906701412568274+0.*I	0.+0.015304530229995731*I	0.000030978197374905686+0.*I	0.+0.039895045295877736*I	0.00004856967186185483+0.*I	0.+0.2098108962861181*I	-0.499908868233344+0.*I	0.-0.6389708147411761*I	-0.49990922710094493+0.*I	0.+0.2096440496192668*I	0.000047476383979067994+0.*I	0.+0.039528809882025256*I	0.00002909717946593457+0.*I	0.+0.014659337323929954*I	0.00001613680886236633+0.*I	0.+0.005524135323396461*I	5.194797037396329*^-6+0.*I
3.832484416653019*^-6+0.*I	0.+0.002997175236161205*I	0.00001179717409897776+0.*I	0.+0.007261275182517573*I	0.000020787719316178364+0.*I	0.+0.01567076564398562*I	0.000032071485375327894+0.*I	0.+0.04006189196278915*I	0.00004892853948007845+0.*I	0.+0.2098108962861695*I	-0.4999092271009647+0.*I	0.-0.6391376614081234*I	-0.4999103203888605+0.*I	0.+0.20927781420534136*I	0.00004559536595656365+0.*I	0.+0.038883616975813357*I	0.00002632728687691413+0.*I	0.+0.013567390370822961*I	0.000012304324438623261+0.*I	0.+0.0036189070400963522*I
0.+0.00109194695300701*I	6.602377048017414*^-6+0.*I	0.+0.0036423681423812075*I	0.000013678191963945855+0.*I	0.+0.0076275105962938464*I	0.00002188100726212359+0.*I	0.+0.015837612310862146*I	0.000032430352927721125+0.*I	0.+0.040061891962722515*I	0.00004856967188442363+0.*I	0.+0.20964404961924504*I	-0.4999103203888824+0.*I	0.-0.6395038968219657*I	-0.4999122014067427+0.*I	0.+0.20863262129916524*I	0.00004282547345288263+0.*I	0.+0.037791670022897454*I	0.000022494802465835147+0.*I	0.+0.011662162087712364*I	7.1095272312748915*^-6+0.*I
2.7698926889756237*^-6+0.*I	0.+0.0017371398591294667*I	8.483394926283058*^-6+0.*I	0.+0.00400860355630208*I	0.000014771479910882435+0.*I	0.+0.007794357263281468*I	0.000022239874896735647+0.*I	0.+0.015837612310786894*I	0.00003207148525557077+0.*I	0.+0.03989504529592227*I	0.0000474763838993815+0.*I	0.+0.20927781420537997*I	-0.4999122014067886+0.*I	0.-0.6401490897281564*I	-0.4999149712994403+0.*I	0.+0.20754067434617068*I	0.00003899298901528725+0.*I	0.+0.03588644173963582*I	0.00001730000542010672+0.*I	0.+0.008043255047596896*I
0.+0.0006451929062491271*I	4.650910465360138*^-6+0.*I	0.+0.0021033752730831093*I	9.576682857279344*^-6+0.*I	0.+0.004175450223129339*I	0.000015130347593748376+0.*I	0.+0.007794357263308613*I	0.000021881007250237543+0.*I	0.+0.015670765643922675*I	0.00003097819732078242+0.*I	0.+0.03952880988197293*I	0.00004559536608896606+0.*I	0.+0.20863262129916207*I	-0.4999149712994232+0.*I	0.-0.6412410366810175*I	-0.4999188037837939+0.*I	0.+0.2056354460629536*I	0.00003379819188099915+0.*I	0.+0.032267534699470524*I	0.00001019047804206078+0.*I
1.8810177942902395*^-6+0.*I	0.+0.0010114283201524085*I	5.744198508451875*^-6+0.*I	0.+0.0022702219399435637*I	9.935550448091647*^-6+0.*I	0.+0.004175450223098206*I	0.000014771479885977765+0.*I	0.+0.00762751059637735*I	0.000020787719294469286+0.*I	0.+0.015304530230000763*I	0.000029097179541424082+0.*I	0.+0.038883616975912964*I	0.000042825473340516885+0.*I	0.+0.20754067434618387*I	-0.4999188037837382+0.*I	0.-0.6431462649642902*I	-0.49992399858087905+0.*I	0.+0.20201653902289868*I	0.000026688664642763267+0.*I	0.+0.02422427965194892*I
0.+0.0003662354138619095*I	2.97430582707144*^-6+0.*I	0.+0.0011782749869587439*I	6.103066119432506*^-6+0.*I	0.+0.002270221939968037*I	9.57668292095086*^-6+0.*I	0.+0.00400860355628635*I	0.000013678191955890663+0.*I	0.+0.007261275182482069*I	0.00001890670141924735+0.*I	0.+0.014659337323967292*I	0.000026327286856203864+0.*I	0.+0.037791670022807394*I	0.00003899298899021803+0.*I	0.+0.20563544606296033*I	-0.4999239985808878+0.*I	0.-0.6467651720044941*I	-0.49993110810827235+0.*I	0.+0.19397328397525443*I	0.000016498186715889295+0.*I
1.0932880439296078*^-6+0.*I	0.+0.0005330820809005607*I	3.33317334239025*^-6+0.*I	0.+0.0011782749869483056*I	5.744198576906889*^-6+0.*I	0.+0.0021033752730109144*I	8.483394767055952*^-6+0.*I	0.+0.0036423681423788145*I	0.000011797174248984188+0.*I	0.+0.00661608227628485*I	0.000016136808744737774+0.*I	0.+0.013567390370832388*I	0.000022494802599970498+0.*I	0.+0.035886441739654454*I	0.000033798191810707756+0.*I	0.+0.20201653902295078*I	-0.4999311081081185+0.*I	0.-0.6548084270520388*I	-0.49994129858630865+0.*I	0.+0.16974900432332843*I
