0.3698798145625408-0.6849966163076211*I	-0.31731468034848653-0.32313744118886106*I	-0.16797702201664513+0.14797273769494013*I	0.0932741990445704+0.03748701525399695*I	-0.0066188111183706835-0.05306078270594822*I	-0.04052838553859073+0.030972135603915353*I	0.03692574468072186+0.0004570223164367254*I	-0.004509751307495258-0.016290138341351457*I	-0.02631808630528751+0.016039806647061606*I	0.026805910742439293-0.008259830555301304*I
-0.3173146803484728-0.3231374411888651*I	0.201902792545906-0.5370238786126738*I	-0.22404048130391818-0.28565042593485607*I	-0.1745958331350186+0.09491195498900024*I	0.052745813505982946+0.06845915085793726*I	0.030306933562348506-0.052603760389491584*I	-0.045038136846096345+0.014681997262559573*I	0.010607658375431164+0.01649682896349127*I	0.02229615943494906-0.024549968896654936*I	-0.02631808630528457+0.01603980664705508*I
-0.16797702201663253+0.14797273769493513*I	-0.22404048130390322-0.28565042593486084*I	0.19528398142753037-0.5900846613186193*I	-0.2645688668425065-0.2546782903309352*I	-0.13767008845429185+0.09536897730544672*I	0.048236062198486786+0.05216901251657574*I	0.00398884725706081-0.03656395374244617*I	-0.018232226103653156+0.006422166707262877*I	0.010607658375430717+0.01649682896349844*I	-0.00450975130749447-0.01629013834135375*I
0.09327419904456513+0.03748701525399707*I	-0.17459583313501373+0.09491195498899209*I	-0.26456886684249403-0.25467829033094125*I	0.23220972610826107-0.5896276390021861*I	-0.2690786181499927-0.2709684286723048*I	-0.16398817475957544+0.11140878395248811*I	0.07504197294092427+0.04390918196126997*I	0.003988847257055866-0.03656395374244166*I	-0.045038136846095166+0.014681997262568264*I	0.03692574468071788+0.0004570223164438135*I
-0.0066188111183800025-0.05306078270593935*I	0.05274581350597508+0.06845915085792995*I	-0.13767008845428594+0.09536897730543811*I	-0.26907861814998113-0.27096842867230253*I	0.20589163980298314-0.573587832355127*I	-0.2422727074075581-0.2792282592275912*I	-0.1639881747595941+0.11140878395249268*I	0.048236062198478175+0.052169012516562724*I	0.0303069335623533-0.052603760389503026*I	-0.04052838553859157+0.030972135603922646*I
-0.04052838553859711+0.030972135603933484*I	0.030306933562350494-0.052603760389489385*I	0.048236062198491844+0.05216901251656716*I	-0.16398817475956923+0.11140878395248582*I	-0.24227270740754606-0.27922825922759564*I	0.20589163980297223-0.5735878323551177*I	-0.2690786181500018-0.27096842867229043*I	-0.13767008845429732+0.09536897730543949*I	0.05274581350598235+0.06845915085792605*I	-0.00661881111836575-0.05306078270594043*I
0.036925744680713135+0.00045702231644806357*I	-0.04503813684608493+0.014681997262570634*I	0.0039888472570738095-0.036563953742449425*I	0.07504197294092818+0.04390918196125618*I	-0.1639881747595781+0.11140878395248346*I	-0.269078618149987-0.2709684286722941*I	0.23220972610826202-0.5896276390021683*I	-0.2645688668425061-0.2546782903309256*I	-0.1745958331350183+0.09491195498900223*I	0.09327419904457396+0.037487015254002054*I
-0.004509751307501697-0.01629013834135762*I	0.010607658375433898+0.016496828963500687*I	-0.018232226103641353+0.006422166707264261*I	0.003988847257070174-0.03656395374245419*I	0.04823606219849101+0.05216901251656997*I	-0.13767008845429557+0.09536897730545121*I	-0.264568866842513-0.25467829033093153*I	0.1952839814275303-0.5900846613186237*I	-0.2240404813039067-0.285650425934868*I	-0.16797702201664377+0.14797273769493097*I
-0.02631808630528898+0.01603980664705923*I	0.02229615943494534-0.024549968896651286*I	0.010607658375437787+0.016496828963495105*I	-0.0450381368460816+0.014681997262560226*I	0.030306933562353366-0.05260376038949613*I	0.05274581350597426+0.06845915085793787*I	-0.17459583313502092+0.09491195498900129*I	-0.2240404813039082-0.28565042593487117*I	0.20190279254590685-0.5370238786126932*I	-0.3173146803484849-0.3231374411888712*I
0.026805910742437322-0.008259830555290615*I	-0.026318086305284538+0.01603980664705723*I	-0.004509751307487837-0.016290138341360873*I	0.036925744680720074+0.00045702231643512947*I	-0.040528385538600054+0.030972135603911655*I	-0.006618811118365167-0.05306078270594611*I	0.09327419904458889+0.03748701525400916*I	-0.16797702201663856+0.14797273769494113*I	-0.31731468034848925-0.323137441188868*I	0.36987981456254293-0.6849966163076198*I
