0.4522778245468457-0.10763265977294782*I	0.18237743667257894-0.16324143946700023*I	0.024587526698384526-0.14542295844171343*I	-0.047959946763420594-0.07433287006644633*I	-0.0523900419734158+0.0033772446483675417*I	-0.022431539045680314+0.045036604608894214*I	0.006387156101359891+0.03742683333467302*I	0.016405499051029008+0.0009713463011043395*I	0.011472047653380097-0.028681200098864126*I	0.0040062472883340295-0.02763647185013282*I
0.18237743667257886-0.1632414394670004*I	0.4768653512452302-0.25305561821466155*I	0.13441748990915856-0.2375743095334469*I	-0.027802515275030824-0.14204571379334638*I	-0.07039148580910032-0.02929626545755255*I	-0.046002885872055255+0.04080407798304019*I	-0.006026039994650758+0.04600795090999832*I	0.017859203754740365+0.008745633235808813*I	0.02041174633936324-0.02666512554902846*I	0.011472047653380175-0.028681200098864087*I
0.02458752669838452-0.14542295844171388*I	0.13441748990915864-0.23757430953344738*I	0.42447530927181526-0.24967837356629488*I	0.11198595086347952-0.19253770492455377*I	-0.021415359173669365-0.10461888045867425*I	-0.05398598675806978-0.028324919156448886*I	-0.034530838218674004+0.01212287788417572*I	-0.0020197927063160563+0.018371479059865456*I	0.017859203754740628+0.00874563323580891*I	0.01640549905102925+0.000971346301104428*I
-0.04795994676342055-0.07433287006644704*I	-0.027802515275030786-0.14204571379334732*I	0.11198595086347957-0.19253770492455435*I	0.4308624653731771-0.21225154023162313*I	0.12839144991451076-0.19156635862345045*I	-0.009943311520287426-0.13330008055753906*I	-0.04997973946973461-0.05596139100658195*I	-0.03453083821867365+0.012122877884175796*I	-0.006026039994650192+0.046007950909998416*I	0.006387156101360293+0.03742683333467309*I
-0.052390041973415714+0.0033772446483665967*I	-0.07039148580910018-0.029296265457553938*I	-0.021415359173669286-0.10461888045867546*I	0.1283914499145108-0.191566358623451*I	0.44233451302655924-0.24093274033048784*I	0.1323976972028461-0.2192028304735834*I	-0.009943311520287105-0.1333000805575389*I	-0.05398598675806916-0.028324919156448893*I	-0.04600288587205456+0.040804077983040025*I	-0.022431539045679863+0.045036604608894026*I
-0.02243153904568016+0.045036604608893235*I	-0.04600288587205504+0.040804077983038735*I	-0.05398598675806962-0.028324919156450253*I	-0.009943311520287417-0.1333000805575398*I	0.13239769720284605-0.21920283047358374*I	0.4423345130265594-0.24093274033048745*I	0.1283914499145111-0.19156635862345023*I	-0.02141535917366886-0.1046188804586746*I	-0.07039148580909979-0.029296265457553282*I	-0.05239004197341549+0.003377244648366933*I
0.006387156101360129+0.03742683333467218*I	-0.0060260399946504145+0.04600795090999708*I	-0.0345308382186738+0.012122877884174661*I	-0.04997973946973461-0.05596139100658241*I	-0.009943311520287277-0.13330008055753886*I	0.12839144991451085-0.19156635862344995*I	0.4308624653731772-0.21225154023162274*I	0.11198595086347966-0.19253770492455446*I	-0.027802515275030713-0.1420457137933477*I	-0.04795994676342054-0.07433287006644737*I
0.016405499051029285+0.0009713463011037754*I	0.01785920375474075+0.008745633235808039*I	-0.002019792706315821+0.01837147905986493*I	-0.03453083821867368+0.012122877884175808*I	-0.053985986758069475-0.0283249191564484*I	-0.021415359173669248-0.1046188804586739*I	0.11198595086347939-0.19253770492455405*I	0.42447530927181487-0.24967837356629594*I	0.13441748990915822-0.2375743095334487*I	0.024587526698384283-0.1454229584417148*I
0.011472047653380352-0.028681200098864428*I	0.020411746339363594-0.026665125549028803*I	0.017859203754740854+0.008745633235808837*I	-0.0060260399946502514+0.0460079509099988*I	-0.0460028858720549+0.04080407798304077*I	-0.07039148580910022-0.029296265457552432*I	-0.027802515275031112-0.14204571379334707*I	0.13441748990915806-0.23757430953344846*I	0.47686535124522966-0.2530556182146632*I	0.18237743667257858-0.16324143946700154*I
0.004006247288334184-0.027636471850132932*I	0.011472047653380389-0.02868120009886418*I	0.01640549905102939+0.0009713463011045127*I	0.0063871561013602515+0.03742683333467341*I	-0.022431539045680078+0.04503660460889457*I	-0.05239004197341578+0.003377244648367526*I	-0.04795994676342079-0.0743328700664469*I	0.024587526698384154-0.14542295844171452*I	0.18237743667257858-0.1632414394670014*I	0.4522778245468455-0.10763265977294853*I
