0.-0.8484457078759564*I	-0.5005131112935925+0.*I	0.+0.16871282059152573*I	0.0010948554486674043+0.*I	0.+0.025081511607672982*I	-0.0013006915953821438+0.*I	0.+0.006122483882400446*I	0.0010886447519338294+0.*I	0.+0.003284155221304173*I	-0.0007305597422256115+0.*I
-0.5005131112935911+0.*I	0.-0.6797328872844264*I	-0.49941825584494176+0.*I	0.+0.19379433219920697*I	-0.00020583614672701285+0.*I	0.+0.031203995490064022*I	-0.0002120468434358329+0.*I	0.+0.009406639103706394*I	0.00035808500970586476+0.*I	0.+0.003284155221305583*I
0.+0.1687128205915474*I	-0.4994182558449407+0.*I	0.-0.6546513756767656*I	-0.5007189474403052+0.*I	0.+0.19991681608160466*I	0.0008828086052234229+0.*I	0.+0.0344881507113806*I	-0.0009426065856674723+0.*I	0.+0.009406639103707403*I	0.0010886447519363731+0.*I
0.0010948554486742627+0.*I	0.+0.19379433219920247*I	-0.5007189474403156+0.*I	0.-0.6485288917943428*I	-0.4996303026883692+0.*I	0.+0.2032009713029058*I	0.0001522488629873599+0.*I	0.+0.03448815071138024*I	-0.00021204684342808835+0.*I	0.+0.006122483882376947*I
0.+0.02508151160768172*I	-0.00020583614673533817+0.*I	0.+0.19991681608159526*I	-0.49963030268836195+0.*I	0.-0.6452447365730454*I	-0.5003608624306021+0.*I	0.+0.2032009713029053*I	0.0008828086052285111+0.*I	0.+0.03120399549006278*I	-0.0013006915953881185+0.*I
-0.0013006915953809608+0.*I	0.+0.031203995490070288*I	0.0008828086052214436+0.*I	0.+0.20320097130290052*I	-0.5003608624306132+0.*I	0.-0.6452447365730347*I	-0.4996303026883739+0.*I	0.+0.19991681608161427*I	-0.000205836146718712+0.*I	0.+0.025081511607672267*I
0.+0.006122483882383567*I	-0.0002120468434482668+0.*I	0.+0.03448815071138922*I	0.00015224886299634386+0.*I	0.+0.20320097130290293*I	-0.49963030268838277+0.*I	0.-0.6485288917943512*I	-0.5007189474403083+0.*I	0.+0.19379433219918776*I	0.0010948554486551905+0.*I
0.0010886447519278808+0.*I	0.+0.009406639103704366*I	-0.0009426065856713572+0.*I	0.+0.03448815071138692*I	0.000882808605227825+0.*I	0.+0.19991681608160156*I	-0.5007189474403207+0.*I	0.-0.654651375676744*I	-0.49941825584493915+0.*I	0.+0.16871282059151363*I
0.+0.0032841552213226377*I	0.00035808500971239377+0.*I	0.+0.009406639103707537*I	-0.00021204684343931836+0.*I	0.+0.031203995490073466*I	-0.00020583614672489757+0.*I	0.+0.1937943321991975*I	-0.499418255844945+0.*I	0.-0.6797328872844134*I	-0.5005131112935765+0.*I
-0.0007305597422254673+0.*I	0.+0.003284155221313167*I	0.0010886447519238285+0.*I	0.+0.006122483882405696*I	-0.001300691595372827+0.*I	0.+0.025081511607659708*I	0.0010948554486520656+0.*I	0.+0.16871282059153098*I	-0.5005131112935869+0.*I	0.-0.8484457078759761*I
