0.55542876735694-0.5219106712351729*I	-0.5111704936587699-0.45922584781021625*I	-0.3819968186151443+0.3822678074165984*I	-0.2382637578064366+0.5900055590881306*I	0.17226571118957168+0.1369132582051759*I	0.38984389232743877-0.46950466529645685*I	-0.02129752649781902-0.28183553924740506*I	-0.4172218447785859+0.026217438824970157*I	-0.34586031865121847+0.3048651632289007*I	0.11283427784919065+0.24202931878459777*I
-0.5111704936587698-0.4592258478102168*I	-0.4497841118349364-0.4041698631223566*I	-0.33619542716206824+0.33635747084474543*I	-0.20973110742557344+0.5191810656217752*I	0.1515801345210016+0.12050089379167392*I	0.34310957571467515-0.4131251210716499*I	-0.01871363976415652-0.24801740429036606*I	-0.36715784514903776+0.023029623981496092*I	-0.30438756692939506+0.2682467576095678*I	0.09926996157540913+0.21299708395823058*I
-0.38199681861513335+0.38226780741663247*I	-0.33619542716205875+0.33635747084477485*I	-0.08537700962246642-0.5354594449466252*I	-0.35959035913782955-0.3387249540185663*I	-0.23102863392342182+0.23734552637437337*I	0.15626142673258103+0.5475659143646222*I	0.4423795372900514-0.20012803711339833*I	0.08545632539798545-0.20125790768688*I	-0.36715784514905553+0.02302962398148317*I	-0.40855753209155216+0.22148726100607063*I
-0.23826375780646014+0.5900055590881308*I	-0.20973110742559342+0.5191810656217746*I	-0.3595903591377919-0.3387249540185357*I	0.05977435915887819-1.0823858152481116*I	-0.5876999662208708-0.613768585963886*I	-0.5768889525746477+0.5422106896032696*I	-0.1528074324084283+0.38874765140124734*I	0.6908414951681531-0.2665138407542601*I	0.760774599540478-0.6232107471154794*I	-0.021297526497821462-0.2818355392474077*I
0.17226571118953937+0.13691325820514189*I	0.1515801345209744+0.12050089379164353*I	-0.23102863392338932+0.2373455263744006*I	-0.5876999662208326-0.6137685859638556*I	-0.28608595949234794-0.7775206520192152*I	-0.6639779260672307-0.07047819640900313*I	-0.5768889525746075+0.5422106896032556*I	0.5225108417340653-0.033205188027351784*I	1.036701813819388-0.5713790039831514*I	0.3898438923273937-0.4695046652964394*I
0.38984389232743444-0.46950466529648704*I	0.34310957571467166-0.41312512107167554*I	0.15626142673257268+0.5475659143646151*I	-0.5768889525746145+0.5422106896032962*I	-0.6639779260671936-0.07047819640897202*I	-0.007404574544874809-0.604297900235798*I	-0.35490906692618684+0.08834006655435944*I	-0.2310286339233733+0.23734552637436382*I	0.15158013452098104+0.12050089379168821*I	0.3644071022124571-0.13128958182422568*I
-0.021297526497803254-0.2818355392473506*I	-0.01871363976414231-0.2480174042903186*I	0.4423795372900353-0.20012803711345672*I	-0.15280743240844719+0.3887476514011998*I	-0.5768889525746088+0.5422106896032719*I	-0.354909066926169+0.08834006655442159*I	-0.10667453612032296-0.81729498419397*I	-0.35959035913783477-0.33872495401852737*I	-0.20973110742556944+0.5191810656217517*I	0.17497506649677175+0.7955833186549262*I
-0.4172218447785925+0.026217438825003714*I	-0.36715784514904426+0.023029623981525194*I	0.08545632539799752-0.2012579076869081*I	0.6908414951681512-0.26651384075428997*I	0.5225108417340507-0.03320518802735006*I	-0.23102863392338358+0.237345526374395*I	-0.3595903591378282-0.338724954018515*I	-0.8046617434709822-0.3740935530597617*I	-1.34847456576133+0.009442161151577477*I	-0.3819968186151028+0.38226780741657373*I
-0.3458603186512397+0.304865163228876*I	-0.3043875669294145+0.26824675760954575*I	-0.3671578451490292+0.023029623981517602*I	0.7607745995404942-0.623210747115458*I	1.0367018138193762-0.5713790039831665*I	0.15158013452095476+0.12050089379165344*I	-0.20973110742556278+0.519181065621763*I	-1.348474565761323+0.0094421611515903*I	-0.9769274546605162-0.5110068112649394*I	-0.5111704936588042-0.459225847810203*I
0.11283427784917843+0.24202931878454226*I	0.09926996157539847+0.21299708395818218*I	-0.40855753209154144+0.22148726100612867*I	-0.02129752649780481-0.2818355392473594*I	0.3898438923273979-0.4695046652964546*I	0.36440710221244477-0.1312895818242879*I	0.17497506649677042+0.7955833186549243*I	-0.38199681861509727+0.3822678074165851*I	-0.5111704936587975-0.4592258478101908*I	-0.06778729321986332-0.7864376705389187*I
