0.-1020.597268735749*I	-0.8979402731264252+0.*I	0.+9.818312023367781*I	3.5765417135884388+0.*I	0.-9.817954369196425*I	-3.5755599181515185+0.*I	0.+0.2015476232847247*I	60.76077875181942+0.*I	0.-0.19547154540954276*I	-60.76075920466488+0.*I
-0.8979402731264251+0.*I	0.-0.00008979402731264249*I	-0.0009818312023367841+0.*I	0.+0.0003576541713588434*I	0.0009817954369196482+0.*I	0.-0.00035755599181515145*I	-0.000020154762328475414+0.*I	0.+0.006076077875181922*I	0.000019547154540953755+0.*I	0.-0.006076075920466469*I
0.+9.818312023367682*I	-0.0009818312023367685+0.*I	0.-0.20199497330384597*I	-0.8969584776895061+0.*I	0.+0.20190527745607703*I	0.8969382871617604+0.*I	0.-0.006433631912281846*I	-3.575540370996997+0.*I	0.+0.006076077875182119*I	3.5755397633892096+0.*I
3.5765417135884556+0.*I	0.+0.0003576541713588455*I	-0.896958477689506+0.*I	0.-0.006444036134331538*I	-0.10304087790688066+0.*I	0.+0.0064337320465408495*I	0.0010013425914605798+0.*I	0.-0.20154772140349836*I	-0.0009811878193202372+0.*I	0.+0.20154762328471645*I
0.-9.817954369196324*I	0.0009817954369196326+0.*I	0.+0.20190527745607703*I	-0.10304087790688059+0.*I	0.-0.20191558154386774*I	-0.8969389305349651+0.*I	0.+0.006433732046540994*I	3.575560525769137+0.*I	0.-0.006076175993964054*I	-3.5755599181515376+0.*I
-3.575559918151534+0.*I	0.-0.0003575559918151534*I	0.89693828716176+0.*I	0.+0.0064337320465408495*I	-0.8969389305349647+0.*I	0.-0.006523425939594344*I	-0.0010019859646652383+0.*I	0.+0.20190527745607514*I	0.0009817954369196308+0.*I	0.-0.20190517927653145*I
0.+0.2015476232847169*I	-0.00002015476232847169+0.*I	0.-0.006433631912281712*I	0.0010013425914605818+0.*I	0.+0.006433732046540857*I	-0.001001985964665236+0.*I	0.-0.0004473500191277967*I	-0.8969584776895061+0.*I	0.+0.0003576541713588465*I	0.8969584419240889+0.*I
60.76077875182011+0.*I	0.+0.006076077875182011*I	-3.575540370996989+0.*I	0.-0.20154772140349791*I	3.575560525769129+0.*I	0.+0.2019052774560749*I	-0.8969584776895058+0.*I	0.-9.818322229336603*I	-0.10205969008756045+0.*I	0.+9.818312023367595*I
0.-0.19547154540953496*I	0.000019547154540953494+0.*I	0.+0.006076077875182015*I	-0.0009811878193202327+0.*I	0.-0.0060761759939639455*I	0.0009817954369196287+0.*I	0.+0.00035765417135884725*I	-0.10205969008756034+0.*I	0.-0.0003678601403676029*I	-0.8979402731264257+0.*I
-60.760759204665554+0.*I	0.-0.006076075920466556*I	3.575539763389201+0.*I	0.+0.20154762328471598*I	-3.5755599181515296+0.*I	0.-0.20190517927653115*I	0.8969584419240886+0.*I	0.+9.818312023367595*I	-0.8979402731264254+0.*I	0.-9.818401817394907*I
