0.-9.818401817394973*I	-0.8979402731264255+0.*I	0.+9.818312023367662*I	0.8969584419240887+0.*I	0.-0.2019051792765325*I	-3.575559918151533+0.*I	0.+0.20154762328471737*I	3.5755397633892048+0.*I	0.-0.006076075920466563*I	-60.760759204665696+0.*I
-0.8979402731264257+0.*I	0.-0.00036786014036760173*I	-0.10205969008756034+0.*I	0.+0.0003576541713588456*I	0.0009817954369196313+0.*I	0.-0.006076175993963943*I	-0.0009811878193202348+0.*I	0.+0.00607607787518201*I	0.000019547154540953552+0.*I	0.-0.19547154540953482*I
0.+9.818312023367662*I	-0.10205969008756041+0.*I	0.-9.81832222933667*I	-0.896958477689506+0.*I	0.+0.20190527745607625*I	3.575560525769133+0.*I	0.-0.20154772140349936*I	-3.575540370996993+0.*I	0.+0.006076077875182036*I	60.76077875182024+0.*I
0.8969584419240887+0.*I	0.+0.0003576541713588456*I	-0.896958477689506+0.*I	0.-0.00044735001912779614*I	-0.0010019859646652435+0.*I	0.+0.00643373204654089*I	0.0010013425914605896+0.*I	0.-0.006433631912281744*I	-0.000020154762328471593+0.*I	0.+0.20154762328471773*I
0.-0.20190517927653237*I	0.0009817954369196324+0.*I	0.+0.20190527745607606*I	-0.00100198596466524+0.*I	0.-0.006523425939594365*I	-0.896938930534965+0.*I	0.+0.006433732046540869*I	0.8969382871617603+0.*I	0.-0.0003575559918151534*I	-3.5755599181515367+0.*I
-3.575559918151537+0.*I	0.-0.0060761759939639585*I	3.575560525769137+0.*I	0.+0.006433732046540872*I	-0.896938930534965+0.*I	0.-0.20191558154386635*I	-0.10304087790688056+0.*I	0.+0.20190527745607567*I	0.000981795436919631+0.*I	0.-9.817954369196315*I
0.+0.20154762328471726*I	-0.0009811878193202361+0.*I	0.-0.20154772140349916*I	0.001001342591460586+0.*I	0.+0.006433732046540869*I	-0.1030408779068806+0.*I	0.-0.006444036134331558*I	-0.896958477689506+0.*I	0.+0.0003576541713588461*I	3.576541713588458+0.*I
3.5755397633892096+0.*I	0.+0.006076077875182028*I	-3.5755403709969973+0.*I	0.-0.006433631912281726*I	0.8969382871617604+0.*I	0.+0.2019052774560758*I	-0.896958477689506+0.*I	0.-0.2019949733038448*I	-0.0009818312023367698+0.*I	0.+9.818312023367659*I
0.-0.006076075920466575*I	0.00001954715454095355+0.*I	0.+0.006076077875182029*I	-0.000020154762328471752+0.*I	0.-0.00035755599181515373*I	0.0009817954369196295+0.*I	0.+0.00035765417135884573*I	-0.0009818312023367657+0.*I	0.-0.00008979402731264259*I	-0.8979402731264255+0.*I
-60.76075920466574+0.*I	0.-0.19547154540953543*I	60.760778751820276+0.*I	0.+0.20154762328471743*I	-3.5755599181515363+0.*I	0.-9.81795436919629*I	3.576541713588456+0.*I	0.+9.81831202336765*I	-0.8979402731264255+0.*I	0.-1020.5972687357445*I
