0.6513978125291011-0.6572944450384004*I	0.28562024207397546-0.5265712288889725*I	-0.08010467125826087-0.3958194507153372*I	-0.4457900026454259-0.26507568300882794*I	-0.40514550336779115+0.27705379030522725*I	-0.20248105858169863+0.2080954970565193*I	0.00016257665468830118+0.13911695570195315*I	0.20279230019550482+0.0701384306050522*I	0.25721004019674487-0.2408022051901761*I	0.1285989997217452-0.12040753254507416*I
0.28562024207397857-0.5265712288889794*I	0.7764337356035712-0.4807795334410961*I	0.2672953070865081-0.4349101946196524*I	-0.2417996304110934-0.3890141262675004*I	-0.32339059883811955+0.013594479399777454*I	-0.18693865724265868+0.04414727663000406*I	-0.05049113037486094+0.07468137999450603*I	0.08594892835493745+0.10521043424597071*I	0.1715760940526293-0.06780446427679931*I	0.08578635170024188-0.03390652145598469*I
-0.08010467125825516-0.3958194507153507*I	0.2672953070865106-0.43491019461965946*I	0.6147387764507385-0.4739742089932596*I	-0.03777035676413466-0.5129767494892149*I	-0.24163705375638894-0.24989717056555608*I	-0.17140067063128242-0.1198196376622355*I	-0.10115230554240981+0.010240755174021985*I	-0.030904964529054585+0.14029103277972532*I	0.0859489283549415+0.10521043424598289*I	0.0429770943308842+0.052603068268274905*I
-0.44579000264541735-0.2650756830088482*I	-0.24179963041108798-0.3890141262675142*I	-0.03777035676413193-0.5129767494892212*I	0.16631021455777292-0.6369431497466047*I	-0.15985851895760123-0.5134129842362646*I	-0.15585070205613977-0.2838036920215379*I	-0.15181450478547606-0.05420998487701667*I	-0.14777288651632445+0.1753685408170262*I	0.0003112416138289775+0.27823392766159977*I	0.00016257665469958382+0.1391169557019671*I
-0.40514550336777944+0.27705379030520555*I	-0.3233905988381087+0.01359447939975758*I	-0.24163705375637784-0.24989717056557403*I	-0.15985851895759062-0.5134129842362813*I	0.4235202547545477-0.8777453549367757*I	0.1338057372885278-0.5807812137660153*I	-0.15585070205611562-0.283803692021526*I	-0.44547876103155715+0.013158244652757722*I	-0.40498292671305763+0.4161707460072033*I	-0.20248105858167603+0.20809549705653074*I
-0.20248105858168833+0.20809549705651134*I	-0.18693865724264788+0.04414727662999592*I	-0.1714006706312707-0.11981963766224366*I	-0.15585070205612697-0.28380369202154626*I	0.13380573728853234-0.5807812137660179*I	0.6752814300612033-0.47053877826708823*I	0.21680417671170088-0.36022881462515216*I	-0.24163705375633837-0.24989717056554506*I	-0.32339059883807286+0.013594479399782589*I	-0.16169495915281393+0.006805324447848982*I
0.00016257665469721072+0.13911695570195812*I	-0.050491130374850285+0.07468137999450981*I	-0.10115230554239729+0.01024075517402407*I	-0.1518145047854615-0.05420998487701594*I	-0.15585070205610724-0.28380369202152966*I	0.2168041767117056-0.36022881462515405*I	0.5894950783609808-0.4366322568111072*I	-0.03777035676406215-0.5129767494892242*I	-0.24179963041102748-0.38901412626752335*I	-0.12090954025639655-0.19450101765674882*I
0.2027923001955121+0.07013843060507115*I	0.0859489283549475+0.10521043424598647*I	-0.0309049645290414+0.1402910327797374*I	-0.1477728865163081+0.17536854081703535*I	-0.44547876103154466+0.013158244652751894*I	-0.24163705375633004-0.2498971705655495*I	-0.037770356764058266-0.5129767494892266*I	0.16614763790316212-0.7760601054485797*I	-0.16016976057135612-0.7916469118978697*I	-0.08010467125821386-0.39581945071537195*I
0.2572100401967484-0.24080220519014828*I	0.17157609405263524-0.06780446427677364*I	0.08594892835494972+0.1052104342460064*I	0.00031124161383921933+0.2782339276616217*I	-0.4049829267130477+0.41617074600720405*I	-0.3233905988380654+0.013594479399779869*I	-0.2417996304110226-0.3890141262675282*I	-0.16016976057135368-0.7916469118978773*I	0.5712931412709221-1.0531138957538182*I	0.2856202420740167-0.5265712288890128*I
0.12859899972174693-0.12040753254506023*I	0.08578635170024465-0.03390652145597178*I	0.04297709433088806+0.05260306826828653*I	0.00016257665470470473+0.1391169557019781*I	-0.20248105858167098+0.20809549705653105*I	-0.1616949591528104+0.006805324447847573*I	-0.12090954025639444-0.19450101765675126*I	-0.08010467125821263-0.3958194507153757*I	0.2856202420740166-0.5265712288890128*I	0.6427969551492937-0.26331775429226384*I
