0.-0.8500504409106608*I	-0.5008657365785476+0.*I	0.+0.17074489485062982*I	0.0013194446802603237+0.*I	0.+0.022358471074415354*I	-0.0010797311669307262+0.*I	0.+0.00779315418463411*I	0.0005587747750341256+0.*I	0.+0.0013111905980933702*I
-0.5008657365897058+0.*I	0.-0.6793055460764669*I	-0.49954629185857513+0.*I	0.+0.19310336592244248*I	0.00023971348535312131+0.*I	0.+0.03015162525442424*I	-0.0005209563649195559+0.*I	0.+0.00910434476049848*I	0.000558774734066958+0.*I
0.+0.17074489484212396*I	-0.49954629188537825+0.*I	0.-0.6569470749955506*I	-0.5006260230591589+0.*I	0.+0.20089652011188996*I	0.0007984882966580666+0.*I	0.+0.03146281583085231*I	-0.0005209563830868339+0.*I	0.+0.007793154206426012*I
0.0013194446742943455+0.*I	0.+0.19310336591445*I	-0.50062602304682+0.*I	0.-0.6491539208145249*I	-0.500067248282555+0.*I	0.+0.2022077106885341*I	0.0007984882982938757+0.*I	0.+0.0301516252589544*I	-0.0010797311588603975+0.*I
0.+0.02235847107379252*I	0.00023971353041858775+0.*I	0.+0.20089652008800096*I	-0.5000672482698836+0.*I	0.-0.6478427302246988*I	-0.5000672482676308+0.*I	0.+0.200896520089001*I	0.00023971353081192478+0.*I	0.+0.022358471081129927*I
-0.0010797311621217887+0.*I	0.+0.030151625265183696*I	0.0007984882897744683+0.*I	0.+0.20220771067657983*I	-0.5000672482569826+0.*I	0.-0.6491539208109648*I	-0.5006260230630915+0.*I	0.+0.19310336591965518*I	0.0013194446881925614+0.*I
0.+0.007793154187197615*I	-0.0005209563914129328+0.*I	0.+0.0314628158571395*I	0.0007984882894546963+0.*I	0.+0.20089652009346537*I	-0.500626023040182+0.*I	0.-0.6569470749834636*I	-0.49954629189790395+0.*I	0.+0.17074489482718036*I
0.0005587747748450056+0.*I	0.+0.009104344781282442*I	-0.0005209563937569328+0.*I	0.+0.030151625247078095*I	0.00023971355153662444+0.*I	0.+0.19310336591068786*I	-0.4995462919112015+0.*I	0.-0.6793055460786872*I	-0.5008657365394811+0.*I
0.+0.001311190602791612*I	0.0005587747674533905+0.*I	0.+0.00779315417946691*I	-0.0010797311709302149+0.*I	0.+0.022358471088409715*I	0.0013194446892326184+0.*I	0.+0.1707448948390038*I	-0.5008657365768305+0.*I	0.-0.8500504409034875*I
